parent,child,Count,Growth_Rate,Type
,Hautes-Alpes ,1530,0.8607526769356795,Overall
Hautes-Alpes ,Technology,90,0.5292657884908095,Sector
Hautes-Alpes ,Healthcare,62,0.05072621975979963,Sector
Hautes-Alpes ,Finance,209,0.571897429394981,Sector
Hautes-Alpes ,Energy,78,0.5630746925077277,Sector
Hautes-Alpes ,Consumer Goods,197,0.7834693648333142,Sector
Hautes-Alpes ,Utilities,102,0.632003703196025,Sector
Hautes-Alpes ,Real Estate,245,0.15645142268192547,Sector
Hautes-Alpes ,Telecommunications,19,0.484701561123552,Sector
Hautes-Alpes ,Materials,168,0.47137886302522225,Sector
Hautes-Alpes ,Industrials,140,0.41632134430910595,Sector
Hautes-Alpes ,Consumer Services,118,0.37564187935671545,Sector
Hautes-Alpes ,Transportation,102,0.11576680687400798,Sector
Technology,Software,14,0.6793711648283552,Industry
Technology,Hardware,20,0.677036015896383,Industry
Technology,IT Services,56,0.33018962848055156,Industry
Healthcare,Pharmaceuticals,2,0.708769166448358,Industry
Healthcare,Medical Devices,41,0.49851077838330293,Industry
Healthcare,Healthcare Services,19,0.9377866665415723,Industry
Finance,Banking,59,0.11605219913494247,Industry
Finance,Insurance,96,0.6639135753691516,Industry
Finance,Investment Services,54,0.27130183990339607,Industry
Energy,Oil & Gas,30,0.24976249633418313,Industry
Energy,Renewable Energy,4,0.28554228405809623,Industry
Energy,Energy Exploration,44,0.6766430734591387,Industry
Consumer Goods,Food & Beverage,40,0.20297347302892454,Industry
Consumer Goods,Household Products,62,0.5779008572883892,Industry
Consumer Goods,Apparel,95,0.3431490994937453,Industry
Utilities,Electric,25,0.7522471193684536,Industry
Utilities,Water,35,0.7598440642641854,Industry
Utilities,Gas,42,0.7221673520094535,Industry
Real Estate,Residential,60,0.8073937384150993,Industry
Real Estate,Commercial,86,0.7852142299688909,Industry
Real Estate,Industrial,99,0.9402212470297235,Industry
Telecommunications,Mobile,13,0.08772388016480592,Industry
Telecommunications,Broadband,5,0.12198233320276963,Industry
Telecommunications,Satellite,1,0.43612803865143857,Industry
Materials,Chemicals,36,0.7051035774633989,Industry
Materials,Metals & Mining,91,0.4558545542147292,Industry
Materials,Construction Materials,41,0.8848420155932203,Industry
Industrials,Aerospace & Defense,34,0.08253921356388216,Industry
Industrials,Machinery,73,0.7859933849769244,Industry
Industrials,Industrial Services,33,0.5551509941216469,Industry
Consumer Services,Retail,50,0.9511147019606964,Industry
Consumer Services,Travel & Leisure,24,0.3705861956187705,Industry
Consumer Services,Media,44,0.7284695838493844,Industry
Transportation,Airlines,53,0.0052382288155432555,Industry
Transportation,Railroads,16,0.02677526868303093,Industry
Transportation,Logistics,33,0.6167996309809997,Industry
