parent,child,Count,Growth_Rate,Type
,Istarska županija,977,0.6396703147180982,Overall
Istarska županija,HiTech,43,0.9317904207254626,Sector
Istarska županija,Agriculture,48,0.6668835677795801,Sector
Istarska županija,Transportation,75,0.5157692915399776,Sector
Istarska županija,Consumer_Products,46,0.5281871554074679,Sector
Istarska županija,Unassigned,88,0.1258912570698575,Sector
Istarska županija,Communication,97,0.31455657171667595,Sector
Istarska županija,Trade,88,0.9304603842272647,Sector
Istarska županija,Business_Services,67,0.7346424983093911,Sector
Istarska županija,Business_Products,58,0.8799349263022554,Sector
Istarska županija,Construction,87,0.4626741222331001,Sector
Istarska županija,Services,69,0.9474231100693933,Sector
Istarska županija,Mining,84,0.5563109226892932,Sector
Istarska županija,Health_Care,76,0.7619986443607556,Sector
Istarska županija,EnergyExpL_Prod,33,0.6591606984898215,Sector
Istarska županija,Utilities,18,0.5793711498511789,Sector
