parent,child,Count,Growth_Rate,Type
,South-West ,670,0.5368301874118101,Overall
South-West ,HiTech,82,0.06071542675431385,Sector
South-West ,Agriculture,32,0.5009266749012481,Sector
South-West ,Transportation,81,0.8331023969561402,Sector
South-West ,Consumer_Products,15,0.9345830432046144,Sector
South-West ,Unassigned,11,0.02886204246316104,Sector
South-West ,Communication,55,0.9789036729286338,Sector
South-West ,Trade,92,0.7191015000856905,Sector
South-West ,Business_Services,54,0.7688615800829232,Sector
South-West ,Business_Products,90,0.9812923185281434,Sector
South-West ,Construction,6,0.4199564373001746,Sector
South-West ,Services,4,0.7726307078550879,Sector
South-West ,Mining,22,0.06447603998565077,Sector
South-West ,Health_Care,13,0.17165663144307663,Sector
South-West ,EnergyExpL_Prod,23,0.10153158186981026,Sector
South-West ,Utilities,90,0.7158527568184834,Sector
