parent,child,Count,Growth_Rate,Type
,Taranto,1812,0.7597309799269809,Overall
Taranto,Technology,143,0.5113774696705587,Sector
Taranto,Healthcare,240,0.7043935988532901,Sector
Taranto,Finance,200,0.38934394916391457,Sector
Taranto,Energy,219,0.1720497109207031,Sector
Taranto,Consumer Goods,246,0.010868691283446474,Sector
Taranto,Utilities,149,0.790049998185634,Sector
Taranto,Real Estate,179,0.001969175970161552,Sector
Taranto,Telecommunications,87,0.4198486235834673,Sector
Taranto,Materials,88,0.07281970805154092,Sector
Taranto,Industrials,110,0.8333349930589593,Sector
Taranto,Consumer Services,48,0.670015978603834,Sector
Taranto,Transportation,103,0.4206567068410214,Sector
Technology,Software,47,0.5072526681984126,Industry
Technology,Hardware,93,0.12306804219172585,Industry
Technology,IT Services,3,0.2530559731005708,Industry
Healthcare,Pharmaceuticals,72,0.11312523276192221,Industry
Healthcare,Medical Devices,71,0.6208087630991195,Industry
Healthcare,Healthcare Services,97,0.6021602616287363,Industry
Finance,Banking,95,0.2943309372562981,Industry
Finance,Insurance,35,0.7156142242061292,Industry
Finance,Investment Services,70,0.1280557424382729,Industry
Energy,Oil & Gas,66,0.4770681512720618,Industry
Energy,Renewable Energy,85,0.901542262231239,Industry
Energy,Energy Exploration,68,0.7410504459472741,Industry
Consumer Goods,Food & Beverage,76,0.17346171834796875,Industry
Consumer Goods,Household Products,80,0.40234901308961624,Industry
Consumer Goods,Apparel,90,0.9401160014124947,Industry
Utilities,Electric,45,0.3773885788993009,Industry
Utilities,Water,18,0.034577288866138645,Industry
Utilities,Gas,86,0.02080349904766321,Industry
Real Estate,Residential,47,0.42294137320198333,Industry
Real Estate,Commercial,41,0.961809836369729,Industry
Real Estate,Industrial,91,0.2788492721123149,Industry
Telecommunications,Mobile,33,0.45115082425521325,Industry
Telecommunications,Broadband,15,0.24279658638421808,Industry
Telecommunications,Satellite,39,0.5057889194346235,Industry
Materials,Chemicals,27,0.20240903314886172,Industry
Materials,Metals & Mining,52,0.18457507699730613,Industry
Materials,Construction Materials,9,0.35336755954162413,Industry
Industrials,Aerospace & Defense,65,0.48988747850650916,Industry
Industrials,Machinery,34,0.43317931441853785,Industry
Industrials,Industrial Services,11,0.7147193354720182,Industry
Consumer Services,Retail,7,0.36105583838053135,Industry
Consumer Services,Travel & Leisure,1,0.39368155249071524,Industry
Consumer Services,Media,40,0.7148556283827625,Industry
Transportation,Airlines,38,0.3246691006548591,Industry
Transportation,Railroads,27,0.5536227508744059,Industry
Transportation,Logistics,38,0.6154122949555201,Industry
