parent,child,Count,Growth_Rate,Type
,Latina,699,0.5156285529641701,Overall
Latina,HiTech,83,0.6553806813706519,Sector
Latina,Agriculture,40,0.018436301895770724,Sector
Latina,Transportation,7,0.23778855895048734,Sector
Latina,Consumer_Products,28,0.3457423393927751,Sector
Latina,Unassigned,74,0.7116153742998149,Sector
Latina,Communication,74,0.235820104669908,Sector
Latina,Trade,8,0.8481865384871927,Sector
Latina,Business_Services,6,0.9396752296935035,Sector
Latina,Business_Products,89,0.14937136022360242,Sector
Latina,Construction,31,0.25479207143487026,Sector
Latina,Services,33,0.00361245058343429,Sector
Latina,Mining,91,0.7017763294823469,Sector
Latina,Health_Care,19,0.7655982412671688,Sector
Latina,EnergyExpL_Prod,94,0.9984431242972434,Sector
Latina,Utilities,22,0.8681895884137801,Sector
