parent,child,Count,Growth_Rate,Type
,Vilniaus apskritis,702,0.5394353708986818,Overall
Vilniaus apskritis,HiTech,83,0.19937306878602368,Sector
Vilniaus apskritis,Agriculture,20,0.6003114180292306,Sector
Vilniaus apskritis,Transportation,33,0.5144471224770251,Sector
Vilniaus apskritis,Consumer_Products,41,0.46872179058475216,Sector
Vilniaus apskritis,Unassigned,25,0.5245803186653546,Sector
Vilniaus apskritis,Communication,34,0.9717132478768973,Sector
Vilniaus apskritis,Trade,85,0.9129095069594819,Sector
Vilniaus apskritis,Business_Services,60,0.6829238027758497,Sector
Vilniaus apskritis,Business_Products,12,0.707996968338029,Sector
Vilniaus apskritis,Construction,46,0.37454246204676855,Sector
Vilniaus apskritis,Services,48,0.2905126483469944,Sector
Vilniaus apskritis,Mining,36,0.6497051930158994,Sector
Vilniaus apskritis,Health_Care,74,0.5193391041436979,Sector
Vilniaus apskritis,EnergyExpL_Prod,70,0.08986685492080226,Sector
Vilniaus apskritis,Utilities,35,0.5845870565134206,Sector
