parent,child,Count,Growth_Rate,Type
,Gozo and Comino/Għawdex u Kemmuna,764,0.590213534184524,Overall
Gozo and Comino/Għawdex u Kemmuna,HiTech,34,0.22797023359798896,Sector
Gozo and Comino/Għawdex u Kemmuna,Agriculture,72,0.9283809937363325,Sector
Gozo and Comino/Għawdex u Kemmuna,Transportation,39,0.9974998035824464,Sector
Gozo and Comino/Għawdex u Kemmuna,Consumer_Products,54,0.5006044556098708,Sector
Gozo and Comino/Għawdex u Kemmuna,Unassigned,82,0.8283051809014483,Sector
Gozo and Comino/Għawdex u Kemmuna,Communication,51,0.7998717502426468,Sector
Gozo and Comino/Għawdex u Kemmuna,Trade,57,0.2517053855970405,Sector
Gozo and Comino/Għawdex u Kemmuna,Business_Services,8,0.015657922346583364,Sector
Gozo and Comino/Għawdex u Kemmuna,Business_Products,89,0.9096687193610032,Sector
Gozo and Comino/Għawdex u Kemmuna,Construction,14,0.3300978034253864,Sector
Gozo and Comino/Għawdex u Kemmuna,Services,47,0.3200526351902643,Sector
Gozo and Comino/Għawdex u Kemmuna,Mining,51,0.7413481938399228,Sector
Gozo and Comino/Għawdex u Kemmuna,Health_Care,67,0.7131933689991514,Sector
Gozo and Comino/Għawdex u Kemmuna,EnergyExpL_Prod,56,0.9905782129254423,Sector
Gozo and Comino/Għawdex u Kemmuna,Utilities,43,0.2982683534123327,Sector
