parent,child,Count,Growth_Rate,Type
,Zeeuwsch-Vlaanderen,681,0.5148150545789378,Overall
Zeeuwsch-Vlaanderen,HiTech,50,0.5220632975528438,Sector
Zeeuwsch-Vlaanderen,Agriculture,18,0.648260076807065,Sector
Zeeuwsch-Vlaanderen,Transportation,57,0.8981983098071359,Sector
Zeeuwsch-Vlaanderen,Consumer_Products,42,0.10971880089786334,Sector
Zeeuwsch-Vlaanderen,Unassigned,63,0.06970498093594979,Sector
Zeeuwsch-Vlaanderen,Communication,62,0.45689209455406754,Sector
Zeeuwsch-Vlaanderen,Trade,18,0.43766230467191414,Sector
Zeeuwsch-Vlaanderen,Business_Services,22,0.2508734582004759,Sector
Zeeuwsch-Vlaanderen,Business_Products,4,0.3447894489685194,Sector
Zeeuwsch-Vlaanderen,Construction,41,0.9528212857569055,Sector
Zeeuwsch-Vlaanderen,Services,90,0.38516287332821664,Sector
Zeeuwsch-Vlaanderen,Mining,75,0.2995350776053167,Sector
Zeeuwsch-Vlaanderen,Health_Care,55,0.7456244710930547,Sector
Zeeuwsch-Vlaanderen,EnergyExpL_Prod,43,0.7748791239988283,Sector
Zeeuwsch-Vlaanderen,Utilities,41,0.8260402145059099,Sector
