parent,child,Count,Growth_Rate,Type
,Arad,705,0.4252542277816891,Overall
Arad,HiTech,47,0.40100376535382243,Sector
Arad,Agriculture,88,0.739801814340608,Sector
Arad,Transportation,25,0.7910380220377641,Sector
Arad,Consumer_Products,34,0.8642533905485356,Sector
Arad,Unassigned,97,0.027607006415167556,Sector
Arad,Communication,39,0.32089205364348994,Sector
Arad,Trade,5,0.3228808213290105,Sector
Arad,Business_Services,13,0.03475076211544015,Sector
Arad,Business_Products,11,0.07021521209631798,Sector
Arad,Construction,27,0.8780671623010652,Sector
Arad,Services,65,0.23994812164646795,Sector
Arad,Mining,22,0.1387814371913103,Sector
Arad,Health_Care,39,0.23596146896461323,Sector
Arad,EnergyExpL_Prod,97,0.7393607066987161,Sector
Arad,Utilities,96,0.574251672043007,Sector
