parent,child,Count,Growth_Rate,Type
,Zaječarska oblast,2059,0.4876963687337247,Overall
Zaječarska oblast,Technology,122,0.09144679435621939,Sector
Zaječarska oblast,Healthcare,172,0.19297087777629363,Sector
Zaječarska oblast,Finance,120,0.9702598687981083,Sector
Zaječarska oblast,Energy,126,0.9541432845642334,Sector
Zaječarska oblast,Consumer Goods,126,0.9479283121798199,Sector
Zaječarska oblast,Utilities,117,0.7407732383076137,Sector
Zaječarska oblast,Real Estate,207,0.063044107331656,Sector
Zaječarska oblast,Telecommunications,269,0.018837744963900893,Sector
Zaječarska oblast,Materials,190,0.36151272292919867,Sector
Zaječarska oblast,Industrials,267,0.40089430954885885,Sector
Zaječarska oblast,Consumer Services,129,0.05609762766895887,Sector
Zaječarska oblast,Transportation,214,0.5475924945048977,Sector
Technology,Software,27,0.44006846012820566,Industry
Technology,Hardware,63,0.3023050646029002,Industry
Technology,IT Services,32,0.012943393839001671,Industry
Healthcare,Pharmaceuticals,24,0.658698445322404,Industry
Healthcare,Medical Devices,91,0.19814826257020945,Industry
Healthcare,Healthcare Services,57,0.39205137789021205,Industry
Finance,Banking,17,0.5518917265443682,Industry
Finance,Insurance,90,0.49142871862968074,Industry
Finance,Investment Services,13,0.23410464210409443,Industry
Energy,Oil & Gas,45,0.45853151261105696,Industry
Energy,Renewable Energy,12,0.11162544744359948,Industry
Energy,Energy Exploration,69,0.9943093121976535,Industry
Consumer Goods,Food & Beverage,6,0.08519976166853604,Industry
Consumer Goods,Household Products,94,0.47930215473927174,Industry
Consumer Goods,Apparel,26,0.8791445522763465,Industry
Utilities,Electric,58,0.19031428452265264,Industry
Utilities,Water,47,0.8933457843225462,Industry
Utilities,Gas,12,0.20714441561459063,Industry
Real Estate,Residential,67,0.08786409578664678,Industry
Real Estate,Commercial,95,0.5907469787946881,Industry
Real Estate,Industrial,45,0.4292125753933108,Industry
Telecommunications,Mobile,73,0.2882756255424296,Industry
Telecommunications,Broadband,97,0.7669213471115598,Industry
Telecommunications,Satellite,99,0.9936100335136363,Industry
Materials,Chemicals,30,0.8883475916751502,Industry
Materials,Metals & Mining,71,0.7548399552134027,Industry
Materials,Construction Materials,89,0.12906915883949222,Industry
Industrials,Aerospace & Defense,83,0.9958539272961467,Industry
Industrials,Machinery,94,0.2333630469012955,Industry
Industrials,Industrial Services,90,0.07005351747434274,Industry
Consumer Services,Retail,5,0.5759111100526095,Industry
Consumer Services,Travel & Leisure,28,0.0340886836100982,Industry
Consumer Services,Media,96,0.10515948426868515,Industry
Transportation,Airlines,58,0.07516118193666277,Industry
Transportation,Railroads,73,0.22091829523641382,Industry
Transportation,Logistics,83,0.30246740408303874,Industry
