parent,child,Count,Growth_Rate,Type
,Östergötlands län,825,0.6509937792273024,Overall
Östergötlands län,HiTech,62,0.7614889107233155,Sector
Östergötlands län,Agriculture,47,0.44902315637496637,Sector
Östergötlands län,Transportation,34,0.0176889435597104,Sector
Östergötlands län,Consumer_Products,43,0.4676434365774056,Sector
Östergötlands län,Unassigned,78,0.920444881845715,Sector
Östergötlands län,Communication,93,0.8807808827272362,Sector
Östergötlands län,Trade,52,0.8656996250115624,Sector
Östergötlands län,Business_Services,7,0.8494749979012091,Sector
Östergötlands län,Business_Products,61,0.31267596053056734,Sector
Östergötlands län,Construction,39,0.3337507169145787,Sector
Östergötlands län,Services,84,0.8566936086834961,Sector
Östergötlands län,Mining,88,0.7039194426110736,Sector
Östergötlands län,Health_Care,75,0.9461211068244173,Sector
Östergötlands län,EnergyExpL_Prod,34,0.5693492534899641,Sector
Östergötlands län,Utilities,28,0.8301517646343168,Sector
