parent,child,Count,Growth_Rate,Type
,Adana,764,0.44538854831365254,Overall
Adana,HiTech,92,0.4652250333395008,Sector
Adana,Agriculture,77,0.26921148873811773,Sector
Adana,Transportation,71,0.2888271058424363,Sector
Adana,Consumer_Products,8,0.27608431275298295,Sector
Adana,Unassigned,7,0.5255229605739199,Sector
Adana,Communication,48,0.9279164457812552,Sector
Adana,Trade,84,0.5510574045029365,Sector
Adana,Business_Services,44,0.28753003022429835,Sector
Adana,Business_Products,98,0.651872951374116,Sector
Adana,Construction,82,0.836802839095908,Sector
Adana,Services,15,0.17897084709230382,Sector
Adana,Mining,27,0.34812335734565014,Sector
Adana,Health_Care,62,0.9060026885518904,Sector
Adana,EnergyExpL_Prod,28,0.06140886835383508,Sector
Adana,Utilities,21,0.10627189113563729,Sector
