parent,child,Count,Growth_Rate,Type
,Bingöl,775,0.44172998951583364,Overall
Bingöl,HiTech,61,0.3856829115731262,Sector
Bingöl,Agriculture,5,0.11209106129608148,Sector
Bingöl,Transportation,88,0.47401652807019123,Sector
Bingöl,Consumer_Products,87,0.9093925545035527,Sector
Bingöl,Unassigned,87,0.1573213024919058,Sector
Bingöl,Communication,98,0.8310753917219065,Sector
Bingöl,Trade,62,0.1688494330511805,Sector
Bingöl,Business_Services,33,0.4629629934139621,Sector
Bingöl,Business_Products,72,0.3715288732180325,Sector
Bingöl,Construction,1,0.7847366361109853,Sector
Bingöl,Services,24,0.046559402955113405,Sector
Bingöl,Mining,6,0.9918908177693267,Sector
Bingöl,Health_Care,44,0.2363533745009544,Sector
Bingöl,EnergyExpL_Prod,63,0.6004007167785961,Sector
Bingöl,Utilities,44,0.09308784528259018,Sector
