parent,child,Count,Growth_Rate,Type
,Gaziantep,708,0.6795512440054804,Overall
Gaziantep,HiTech,88,0.8639684404348118,Sector
Gaziantep,Agriculture,30,0.07450497358261321,Sector
Gaziantep,Transportation,80,0.6710855070246504,Sector
Gaziantep,Consumer_Products,82,0.3013289322360516,Sector
Gaziantep,Unassigned,38,0.2604539775168694,Sector
Gaziantep,Communication,78,0.9407833915467526,Sector
Gaziantep,Trade,53,0.9584311675166797,Sector
Gaziantep,Business_Services,12,0.9558101175025697,Sector
Gaziantep,Business_Products,3,0.9758610601122288,Sector
Gaziantep,Construction,54,0.7756508743218419,Sector
Gaziantep,Services,16,0.8785313962841621,Sector
Gaziantep,Mining,10,0.7146961353187955,Sector
Gaziantep,Health_Care,40,0.825880743986694,Sector
Gaziantep,EnergyExpL_Prod,39,0.37374344679016414,Sector
Gaziantep,Utilities,85,0.6225384959073196,Sector
