Country,Financial Risk
AFG,45
AGO,60
ALB,38
ARE,24
ARG,54
ARM,39
ATG,42
AUS,26
AUT,32
AZE,34
BDI,65
BEL,33
BEN,41
BFA,50
BGD,51
BGR,36
BHR,33
BHS,35
BIH,35
BLR,50
BLZ,57
BMU,21
BOL,56
BRA,54
BRB,43
BRN,27
BTN,45
BWA,38
CAF,52
CAN,22
CHE,22
CHL,32
CHN,36
CIV,37
CMR,50
COD,59
COG,48
COL,42
COM,48
CPV,52
CRI,38
CUB,51
CYM,21
CYP,40
CZE,32
DEU,28
DJI,48
DMA,58
DNK,25
DOM,38
DZA,41
ECU,54
EGY,50
ERI,46
ESP,36
EST,33
ETH,56
FIN,32
FJI,50
FRA,40
GAB,33
GBR,35
GEO,37
GHA,49
GIN,49
GMB,56
GNB,54
GNQ,38
GRC,51
GRD,40
GTM,28
GUY,48
HKG,26
HND,40
HRV,33
HTI,47
HUN,33
IDN,29
IND,36
IRL,26
IRN,48
IRQ,53
ISL,29
ISR,26
ITA,36
JAM,48
JOR,55
JPN,34
KAZ,30
KEN,41
KGZ,53
KHM,39
KIR,32
KNA,44
KOR,34
KWT,24
LAO,47
LBN,56
LBR,59
LBY,45
LCA,48
LKA,55
LSO,45
LTU,26
LUX,29
LVA,27
MAC,35
MAR,37
MDA,39
MDG,61
MDV,50
MEX,40
MKD,32
MLI,47
MLT,28
MMR,57
MNE,38
MNG,49
MOZ,54
MRT,49
MUS,38
MWI,51
MYS,26
NAM,34
NER,48
NGA,36
NIC,48
NLD,29
NOR,35
NPL,52
NZL,33
OMN,35
PAK,54
PAN,36
PER,30
PHL,37
PNG,42
POL,34
PRK,52
PRT,35
PRY,40
PSE,54
QAT,34
ROU,37
RUS,50
RWA,56
SAU,23
SDN,59
SEN,39
SGP,25
SLB,36
SLE,67
SLV,47
SOM,54
SRB,34
SSD,50
STP,51
SUR,59
SVK,31
SVN,34
SWE,33
SWZ,36
SYC,39
SYR,48
TCD,53
TGO,43
THA,33
TJK,46
TKM,29
TLS,50
TON,35
TTO,34
TUN,58
TUR,56
TUV,50
TWN,19
TZA,52
UGA,50
UKR,58
URY,32
USA,34
UVK,31
UZB,39
VCT,51
VEN,50
VNM,39
VUT,37
WSM,45
YEM,57
ZAF,41
ZMB,31
ZWE,55
