Country,Size,Sector,Industry,Location,NUTS3_ID,COUNTY_ID,State,Name,Growth,Borrow,Shrink,EWS
CHE,Large,Technology,Software,"Appenzell Ausserrhoden, Ostschweiz, Schweiz/Suisse/Svizzera, CHE",CH053,,,Name1276319,False,True,True,Severe
CHE,Large,Technology,Software,"Appenzell Ausserrhoden, Ostschweiz, Schweiz/Suisse/Svizzera, CHE",CH053,,,Name1276320,True,True,False,High
CHE,Large,Technology,Software,"Appenzell Ausserrhoden, Ostschweiz, Schweiz/Suisse/Svizzera, CHE",CH053,,,Name1276321,False,True,True,High
CHE,Large,Technology,Software,"Appenzell Ausserrhoden, Ostschweiz, Schweiz/Suisse/Svizzera, CHE",CH053,,,Name1276322,True,False,False,Medium
CHE,Large,Technology,Software,"Appenzell Ausserrhoden, Ostschweiz, Schweiz/Suisse/Svizzera, CHE",CH053,,,Name1276323,True,False,False,Medium
CHE,Large,Technology,Software,"Appenzell Ausserrhoden, Ostschweiz, Schweiz/Suisse/Svizzera, CHE",CH053,,,Name1276324,False,True,True,High
CHE,Large,Technology,Software,"Appenzell Ausserrhoden, Ostschweiz, Schweiz/Suisse/Svizzera, CHE",CH053,,,Name1276326,True,True,False,High
CHE,Large,Technology,Software,"Appenzell Ausserrhoden, Ostschweiz, Schweiz/Suisse/Svizzera, CHE",CH053,,,Name1276327,True,False,False,Medium
CHE,Large,Technology,Software,"Appenzell Ausserrhoden, Ostschweiz, Schweiz/Suisse/Svizzera, CHE",CH053,,,Name1276328,False,True,True,Severe
CHE,Large,Technology,Software,"Appenzell Ausserrhoden, Ostschweiz, Schweiz/Suisse/Svizzera, CHE",CH053,,,Name1276329,True,False,False,Low
CHE,Large,Technology,Software,"Appenzell Ausserrhoden, Ostschweiz, Schweiz/Suisse/Svizzera, CHE",CH053,,,Name1276331,True,False,False,Severe
CHE,Large,Technology,Software,"Appenzell Ausserrhoden, Ostschweiz, Schweiz/Suisse/Svizzera, CHE",CH053,,,Name1276332,True,False,False,High
CHE,Large,Technology,Software,"Appenzell Ausserrhoden, Ostschweiz, Schweiz/Suisse/Svizzera, CHE",CH053,,,Name1276333,True,True,False,Low
CHE,Large,Technology,Hardware,"Appenzell Ausserrhoden, Ostschweiz, Schweiz/Suisse/Svizzera, CHE",CH053,,,Name1276334,False,True,True,Severe
CHE,Large,Technology,Hardware,"Appenzell Ausserrhoden, Ostschweiz, Schweiz/Suisse/Svizzera, CHE",CH053,,,Name1276335,True,False,False,Medium
CHE,Large,Technology,Hardware,"Appenzell Ausserrhoden, Ostschweiz, Schweiz/Suisse/Svizzera, CHE",CH053,,,Name1276336,False,True,False,Medium
CHE,Large,Technology,Hardware,"Appenzell Ausserrhoden, Ostschweiz, Schweiz/Suisse/Svizzera, CHE",CH053,,,Name1276337,False,True,True,Severe
CHE,Large,Technology,Hardware,"Appenzell Ausserrhoden, Ostschweiz, Schweiz/Suisse/Svizzera, CHE",CH053,,,Name1276338,True,False,False,Low
CHE,Large,Technology,Hardware,"Appenzell Ausserrhoden, Ostschweiz, Schweiz/Suisse/Svizzera, CHE",CH053,,,Name1276339,False,True,False,Severe
CHE,Large,Technology,Hardware,"Appenzell Ausserrhoden, Ostschweiz, Schweiz/Suisse/Svizzera, CHE",CH053,,,Name1276340,True,False,False,Severe
CHE,Large,Technology,Hardware,"Appenzell Ausserrhoden, Ostschweiz, Schweiz/Suisse/Svizzera, CHE",CH053,,,Name1276341,True,True,False,Low
CHE,Large,Technology,Hardware,"Appenzell Ausserrhoden, Ostschweiz, Schweiz/Suisse/Svizzera, CHE",CH053,,,Name1276342,True,True,False,Medium
CHE,Large,Technology,Hardware,"Appenzell Ausserrhoden, Ostschweiz, Schweiz/Suisse/Svizzera, CHE",CH053,,,Name1276343,False,True,False,Medium
CHE,Large,Technology,Hardware,"Appenzell Ausserrhoden, Ostschweiz, Schweiz/Suisse/Svizzera, CHE",CH053,,,Name1276344,True,True,False,Severe
CHE,Large,Technology,Hardware,"Appenzell Ausserrhoden, Ostschweiz, Schweiz/Suisse/Svizzera, CHE",CH053,,,Name1276345,True,False,False,Low
CHE,Large,Technology,Hardware,"Appenzell Ausserrhoden, Ostschweiz, Schweiz/Suisse/Svizzera, CHE",CH053,,,Name1276346,True,False,False,Low
CHE,Large,Technology,Hardware,"Appenzell Ausserrhoden, Ostschweiz, Schweiz/Suisse/Svizzera, CHE",CH053,,,Name1276347,False,True,False,Low
CHE,Large,Technology,Hardware,"Appenzell Ausserrhoden, Ostschweiz, Schweiz/Suisse/Svizzera, CHE",CH053,,,Name1276349,True,False,False,Low
CHE,Large,Technology,Hardware,"Appenzell Ausserrhoden, Ostschweiz, Schweiz/Suisse/Svizzera, CHE",CH053,,,Name1276350,True,True,False,Severe
CHE,Large,Technology,Hardware,"Appenzell Ausserrhoden, Ostschweiz, Schweiz/Suisse/Svizzera, CHE",CH053,,,Name1276351,True,False,False,Severe
CHE,Large,Technology,Hardware,"Appenzell Ausserrhoden, Ostschweiz, Schweiz/Suisse/Svizzera, CHE",CH053,,,Name1276352,False,True,False,High
CHE,Large,Technology,Hardware,"Appenzell Ausserrhoden, Ostschweiz, Schweiz/Suisse/Svizzera, CHE",CH053,,,Name1276353,False,True,True,Severe
CHE,Large,Technology,Hardware,"Appenzell Ausserrhoden, Ostschweiz, Schweiz/Suisse/Svizzera, CHE",CH053,,,Name1276354,False,True,False,Low
CHE,Large,Technology,Hardware,"Appenzell Ausserrhoden, Ostschweiz, Schweiz/Suisse/Svizzera, CHE",CH053,,,Name1276355,False,True,False,Severe
CHE,Large,Technology,IT Services,"Appenzell Ausserrhoden, Ostschweiz, Schweiz/Suisse/Svizzera, CHE",CH053,,,Name1276357,True,True,False,Severe
CHE,Large,Technology,IT Services,"Appenzell Ausserrhoden, Ostschweiz, Schweiz/Suisse/Svizzera, CHE",CH053,,,Name1276358,False,True,False,Medium
CHE,Large,Technology,IT Services,"Appenzell Ausserrhoden, Ostschweiz, Schweiz/Suisse/Svizzera, CHE",CH053,,,Name1276359,False,False,True,Medium
CHE,Large,Technology,IT Services,"Appenzell Ausserrhoden, Ostschweiz, Schweiz/Suisse/Svizzera, CHE",CH053,,,Name1276360,True,False,False,High
CHE,Large,Technology,IT Services,"Appenzell Ausserrhoden, Ostschweiz, Schweiz/Suisse/Svizzera, CHE",CH053,,,Name1276361,False,False,True,Medium
CHE,Large,Technology,IT Services,"Appenzell Ausserrhoden, Ostschweiz, Schweiz/Suisse/Svizzera, CHE",CH053,,,Name1276362,False,True,True,Medium
CHE,Large,Technology,IT Services,"Appenzell Ausserrhoden, Ostschweiz, Schweiz/Suisse/Svizzera, CHE",CH053,,,Name1276363,False,True,False,Severe
CHE,Large,Technology,IT Services,"Appenzell Ausserrhoden, Ostschweiz, Schweiz/Suisse/Svizzera, CHE",CH053,,,Name1276364,False,False,True,Severe
CHE,Large,Technology,IT Services,"Appenzell Ausserrhoden, Ostschweiz, Schweiz/Suisse/Svizzera, CHE",CH053,,,Name1276366,True,False,False,Low
CHE,Large,Technology,IT Services,"Appenzell Ausserrhoden, Ostschweiz, Schweiz/Suisse/Svizzera, CHE",CH053,,,Name1276367,False,True,True,Medium
CHE,Large,Technology,IT Services,"Appenzell Ausserrhoden, Ostschweiz, Schweiz/Suisse/Svizzera, CHE",CH053,,,Name1276368,False,False,True,Severe
CHE,Large,Technology,IT Services,"Appenzell Ausserrhoden, Ostschweiz, Schweiz/Suisse/Svizzera, CHE",CH053,,,Name1276370,True,False,False,Low
CHE,Large,Technology,IT Services,"Appenzell Ausserrhoden, Ostschweiz, Schweiz/Suisse/Svizzera, CHE",CH053,,,Name1276372,True,False,False,Severe
CHE,Large,Technology,IT Services,"Appenzell Ausserrhoden, Ostschweiz, Schweiz/Suisse/Svizzera, CHE",CH053,,,Name1276375,True,False,False,High
CHE,Large,Technology,IT Services,"Appenzell Ausserrhoden, Ostschweiz, Schweiz/Suisse/Svizzera, CHE",CH053,,,Name1276376,True,True,False,Low
CHE,Large,Technology,IT Services,"Appenzell Ausserrhoden, Ostschweiz, Schweiz/Suisse/Svizzera, CHE",CH053,,,Name1276377,False,False,True,Severe
CHE,Large,Technology,IT Services,"Appenzell Ausserrhoden, Ostschweiz, Schweiz/Suisse/Svizzera, CHE",CH053,,,Name1276378,True,True,False,Severe
CHE,Large,Technology,IT Services,"Appenzell Ausserrhoden, Ostschweiz, Schweiz/Suisse/Svizzera, CHE",CH053,,,Name1276379,False,True,True,Medium
CHE,Large,Technology,IT Services,"Appenzell Ausserrhoden, Ostschweiz, Schweiz/Suisse/Svizzera, CHE",CH053,,,Name1276380,True,False,False,High
CHE,Large,Technology,IT Services,"Appenzell Ausserrhoden, Ostschweiz, Schweiz/Suisse/Svizzera, CHE",CH053,,,Name1276382,True,True,False,Medium
CHE,Large,Technology,IT Services,"Appenzell Ausserrhoden, Ostschweiz, Schweiz/Suisse/Svizzera, CHE",CH053,,,Name1276383,False,True,False,Low
CHE,Large,Technology,IT Services,"Appenzell Ausserrhoden, Ostschweiz, Schweiz/Suisse/Svizzera, CHE",CH053,,,Name1276384,True,False,False,Severe
CHE,Large,Technology,IT Services,"Appenzell Ausserrhoden, Ostschweiz, Schweiz/Suisse/Svizzera, CHE",CH053,,,Name1276385,False,True,True,Low
CHE,Large,Technology,IT Services,"Appenzell Ausserrhoden, Ostschweiz, Schweiz/Suisse/Svizzera, CHE",CH053,,,Name1276387,True,False,False,Low
CHE,Large,Technology,IT Services,"Appenzell Ausserrhoden, Ostschweiz, Schweiz/Suisse/Svizzera, CHE",CH053,,,Name1276388,True,False,False,High
CHE,Large,Technology,IT Services,"Appenzell Ausserrhoden, Ostschweiz, Schweiz/Suisse/Svizzera, CHE",CH053,,,Name1276390,False,True,False,Severe
CHE,Large,Technology,IT Services,"Appenzell Ausserrhoden, Ostschweiz, Schweiz/Suisse/Svizzera, CHE",CH053,,,Name1276391,True,True,False,Medium
CHE,Large,Technology,IT Services,"Appenzell Ausserrhoden, Ostschweiz, Schweiz/Suisse/Svizzera, CHE",CH053,,,Name1276392,False,False,True,Low
CHE,Large,Technology,IT Services,"Appenzell Ausserrhoden, Ostschweiz, Schweiz/Suisse/Svizzera, CHE",CH053,,,Name1276393,False,True,True,Low
CHE,Large,Technology,IT Services,"Appenzell Ausserrhoden, Ostschweiz, Schweiz/Suisse/Svizzera, CHE",CH053,,,Name1276394,True,True,False,Severe
CHE,Large,Technology,IT Services,"Appenzell Ausserrhoden, Ostschweiz, Schweiz/Suisse/Svizzera, CHE",CH053,,,Name1276395,True,True,False,High
CHE,Large,Technology,IT Services,"Appenzell Ausserrhoden, Ostschweiz, Schweiz/Suisse/Svizzera, CHE",CH053,,,Name1276396,True,False,False,Medium
CHE,Large,Technology,IT Services,"Appenzell Ausserrhoden, Ostschweiz, Schweiz/Suisse/Svizzera, CHE",CH053,,,Name1276397,True,False,False,Medium
CHE,Large,Technology,IT Services,"Appenzell Ausserrhoden, Ostschweiz, Schweiz/Suisse/Svizzera, CHE",CH053,,,Name1276398,False,False,True,Severe
CHE,Large,Technology,IT Services,"Appenzell Ausserrhoden, Ostschweiz, Schweiz/Suisse/Svizzera, CHE",CH053,,,Name1276399,True,True,False,Medium
CHE,Large,Technology,IT Services,"Appenzell Ausserrhoden, Ostschweiz, Schweiz/Suisse/Svizzera, CHE",CH053,,,Name1276400,True,False,False,Severe
CHE,Large,Technology,IT Services,"Appenzell Ausserrhoden, Ostschweiz, Schweiz/Suisse/Svizzera, CHE",CH053,,,Name1276401,False,False,True,Severe
CHE,Large,Technology,IT Services,"Appenzell Ausserrhoden, Ostschweiz, Schweiz/Suisse/Svizzera, CHE",CH053,,,Name1276402,True,False,False,High
CHE,Large,Technology,IT Services,"Appenzell Ausserrhoden, Ostschweiz, Schweiz/Suisse/Svizzera, CHE",CH053,,,Name1276403,True,False,False,Low
CHE,Large,Healthcare,Pharmaceuticals,"Appenzell Ausserrhoden, Ostschweiz, Schweiz/Suisse/Svizzera, CHE",CH053,,,Name1276405,False,True,False,Medium
CHE,Large,Healthcare,Pharmaceuticals,"Appenzell Ausserrhoden, Ostschweiz, Schweiz/Suisse/Svizzera, CHE",CH053,,,Name1276407,True,False,False,Low
CHE,Large,Healthcare,Pharmaceuticals,"Appenzell Ausserrhoden, Ostschweiz, Schweiz/Suisse/Svizzera, CHE",CH053,,,Name1276408,True,False,False,Medium
CHE,Large,Healthcare,Pharmaceuticals,"Appenzell Ausserrhoden, Ostschweiz, Schweiz/Suisse/Svizzera, CHE",CH053,,,Name1276409,True,True,False,Medium
CHE,Large,Healthcare,Pharmaceuticals,"Appenzell Ausserrhoden, Ostschweiz, Schweiz/Suisse/Svizzera, CHE",CH053,,,Name1276410,False,True,True,Medium
CHE,Large,Healthcare,Pharmaceuticals,"Appenzell Ausserrhoden, Ostschweiz, Schweiz/Suisse/Svizzera, CHE",CH053,,,Name1276411,True,True,False,Low
CHE,Large,Healthcare,Pharmaceuticals,"Appenzell Ausserrhoden, Ostschweiz, Schweiz/Suisse/Svizzera, CHE",CH053,,,Name1276412,True,True,False,Low
CHE,Large,Healthcare,Pharmaceuticals,"Appenzell Ausserrhoden, Ostschweiz, Schweiz/Suisse/Svizzera, CHE",CH053,,,Name1276414,True,False,False,Severe
CHE,Large,Healthcare,Pharmaceuticals,"Appenzell Ausserrhoden, Ostschweiz, Schweiz/Suisse/Svizzera, CHE",CH053,,,Name1276415,False,True,True,Medium
CHE,Large,Healthcare,Pharmaceuticals,"Appenzell Ausserrhoden, Ostschweiz, Schweiz/Suisse/Svizzera, CHE",CH053,,,Name1276416,False,True,True,High
CHE,Large,Healthcare,Pharmaceuticals,"Appenzell Ausserrhoden, Ostschweiz, Schweiz/Suisse/Svizzera, CHE",CH053,,,Name1276417,False,False,True,Severe
CHE,Large,Healthcare,Pharmaceuticals,"Appenzell Ausserrhoden, Ostschweiz, Schweiz/Suisse/Svizzera, CHE",CH053,,,Name1276419,False,True,False,Medium
CHE,Large,Healthcare,Pharmaceuticals,"Appenzell Ausserrhoden, Ostschweiz, Schweiz/Suisse/Svizzera, CHE",CH053,,,Name1276420,False,True,False,High
CHE,Large,Healthcare,Pharmaceuticals,"Appenzell Ausserrhoden, Ostschweiz, Schweiz/Suisse/Svizzera, CHE",CH053,,,Name1276421,True,False,False,Severe
CHE,Large,Healthcare,Pharmaceuticals,"Appenzell Ausserrhoden, Ostschweiz, Schweiz/Suisse/Svizzera, CHE",CH053,,,Name1276422,True,False,False,Severe
CHE,Large,Healthcare,Pharmaceuticals,"Appenzell Ausserrhoden, Ostschweiz, Schweiz/Suisse/Svizzera, CHE",CH053,,,Name1276423,True,False,False,Low
CHE,Large,Healthcare,Pharmaceuticals,"Appenzell Ausserrhoden, Ostschweiz, Schweiz/Suisse/Svizzera, CHE",CH053,,,Name1276424,True,True,False,Medium
CHE,Large,Healthcare,Pharmaceuticals,"Appenzell Ausserrhoden, Ostschweiz, Schweiz/Suisse/Svizzera, CHE",CH053,,,Name1276425,True,True,False,Severe
