Country,Size,Sector,Industry,Location,NUTS3_ID,COUNTY_ID,State,Name,Growth,Borrow,Shrink,EWS
DEU,Large,Technology,Software,"Fürstenfeldbruck, Oberbayern, Bayern, DEU",DE21C,,,Name1613467,True,False,False,Medium
DEU,Large,Technology,Software,"Fürstenfeldbruck, Oberbayern, Bayern, DEU",DE21C,,,Name1613468,True,False,False,High
DEU,Large,Technology,Software,"Fürstenfeldbruck, Oberbayern, Bayern, DEU",DE21C,,,Name1613469,False,True,True,Severe
DEU,Large,Technology,Software,"Fürstenfeldbruck, Oberbayern, Bayern, DEU",DE21C,,,Name1613470,False,True,False,Low
DEU,Large,Technology,Software,"Fürstenfeldbruck, Oberbayern, Bayern, DEU",DE21C,,,Name1613471,True,True,False,Medium
DEU,Large,Technology,Software,"Fürstenfeldbruck, Oberbayern, Bayern, DEU",DE21C,,,Name1613472,True,True,False,High
DEU,Large,Technology,Software,"Fürstenfeldbruck, Oberbayern, Bayern, DEU",DE21C,,,Name1613473,True,False,False,Medium
DEU,Large,Technology,Software,"Fürstenfeldbruck, Oberbayern, Bayern, DEU",DE21C,,,Name1613474,True,True,False,Low
DEU,Large,Technology,Software,"Fürstenfeldbruck, Oberbayern, Bayern, DEU",DE21C,,,Name1613475,False,True,False,Low
DEU,Large,Technology,Software,"Fürstenfeldbruck, Oberbayern, Bayern, DEU",DE21C,,,Name1613476,False,False,True,Severe
DEU,Large,Technology,Software,"Fürstenfeldbruck, Oberbayern, Bayern, DEU",DE21C,,,Name1613477,False,True,True,Low
DEU,Large,Technology,Software,"Fürstenfeldbruck, Oberbayern, Bayern, DEU",DE21C,,,Name1613479,False,False,True,Medium
DEU,Large,Technology,Software,"Fürstenfeldbruck, Oberbayern, Bayern, DEU",DE21C,,,Name1613481,False,False,True,Severe
DEU,Large,Technology,Software,"Fürstenfeldbruck, Oberbayern, Bayern, DEU",DE21C,,,Name1613482,True,True,False,Low
DEU,Large,Technology,Software,"Fürstenfeldbruck, Oberbayern, Bayern, DEU",DE21C,,,Name1613483,True,False,False,High
DEU,Large,Technology,Software,"Fürstenfeldbruck, Oberbayern, Bayern, DEU",DE21C,,,Name1613484,True,True,False,High
DEU,Large,Technology,Software,"Fürstenfeldbruck, Oberbayern, Bayern, DEU",DE21C,,,Name1613485,False,False,True,High
DEU,Large,Technology,Software,"Fürstenfeldbruck, Oberbayern, Bayern, DEU",DE21C,,,Name1613486,True,True,False,Severe
DEU,Large,Technology,Software,"Fürstenfeldbruck, Oberbayern, Bayern, DEU",DE21C,,,Name1613487,True,True,False,Severe
DEU,Large,Technology,Software,"Fürstenfeldbruck, Oberbayern, Bayern, DEU",DE21C,,,Name1613488,False,False,True,High
DEU,Large,Technology,Hardware,"Fürstenfeldbruck, Oberbayern, Bayern, DEU",DE21C,,,Name1613489,False,True,False,High
DEU,Large,Technology,Hardware,"Fürstenfeldbruck, Oberbayern, Bayern, DEU",DE21C,,,Name1613490,False,False,True,Low
DEU,Large,Technology,Hardware,"Fürstenfeldbruck, Oberbayern, Bayern, DEU",DE21C,,,Name1613491,False,True,True,Severe
DEU,Large,Technology,Hardware,"Fürstenfeldbruck, Oberbayern, Bayern, DEU",DE21C,,,Name1613492,True,False,False,Severe
