Country,Size,Sector,Industry,Location,NUTS3_ID,COUNTY_ID,State,Name,Growth,Borrow,Shrink,EWS
DEU,Large,Technology,Software,"Mülheim an der Ruhr, Kreisfreie Stadt, Düsseldorf, Nordrhein-Westfalen, DEU",DEA16,,,Name2473435,True,True,False,High
DEU,Large,Technology,Software,"Mülheim an der Ruhr, Kreisfreie Stadt, Düsseldorf, Nordrhein-Westfalen, DEU",DEA16,,,Name2473437,True,False,False,Severe
DEU,Large,Technology,Software,"Mülheim an der Ruhr, Kreisfreie Stadt, Düsseldorf, Nordrhein-Westfalen, DEU",DEA16,,,Name2473439,True,False,False,High
DEU,Large,Technology,Software,"Mülheim an der Ruhr, Kreisfreie Stadt, Düsseldorf, Nordrhein-Westfalen, DEU",DEA16,,,Name2473440,False,True,True,High
DEU,Large,Technology,Software,"Mülheim an der Ruhr, Kreisfreie Stadt, Düsseldorf, Nordrhein-Westfalen, DEU",DEA16,,,Name2473441,True,True,False,High
DEU,Large,Technology,Software,"Mülheim an der Ruhr, Kreisfreie Stadt, Düsseldorf, Nordrhein-Westfalen, DEU",DEA16,,,Name2473442,True,True,False,Low
DEU,Large,Technology,Software,"Mülheim an der Ruhr, Kreisfreie Stadt, Düsseldorf, Nordrhein-Westfalen, DEU",DEA16,,,Name2473443,False,True,True,Medium
DEU,Large,Technology,Software,"Mülheim an der Ruhr, Kreisfreie Stadt, Düsseldorf, Nordrhein-Westfalen, DEU",DEA16,,,Name2473444,True,True,False,High
DEU,Large,Technology,Software,"Mülheim an der Ruhr, Kreisfreie Stadt, Düsseldorf, Nordrhein-Westfalen, DEU",DEA16,,,Name2473445,False,True,True,Severe
DEU,Large,Technology,Software,"Mülheim an der Ruhr, Kreisfreie Stadt, Düsseldorf, Nordrhein-Westfalen, DEU",DEA16,,,Name2473446,True,True,False,Severe
DEU,Large,Technology,Software,"Mülheim an der Ruhr, Kreisfreie Stadt, Düsseldorf, Nordrhein-Westfalen, DEU",DEA16,,,Name2473447,True,True,False,High
DEU,Large,Technology,Software,"Mülheim an der Ruhr, Kreisfreie Stadt, Düsseldorf, Nordrhein-Westfalen, DEU",DEA16,,,Name2473448,False,False,True,Low
DEU,Large,Technology,Software,"Mülheim an der Ruhr, Kreisfreie Stadt, Düsseldorf, Nordrhein-Westfalen, DEU",DEA16,,,Name2473450,True,True,False,Low
DEU,Large,Technology,Software,"Mülheim an der Ruhr, Kreisfreie Stadt, Düsseldorf, Nordrhein-Westfalen, DEU",DEA16,,,Name2473451,True,True,False,High
DEU,Large,Technology,Software,"Mülheim an der Ruhr, Kreisfreie Stadt, Düsseldorf, Nordrhein-Westfalen, DEU",DEA16,,,Name2473452,False,True,False,High
DEU,Large,Technology,Software,"Mülheim an der Ruhr, Kreisfreie Stadt, Düsseldorf, Nordrhein-Westfalen, DEU",DEA16,,,Name2473453,True,True,False,Medium
DEU,Large,Technology,Software,"Mülheim an der Ruhr, Kreisfreie Stadt, Düsseldorf, Nordrhein-Westfalen, DEU",DEA16,,,Name2473454,True,False,False,High
DEU,Large,Technology,Software,"Mülheim an der Ruhr, Kreisfreie Stadt, Düsseldorf, Nordrhein-Westfalen, DEU",DEA16,,,Name2473455,False,True,True,Severe
DEU,Large,Technology,Software,"Mülheim an der Ruhr, Kreisfreie Stadt, Düsseldorf, Nordrhein-Westfalen, DEU",DEA16,,,Name2473456,False,True,False,High
DEU,Large,Technology,Software,"Mülheim an der Ruhr, Kreisfreie Stadt, Düsseldorf, Nordrhein-Westfalen, DEU",DEA16,,,Name2473457,True,True,False,Medium
DEU,Large,Technology,Software,"Mülheim an der Ruhr, Kreisfreie Stadt, Düsseldorf, Nordrhein-Westfalen, DEU",DEA16,,,Name2473458,True,True,False,Severe
DEU,Large,Technology,Software,"Mülheim an der Ruhr, Kreisfreie Stadt, Düsseldorf, Nordrhein-Westfalen, DEU",DEA16,,,Name2473459,True,False,False,Medium
DEU,Large,Technology,Software,"Mülheim an der Ruhr, Kreisfreie Stadt, Düsseldorf, Nordrhein-Westfalen, DEU",DEA16,,,Name2473460,False,True,True,Low
DEU,Large,Technology,Software,"Mülheim an der Ruhr, Kreisfreie Stadt, Düsseldorf, Nordrhein-Westfalen, DEU",DEA16,,,Name2473461,True,True,False,Medium
DEU,Large,Technology,Software,"Mülheim an der Ruhr, Kreisfreie Stadt, Düsseldorf, Nordrhein-Westfalen, DEU",DEA16,,,Name2473462,True,False,False,Medium
DEU,Large,Technology,Software,"Mülheim an der Ruhr, Kreisfreie Stadt, Düsseldorf, Nordrhein-Westfalen, DEU",DEA16,,,Name2473463,True,False,False,Medium
DEU,Large,Technology,Software,"Mülheim an der Ruhr, Kreisfreie Stadt, Düsseldorf, Nordrhein-Westfalen, DEU",DEA16,,,Name2473464,False,False,True,Medium
DEU,Large,Technology,Hardware,"Mülheim an der Ruhr, Kreisfreie Stadt, Düsseldorf, Nordrhein-Westfalen, DEU",DEA16,,,Name2473465,True,False,False,Severe
DEU,Large,Technology,Hardware,"Mülheim an der Ruhr, Kreisfreie Stadt, Düsseldorf, Nordrhein-Westfalen, DEU",DEA16,,,Name2473466,False,False,True,Low
DEU,Large,Technology,Hardware,"Mülheim an der Ruhr, Kreisfreie Stadt, Düsseldorf, Nordrhein-Westfalen, DEU",DEA16,,,Name2473467,True,False,False,High
DEU,Large,Technology,Hardware,"Mülheim an der Ruhr, Kreisfreie Stadt, Düsseldorf, Nordrhein-Westfalen, DEU",DEA16,,,Name2473468,False,True,True,Severe
DEU,Large,Technology,Hardware,"Mülheim an der Ruhr, Kreisfreie Stadt, Düsseldorf, Nordrhein-Westfalen, DEU",DEA16,,,Name2473469,True,True,False,Medium
DEU,Large,Technology,Hardware,"Mülheim an der Ruhr, Kreisfreie Stadt, Düsseldorf, Nordrhein-Westfalen, DEU",DEA16,,,Name2473470,True,True,False,Severe
DEU,Large,Technology,Hardware,"Mülheim an der Ruhr, Kreisfreie Stadt, Düsseldorf, Nordrhein-Westfalen, DEU",DEA16,,,Name2473471,False,True,True,Low
DEU,Large,Technology,Hardware,"Mülheim an der Ruhr, Kreisfreie Stadt, Düsseldorf, Nordrhein-Westfalen, DEU",DEA16,,,Name2473472,True,False,False,Medium
DEU,Large,Technology,Hardware,"Mülheim an der Ruhr, Kreisfreie Stadt, Düsseldorf, Nordrhein-Westfalen, DEU",DEA16,,,Name2473473,True,True,False,Severe
DEU,Large,Technology,Hardware,"Mülheim an der Ruhr, Kreisfreie Stadt, Düsseldorf, Nordrhein-Westfalen, DEU",DEA16,,,Name2473474,True,True,False,Medium
DEU,Large,Technology,Hardware,"Mülheim an der Ruhr, Kreisfreie Stadt, Düsseldorf, Nordrhein-Westfalen, DEU",DEA16,,,Name2473475,True,False,False,Severe
DEU,Large,Technology,Hardware,"Mülheim an der Ruhr, Kreisfreie Stadt, Düsseldorf, Nordrhein-Westfalen, DEU",DEA16,,,Name2473476,False,True,False,Medium
DEU,Large,Technology,Hardware,"Mülheim an der Ruhr, Kreisfreie Stadt, Düsseldorf, Nordrhein-Westfalen, DEU",DEA16,,,Name2473477,True,True,False,Low
DEU,Large,Technology,Hardware,"Mülheim an der Ruhr, Kreisfreie Stadt, Düsseldorf, Nordrhein-Westfalen, DEU",DEA16,,,Name2473478,True,False,False,Low
DEU,Large,Technology,IT Services,"Mülheim an der Ruhr, Kreisfreie Stadt, Düsseldorf, Nordrhein-Westfalen, DEU",DEA16,,,Name2473482,True,False,False,Severe
DEU,Large,Technology,IT Services,"Mülheim an der Ruhr, Kreisfreie Stadt, Düsseldorf, Nordrhein-Westfalen, DEU",DEA16,,,Name2473484,True,True,False,Medium
DEU,Large,Technology,IT Services,"Mülheim an der Ruhr, Kreisfreie Stadt, Düsseldorf, Nordrhein-Westfalen, DEU",DEA16,,,Name2473485,True,True,False,Severe
DEU,Large,Technology,IT Services,"Mülheim an der Ruhr, Kreisfreie Stadt, Düsseldorf, Nordrhein-Westfalen, DEU",DEA16,,,Name2473486,False,False,True,High
DEU,Large,Technology,IT Services,"Mülheim an der Ruhr, Kreisfreie Stadt, Düsseldorf, Nordrhein-Westfalen, DEU",DEA16,,,Name2473488,True,True,False,Medium
DEU,Large,Technology,IT Services,"Mülheim an der Ruhr, Kreisfreie Stadt, Düsseldorf, Nordrhein-Westfalen, DEU",DEA16,,,Name2473489,True,False,False,Low
DEU,Large,Technology,IT Services,"Mülheim an der Ruhr, Kreisfreie Stadt, Düsseldorf, Nordrhein-Westfalen, DEU",DEA16,,,Name2473490,True,False,False,High
DEU,Large,Technology,IT Services,"Mülheim an der Ruhr, Kreisfreie Stadt, Düsseldorf, Nordrhein-Westfalen, DEU",DEA16,,,Name2473493,False,False,True,Severe
DEU,Large,Technology,IT Services,"Mülheim an der Ruhr, Kreisfreie Stadt, Düsseldorf, Nordrhein-Westfalen, DEU",DEA16,,,Name2473494,False,True,False,Severe
DEU,Large,Technology,IT Services,"Mülheim an der Ruhr, Kreisfreie Stadt, Düsseldorf, Nordrhein-Westfalen, DEU",DEA16,,,Name2473496,False,True,False,Medium
DEU,Large,Technology,IT Services,"Mülheim an der Ruhr, Kreisfreie Stadt, Düsseldorf, Nordrhein-Westfalen, DEU",DEA16,,,Name2473497,True,True,False,High
DEU,Large,Technology,IT Services,"Mülheim an der Ruhr, Kreisfreie Stadt, Düsseldorf, Nordrhein-Westfalen, DEU",DEA16,,,Name2473498,True,False,False,Low
DEU,Large,Technology,IT Services,"Mülheim an der Ruhr, Kreisfreie Stadt, Düsseldorf, Nordrhein-Westfalen, DEU",DEA16,,,Name2473499,True,False,False,Severe
DEU,Large,Technology,IT Services,"Mülheim an der Ruhr, Kreisfreie Stadt, Düsseldorf, Nordrhein-Westfalen, DEU",DEA16,,,Name2473500,True,True,False,Severe
DEU,Large,Technology,IT Services,"Mülheim an der Ruhr, Kreisfreie Stadt, Düsseldorf, Nordrhein-Westfalen, DEU",DEA16,,,Name2473502,True,True,False,Severe
DEU,Large,Technology,IT Services,"Mülheim an der Ruhr, Kreisfreie Stadt, Düsseldorf, Nordrhein-Westfalen, DEU",DEA16,,,Name2473503,False,False,True,High
DEU,Large,Technology,IT Services,"Mülheim an der Ruhr, Kreisfreie Stadt, Düsseldorf, Nordrhein-Westfalen, DEU",DEA16,,,Name2473504,True,False,False,Severe
DEU,Large,Technology,IT Services,"Mülheim an der Ruhr, Kreisfreie Stadt, Düsseldorf, Nordrhein-Westfalen, DEU",DEA16,,,Name2473505,True,True,False,Severe
DEU,Large,Technology,IT Services,"Mülheim an der Ruhr, Kreisfreie Stadt, Düsseldorf, Nordrhein-Westfalen, DEU",DEA16,,,Name2473506,True,True,False,High
DEU,Large,Technology,IT Services,"Mülheim an der Ruhr, Kreisfreie Stadt, Düsseldorf, Nordrhein-Westfalen, DEU",DEA16,,,Name2473507,False,True,False,Medium
DEU,Large,Technology,IT Services,"Mülheim an der Ruhr, Kreisfreie Stadt, Düsseldorf, Nordrhein-Westfalen, DEU",DEA16,,,Name2473508,False,True,False,Severe
DEU,Large,Technology,IT Services,"Mülheim an der Ruhr, Kreisfreie Stadt, Düsseldorf, Nordrhein-Westfalen, DEU",DEA16,,,Name2473509,False,False,True,Low
DEU,Large,Technology,IT Services,"Mülheim an der Ruhr, Kreisfreie Stadt, Düsseldorf, Nordrhein-Westfalen, DEU",DEA16,,,Name2473510,True,True,False,Medium
DEU,Large,Technology,IT Services,"Mülheim an der Ruhr, Kreisfreie Stadt, Düsseldorf, Nordrhein-Westfalen, DEU",DEA16,,,Name2473511,True,False,False,Low
DEU,Large,Technology,IT Services,"Mülheim an der Ruhr, Kreisfreie Stadt, Düsseldorf, Nordrhein-Westfalen, DEU",DEA16,,,Name2473513,True,False,False,Severe
DEU,Large,Technology,IT Services,"Mülheim an der Ruhr, Kreisfreie Stadt, Düsseldorf, Nordrhein-Westfalen, DEU",DEA16,,,Name2473514,True,True,False,Severe
DEU,Large,Technology,IT Services,"Mülheim an der Ruhr, Kreisfreie Stadt, Düsseldorf, Nordrhein-Westfalen, DEU",DEA16,,,Name2473515,True,False,False,Severe
DEU,Large,Technology,IT Services,"Mülheim an der Ruhr, Kreisfreie Stadt, Düsseldorf, Nordrhein-Westfalen, DEU",DEA16,,,Name2473516,False,False,True,Low
DEU,Large,Technology,IT Services,"Mülheim an der Ruhr, Kreisfreie Stadt, Düsseldorf, Nordrhein-Westfalen, DEU",DEA16,,,Name2473517,True,True,False,Medium
DEU,Large,Technology,IT Services,"Mülheim an der Ruhr, Kreisfreie Stadt, Düsseldorf, Nordrhein-Westfalen, DEU",DEA16,,,Name2473518,True,True,False,Low
DEU,Large,Technology,IT Services,"Mülheim an der Ruhr, Kreisfreie Stadt, Düsseldorf, Nordrhein-Westfalen, DEU",DEA16,,,Name2473519,True,False,False,Severe
