Country,Size,Sector,Location,NUTS3_ID,COUNTY_ID,State,Name,Growth,Borrow,Shrink,IR,EWS
DEU,Large,HiTech,"Ennepe-Ruhr-Kreis, Arnsberg, Nordrhein-Westfalen, DEU",DEA56,,,Name676305,False,False,True,Baa3,Severe
DEU,Large,HiTech,"Ennepe-Ruhr-Kreis, Arnsberg, Nordrhein-Westfalen, DEU",DEA56,,,Name676306,True,False,False,A1,High
DEU,Large,HiTech,"Ennepe-Ruhr-Kreis, Arnsberg, Nordrhein-Westfalen, DEU",DEA56,,,Name676307,False,False,True,B2,Severe
DEU,Large,HiTech,"Ennepe-Ruhr-Kreis, Arnsberg, Nordrhein-Westfalen, DEU",DEA56,,,Name676308,True,False,False,Ba3,High
DEU,Large,HiTech,"Ennepe-Ruhr-Kreis, Arnsberg, Nordrhein-Westfalen, DEU",DEA56,,,Name676309,False,False,True,B1,Medium
DEU,Large,HiTech,"Ennepe-Ruhr-Kreis, Arnsberg, Nordrhein-Westfalen, DEU",DEA56,,,Name676310,True,False,False,B2,High
DEU,Large,HiTech,"Ennepe-Ruhr-Kreis, Arnsberg, Nordrhein-Westfalen, DEU",DEA56,,,Name676311,False,True,True,Caa/C,Severe
DEU,Large,HiTech,"Ennepe-Ruhr-Kreis, Arnsberg, Nordrhein-Westfalen, DEU",DEA56,,,Name676312,False,False,True,A2,Medium
DEU,Large,HiTech,"Ennepe-Ruhr-Kreis, Arnsberg, Nordrhein-Westfalen, DEU",DEA56,,,Name676313,False,True,False,Baa3,Medium
DEU,Large,HiTech,"Ennepe-Ruhr-Kreis, Arnsberg, Nordrhein-Westfalen, DEU",DEA56,,,Name676314,False,True,True,Caa/C,High
DEU,Large,HiTech,"Ennepe-Ruhr-Kreis, Arnsberg, Nordrhein-Westfalen, DEU",DEA56,,,Name676315,True,True,False,B3,Medium
DEU,Large,HiTech,"Ennepe-Ruhr-Kreis, Arnsberg, Nordrhein-Westfalen, DEU",DEA56,,,Name676316,True,False,False,B1,Severe
DEU,Large,HiTech,"Ennepe-Ruhr-Kreis, Arnsberg, Nordrhein-Westfalen, DEU",DEA56,,,Name676317,False,True,True,Baa3,High
DEU,Large,HiTech,"Ennepe-Ruhr-Kreis, Arnsberg, Nordrhein-Westfalen, DEU",DEA56,,,Name676318,True,True,False,Baa2,Severe
DEU,Large,HiTech,"Ennepe-Ruhr-Kreis, Arnsberg, Nordrhein-Westfalen, DEU",DEA56,,,Name676319,False,True,True,Aa2,Medium
DEU,Large,HiTech,"Ennepe-Ruhr-Kreis, Arnsberg, Nordrhein-Westfalen, DEU",DEA56,,,Name676320,True,True,False,Ba1,Low
DEU,Large,HiTech,"Ennepe-Ruhr-Kreis, Arnsberg, Nordrhein-Westfalen, DEU",DEA56,,,Name676321,False,False,True,Baa1,Medium
DEU,Large,Agriculture,"Ennepe-Ruhr-Kreis, Arnsberg, Nordrhein-Westfalen, DEU",DEA56,,,Name676323,True,False,False,Ba1,Severe
DEU,Large,Agriculture,"Ennepe-Ruhr-Kreis, Arnsberg, Nordrhein-Westfalen, DEU",DEA56,,,Name676324,True,False,False,Baa2,High
DEU,Large,Agriculture,"Ennepe-Ruhr-Kreis, Arnsberg, Nordrhein-Westfalen, DEU",DEA56,,,Name676325,True,True,False,B1,Low
DEU,Large,Agriculture,"Ennepe-Ruhr-Kreis, Arnsberg, Nordrhein-Westfalen, DEU",DEA56,,,Name676326,True,False,False,Caa/C,Severe
DEU,Large,Agriculture,"Ennepe-Ruhr-Kreis, Arnsberg, Nordrhein-Westfalen, DEU",DEA56,,,Name676328,True,False,False,B3,High
DEU,Large,Agriculture,"Ennepe-Ruhr-Kreis, Arnsberg, Nordrhein-Westfalen, DEU",DEA56,,,Name676329,False,True,False,Baa2,High
DEU,Large,Agriculture,"Ennepe-Ruhr-Kreis, Arnsberg, Nordrhein-Westfalen, DEU",DEA56,,,Name676330,True,True,False,Aa3,High
DEU,Large,Agriculture,"Ennepe-Ruhr-Kreis, Arnsberg, Nordrhein-Westfalen, DEU",DEA56,,,Name676331,False,True,True,Aa2,Severe
DEU,Large,Agriculture,"Ennepe-Ruhr-Kreis, Arnsberg, Nordrhein-Westfalen, DEU",DEA56,,,Name676332,True,True,False,Aa3,Severe
DEU,Large,Agriculture,"Ennepe-Ruhr-Kreis, Arnsberg, Nordrhein-Westfalen, DEU",DEA56,,,Name676334,False,True,True,A1,High
