Country,Size,Sector,Industry,Location,NUTS3_ID,COUNTY_ID,State,Name,Growth,Borrow,Shrink,EWS
DEU,Large,Technology,Software,"Erzgebirgskreis, Chemnitz, Sachsen, DEU",DED42,,,Name2227127,False,True,True,Medium
DEU,Large,Technology,Software,"Erzgebirgskreis, Chemnitz, Sachsen, DEU",DED42,,,Name2227128,True,False,False,Low
DEU,Large,Technology,Software,"Erzgebirgskreis, Chemnitz, Sachsen, DEU",DED42,,,Name2227129,True,False,False,Medium
DEU,Large,Technology,Software,"Erzgebirgskreis, Chemnitz, Sachsen, DEU",DED42,,,Name2227130,True,False,False,Severe
DEU,Large,Technology,Software,"Erzgebirgskreis, Chemnitz, Sachsen, DEU",DED42,,,Name2227131,True,True,False,High
DEU,Large,Technology,Hardware,"Erzgebirgskreis, Chemnitz, Sachsen, DEU",DED42,,,Name2227133,False,True,False,Low
DEU,Large,Technology,Hardware,"Erzgebirgskreis, Chemnitz, Sachsen, DEU",DED42,,,Name2227134,False,False,True,Medium
DEU,Large,Technology,Hardware,"Erzgebirgskreis, Chemnitz, Sachsen, DEU",DED42,,,Name2227135,True,False,False,Medium
DEU,Large,Technology,Hardware,"Erzgebirgskreis, Chemnitz, Sachsen, DEU",DED42,,,Name2227136,False,False,True,High
DEU,Large,Technology,Hardware,"Erzgebirgskreis, Chemnitz, Sachsen, DEU",DED42,,,Name2227137,True,True,False,Severe
DEU,Large,Technology,Hardware,"Erzgebirgskreis, Chemnitz, Sachsen, DEU",DED42,,,Name2227138,True,True,False,Medium
DEU,Large,Technology,Hardware,"Erzgebirgskreis, Chemnitz, Sachsen, DEU",DED42,,,Name2227139,True,False,False,Low
DEU,Large,Technology,Hardware,"Erzgebirgskreis, Chemnitz, Sachsen, DEU",DED42,,,Name2227140,False,True,True,Severe
DEU,Large,Technology,Hardware,"Erzgebirgskreis, Chemnitz, Sachsen, DEU",DED42,,,Name2227141,False,True,True,Medium
DEU,Large,Technology,Hardware,"Erzgebirgskreis, Chemnitz, Sachsen, DEU",DED42,,,Name2227142,False,True,False,Low
DEU,Large,Technology,Hardware,"Erzgebirgskreis, Chemnitz, Sachsen, DEU",DED42,,,Name2227143,False,True,False,High
DEU,Large,Technology,Hardware,"Erzgebirgskreis, Chemnitz, Sachsen, DEU",DED42,,,Name2227144,False,True,False,Severe
DEU,Large,Technology,Hardware,"Erzgebirgskreis, Chemnitz, Sachsen, DEU",DED42,,,Name2227145,False,True,False,Severe
