Country,Size,Sector,Location,NUTS3_ID,COUNTY_ID,State,Name,Growth,Borrow,Shrink,IR,EWS
DEU,Large,HiTech,"Leipzig, Kreisfreie Stadt, Leipzig, Sachsen, DEU",DED51,,,Name685689,False,True,False,B3,Medium
DEU,Large,HiTech,"Leipzig, Kreisfreie Stadt, Leipzig, Sachsen, DEU",DED51,,,Name685690,False,False,True,Baa1,Severe
DEU,Large,HiTech,"Leipzig, Kreisfreie Stadt, Leipzig, Sachsen, DEU",DED51,,,Name685691,True,True,False,Ba1,Severe
DEU,Large,HiTech,"Leipzig, Kreisfreie Stadt, Leipzig, Sachsen, DEU",DED51,,,Name685692,True,False,False,A2,Severe
DEU,Large,HiTech,"Leipzig, Kreisfreie Stadt, Leipzig, Sachsen, DEU",DED51,,,Name685693,True,False,False,B1,Medium
DEU,Large,HiTech,"Leipzig, Kreisfreie Stadt, Leipzig, Sachsen, DEU",DED51,,,Name685694,False,True,False,Aaa,Low
DEU,Large,HiTech,"Leipzig, Kreisfreie Stadt, Leipzig, Sachsen, DEU",DED51,,,Name685695,False,True,True,Baa1,Severe
DEU,Large,HiTech,"Leipzig, Kreisfreie Stadt, Leipzig, Sachsen, DEU",DED51,,,Name685696,False,False,True,A3,Low
DEU,Large,HiTech,"Leipzig, Kreisfreie Stadt, Leipzig, Sachsen, DEU",DED51,,,Name685697,False,True,False,Aa3,Severe
DEU,Large,HiTech,"Leipzig, Kreisfreie Stadt, Leipzig, Sachsen, DEU",DED51,,,Name685698,False,False,True,Aa1,Low
DEU,Large,HiTech,"Leipzig, Kreisfreie Stadt, Leipzig, Sachsen, DEU",DED51,,,Name685699,True,False,False,Aa2,Low
DEU,Large,HiTech,"Leipzig, Kreisfreie Stadt, Leipzig, Sachsen, DEU",DED51,,,Name685700,True,False,False,Ba3,Medium
DEU,Large,HiTech,"Leipzig, Kreisfreie Stadt, Leipzig, Sachsen, DEU",DED51,,,Name685701,False,False,True,Ba2,Low
DEU,Large,HiTech,"Leipzig, Kreisfreie Stadt, Leipzig, Sachsen, DEU",DED51,,,Name685702,True,False,False,B1,High
DEU,Large,HiTech,"Leipzig, Kreisfreie Stadt, Leipzig, Sachsen, DEU",DED51,,,Name685703,False,False,True,Aa2,High
DEU,Large,HiTech,"Leipzig, Kreisfreie Stadt, Leipzig, Sachsen, DEU",DED51,,,Name685704,False,False,True,Ba1,Medium
DEU,Large,HiTech,"Leipzig, Kreisfreie Stadt, Leipzig, Sachsen, DEU",DED51,,,Name685705,True,True,False,Aaa,Severe
DEU,Large,HiTech,"Leipzig, Kreisfreie Stadt, Leipzig, Sachsen, DEU",DED51,,,Name685706,False,True,True,A1,Low
DEU,Large,HiTech,"Leipzig, Kreisfreie Stadt, Leipzig, Sachsen, DEU",DED51,,,Name685707,True,True,False,Ba2,High
DEU,Large,HiTech,"Leipzig, Kreisfreie Stadt, Leipzig, Sachsen, DEU",DED51,,,Name685708,False,False,True,A3,Severe
DEU,Large,HiTech,"Leipzig, Kreisfreie Stadt, Leipzig, Sachsen, DEU",DED51,,,Name685709,True,True,False,B2,High
DEU,Large,HiTech,"Leipzig, Kreisfreie Stadt, Leipzig, Sachsen, DEU",DED51,,,Name685710,True,True,False,Aa2,Severe
DEU,Large,HiTech,"Leipzig, Kreisfreie Stadt, Leipzig, Sachsen, DEU",DED51,,,Name685711,True,True,False,B2,Low
DEU,Large,HiTech,"Leipzig, Kreisfreie Stadt, Leipzig, Sachsen, DEU",DED51,,,Name685712,True,False,False,Aa2,High
