Country,Size,Sector,Industry,Location,NUTS3_ID,COUNTY_ID,State,Name,Growth,Borrow,Shrink,EWS
ESP,Large,Technology,Software,"Guadalajara, Castilla-La Mancha, Centro (ES), ESP",ES424,,,Name2994000,False,False,True,Low
ESP,Large,Technology,Software,"Guadalajara, Castilla-La Mancha, Centro (ES), ESP",ES424,,,Name2994001,True,True,False,Medium
ESP,Large,Technology,Software,"Guadalajara, Castilla-La Mancha, Centro (ES), ESP",ES424,,,Name2994002,True,False,False,Medium
ESP,Large,Technology,Software,"Guadalajara, Castilla-La Mancha, Centro (ES), ESP",ES424,,,Name2994003,False,True,False,High
ESP,Large,Technology,Software,"Guadalajara, Castilla-La Mancha, Centro (ES), ESP",ES424,,,Name2994004,False,True,False,Low
ESP,Large,Technology,Software,"Guadalajara, Castilla-La Mancha, Centro (ES), ESP",ES424,,,Name2994005,True,True,False,High
ESP,Large,Technology,Software,"Guadalajara, Castilla-La Mancha, Centro (ES), ESP",ES424,,,Name2994006,False,False,True,Severe
ESP,Large,Technology,Software,"Guadalajara, Castilla-La Mancha, Centro (ES), ESP",ES424,,,Name2994008,True,True,False,Severe
ESP,Large,Technology,Software,"Guadalajara, Castilla-La Mancha, Centro (ES), ESP",ES424,,,Name2994009,True,False,False,Low
ESP,Large,Technology,Software,"Guadalajara, Castilla-La Mancha, Centro (ES), ESP",ES424,,,Name2994010,False,False,True,Low
ESP,Large,Technology,Software,"Guadalajara, Castilla-La Mancha, Centro (ES), ESP",ES424,,,Name2994011,True,True,False,Medium
ESP,Large,Technology,Software,"Guadalajara, Castilla-La Mancha, Centro (ES), ESP",ES424,,,Name2994013,True,False,False,Severe
ESP,Large,Technology,Software,"Guadalajara, Castilla-La Mancha, Centro (ES), ESP",ES424,,,Name2994014,True,False,False,Low
ESP,Large,Technology,Software,"Guadalajara, Castilla-La Mancha, Centro (ES), ESP",ES424,,,Name2994015,False,True,False,Severe
ESP,Large,Technology,Software,"Guadalajara, Castilla-La Mancha, Centro (ES), ESP",ES424,,,Name2994016,True,False,False,High
ESP,Large,Technology,Software,"Guadalajara, Castilla-La Mancha, Centro (ES), ESP",ES424,,,Name2994017,True,False,False,Medium
ESP,Large,Technology,Software,"Guadalajara, Castilla-La Mancha, Centro (ES), ESP",ES424,,,Name2994018,False,True,False,Low
ESP,Large,Technology,Hardware,"Guadalajara, Castilla-La Mancha, Centro (ES), ESP",ES424,,,Name2994020,True,True,False,Medium
ESP,Large,Technology,Hardware,"Guadalajara, Castilla-La Mancha, Centro (ES), ESP",ES424,,,Name2994021,False,True,True,Medium
