Country,Size,Sector,Location,NUTS3_ID,COUNTY_ID,State,Name,Growth,Borrow,Shrink,IR,EWS
FRA,Large,HiTech,"Oise, Picardie, Hauts-de-France, FRA",FRE22,,,Name1141263,True,False,False,B2,Severe
FRA,Large,HiTech,"Oise, Picardie, Hauts-de-France, FRA",FRE22,,,Name1141264,True,True,False,B1,Medium
FRA,Large,HiTech,"Oise, Picardie, Hauts-de-France, FRA",FRE22,,,Name1141265,False,True,True,Baa2,High
FRA,Large,HiTech,"Oise, Picardie, Hauts-de-France, FRA",FRE22,,,Name1141266,True,True,False,Ba3,Medium
FRA,Large,HiTech,"Oise, Picardie, Hauts-de-France, FRA",FRE22,,,Name1141267,False,True,False,B1,Medium
FRA,Large,HiTech,"Oise, Picardie, Hauts-de-France, FRA",FRE22,,,Name1141269,True,False,False,Ba2,Low
FRA,Large,HiTech,"Oise, Picardie, Hauts-de-France, FRA",FRE22,,,Name1141271,True,True,False,B3,Severe
FRA,Large,HiTech,"Oise, Picardie, Hauts-de-France, FRA",FRE22,,,Name1141272,False,True,True,Ba3,Severe
FRA,Large,HiTech,"Oise, Picardie, Hauts-de-France, FRA",FRE22,,,Name1141273,False,False,True,B2,Medium
FRA,Large,HiTech,"Oise, Picardie, Hauts-de-France, FRA",FRE22,,,Name1141274,True,True,False,Baa3,Low
FRA,Large,HiTech,"Oise, Picardie, Hauts-de-France, FRA",FRE22,,,Name1141276,False,True,True,Ba1,Severe
FRA,Large,HiTech,"Oise, Picardie, Hauts-de-France, FRA",FRE22,,,Name1141278,True,True,False,Ba1,Low
FRA,Large,HiTech,"Oise, Picardie, Hauts-de-France, FRA",FRE22,,,Name1141279,True,True,False,B2,Severe
FRA,Large,HiTech,"Oise, Picardie, Hauts-de-France, FRA",FRE22,,,Name1141280,True,True,False,A2,Low
FRA,Large,HiTech,"Oise, Picardie, Hauts-de-France, FRA",FRE22,,,Name1141281,True,False,False,Baa3,Medium
FRA,Large,HiTech,"Oise, Picardie, Hauts-de-France, FRA",FRE22,,,Name1141283,True,False,False,Caa/C,Medium
FRA,Large,HiTech,"Oise, Picardie, Hauts-de-France, FRA",FRE22,,,Name1141284,False,True,True,Baa1,High
FRA,Large,HiTech,"Oise, Picardie, Hauts-de-France, FRA",FRE22,,,Name1141285,False,False,True,B1,High
FRA,Large,HiTech,"Oise, Picardie, Hauts-de-France, FRA",FRE22,,,Name1141286,True,True,False,Ba1,High
FRA,Large,HiTech,"Oise, Picardie, Hauts-de-France, FRA",FRE22,,,Name1141287,True,False,False,Ba2,Medium
FRA,Large,HiTech,"Oise, Picardie, Hauts-de-France, FRA",FRE22,,,Name1141288,False,True,True,A3,Severe
FRA,Large,HiTech,"Oise, Picardie, Hauts-de-France, FRA",FRE22,,,Name1141289,False,False,True,A2,Severe
FRA,Large,HiTech,"Oise, Picardie, Hauts-de-France, FRA",FRE22,,,Name1141290,True,False,False,Ba1,High
FRA,Large,HiTech,"Oise, Picardie, Hauts-de-France, FRA",FRE22,,,Name1141291,False,True,True,A3,High
FRA,Large,HiTech,"Oise, Picardie, Hauts-de-France, FRA",FRE22,,,Name1141292,True,True,False,A2,Medium
FRA,Large,HiTech,"Oise, Picardie, Hauts-de-France, FRA",FRE22,,,Name1141293,False,False,True,A1,Severe
FRA,Large,HiTech,"Oise, Picardie, Hauts-de-France, FRA",FRE22,,,Name1141294,False,True,False,Baa1,High
FRA,Large,HiTech,"Oise, Picardie, Hauts-de-France, FRA",FRE22,,,Name1141295,False,True,False,Aa3,Severe
FRA,Large,HiTech,"Oise, Picardie, Hauts-de-France, FRA",FRE22,,,Name1141296,False,False,True,B1,Medium
FRA,Large,HiTech,"Oise, Picardie, Hauts-de-France, FRA",FRE22,,,Name1141297,True,True,False,Ba2,Medium
FRA,Large,HiTech,"Oise, Picardie, Hauts-de-France, FRA",FRE22,,,Name1141298,True,False,False,Aa3,High
FRA,Large,HiTech,"Oise, Picardie, Hauts-de-France, FRA",FRE22,,,Name1141299,True,True,False,Baa1,Medium
FRA,Large,HiTech,"Oise, Picardie, Hauts-de-France, FRA",FRE22,,,Name1141300,True,False,False,Ba1,High
FRA,Large,HiTech,"Oise, Picardie, Hauts-de-France, FRA",FRE22,,,Name1141301,False,True,True,A1,Severe
FRA,Large,HiTech,"Oise, Picardie, Hauts-de-France, FRA",FRE22,,,Name1141302,False,True,False,B3,Low
FRA,Large,HiTech,"Oise, Picardie, Hauts-de-France, FRA",FRE22,,,Name1141303,False,True,False,Baa2,Medium
FRA,Large,HiTech,"Oise, Picardie, Hauts-de-France, FRA",FRE22,,,Name1141304,True,False,False,Baa1,Low
FRA,Large,HiTech,"Oise, Picardie, Hauts-de-France, FRA",FRE22,,,Name1141305,False,True,True,Aa3,Low
FRA,Large,Agriculture,"Oise, Picardie, Hauts-de-France, FRA",FRE22,,,Name1141306,False,True,True,Baa2,High
FRA,Large,Agriculture,"Oise, Picardie, Hauts-de-France, FRA",FRE22,,,Name1141307,False,True,False,Aa2,Medium
FRA,Large,Agriculture,"Oise, Picardie, Hauts-de-France, FRA",FRE22,,,Name1141308,True,True,False,Aa2,Low
FRA,Large,Agriculture,"Oise, Picardie, Hauts-de-France, FRA",FRE22,,,Name1141309,True,False,False,B3,Medium
FRA,Large,Agriculture,"Oise, Picardie, Hauts-de-France, FRA",FRE22,,,Name1141310,False,False,True,Aa2,High
FRA,Large,Agriculture,"Oise, Picardie, Hauts-de-France, FRA",FRE22,,,Name1141311,False,False,True,B1,Severe
FRA,Large,Agriculture,"Oise, Picardie, Hauts-de-France, FRA",FRE22,,,Name1141312,True,True,False,A3,High
FRA,Large,Agriculture,"Oise, Picardie, Hauts-de-France, FRA",FRE22,,,Name1141313,False,True,False,B1,Low
FRA,Large,Agriculture,"Oise, Picardie, Hauts-de-France, FRA",FRE22,,,Name1141314,False,True,True,Aa3,High
FRA,Large,Agriculture,"Oise, Picardie, Hauts-de-France, FRA",FRE22,,,Name1141316,True,False,False,Caa/C,Medium
FRA,Large,Agriculture,"Oise, Picardie, Hauts-de-France, FRA",FRE22,,,Name1141317,False,False,True,A1,Medium
FRA,Large,Agriculture,"Oise, Picardie, Hauts-de-France, FRA",FRE22,,,Name1141318,False,True,False,A1,Medium
FRA,Large,Agriculture,"Oise, Picardie, Hauts-de-France, FRA",FRE22,,,Name1141319,True,False,False,Aa2,Severe
FRA,Large,Agriculture,"Oise, Picardie, Hauts-de-France, FRA",FRE22,,,Name1141320,True,True,False,Baa3,Severe
FRA,Large,Agriculture,"Oise, Picardie, Hauts-de-France, FRA",FRE22,,,Name1141321,True,True,False,Ba3,Medium
FRA,Large,Agriculture,"Oise, Picardie, Hauts-de-France, FRA",FRE22,,,Name1141322,True,False,False,Aa2,Low
FRA,Large,Agriculture,"Oise, Picardie, Hauts-de-France, FRA",FRE22,,,Name1141323,True,True,False,B1,Low
FRA,Large,Agriculture,"Oise, Picardie, Hauts-de-France, FRA",FRE22,,,Name1141325,True,True,False,A1,Low
FRA,Large,Agriculture,"Oise, Picardie, Hauts-de-France, FRA",FRE22,,,Name1141326,True,False,False,Ba1,Low
