Country,Size,Sector,Industry,Location,NUTS3_ID,COUNTY_ID,State,Name,Growth,Borrow,Shrink,EWS
FRA,Large,Technology,Software,"Vendée, Pays de la Loire, Pays de la Loire, FRA",FRG05,,,Name3607303,True,True,False,High
FRA,Large,Technology,Software,"Vendée, Pays de la Loire, Pays de la Loire, FRA",FRG05,,,Name3607304,True,False,False,Low
FRA,Large,Technology,Software,"Vendée, Pays de la Loire, Pays de la Loire, FRA",FRG05,,,Name3607305,True,True,False,High
FRA,Large,Technology,Software,"Vendée, Pays de la Loire, Pays de la Loire, FRA",FRG05,,,Name3607306,True,False,False,Low
FRA,Large,Technology,Software,"Vendée, Pays de la Loire, Pays de la Loire, FRA",FRG05,,,Name3607307,False,False,True,Medium
FRA,Large,Technology,Software,"Vendée, Pays de la Loire, Pays de la Loire, FRA",FRG05,,,Name3607308,False,True,False,High
FRA,Large,Technology,Software,"Vendée, Pays de la Loire, Pays de la Loire, FRA",FRG05,,,Name3607309,True,True,False,Low
FRA,Large,Technology,Software,"Vendée, Pays de la Loire, Pays de la Loire, FRA",FRG05,,,Name3607311,True,False,False,Severe
FRA,Large,Technology,Software,"Vendée, Pays de la Loire, Pays de la Loire, FRA",FRG05,,,Name3607312,True,True,False,Low
FRA,Large,Technology,Software,"Vendée, Pays de la Loire, Pays de la Loire, FRA",FRG05,,,Name3607313,True,True,False,High
FRA,Large,Technology,Software,"Vendée, Pays de la Loire, Pays de la Loire, FRA",FRG05,,,Name3607315,False,True,False,Low
FRA,Large,Technology,Software,"Vendée, Pays de la Loire, Pays de la Loire, FRA",FRG05,,,Name3607316,True,False,False,Low
FRA,Large,Technology,Software,"Vendée, Pays de la Loire, Pays de la Loire, FRA",FRG05,,,Name3607317,True,False,False,Medium
FRA,Large,Technology,Software,"Vendée, Pays de la Loire, Pays de la Loire, FRA",FRG05,,,Name3607319,True,False,False,Low
FRA,Large,Technology,Software,"Vendée, Pays de la Loire, Pays de la Loire, FRA",FRG05,,,Name3607320,True,True,False,Low
FRA,Large,Technology,Software,"Vendée, Pays de la Loire, Pays de la Loire, FRA",FRG05,,,Name3607321,False,True,False,High
FRA,Large,Technology,Software,"Vendée, Pays de la Loire, Pays de la Loire, FRA",FRG05,,,Name3607322,True,True,False,Medium
FRA,Large,Technology,Software,"Vendée, Pays de la Loire, Pays de la Loire, FRA",FRG05,,,Name3607323,False,True,False,Severe
FRA,Large,Technology,Software,"Vendée, Pays de la Loire, Pays de la Loire, FRA",FRG05,,,Name3607324,False,False,True,Medium
FRA,Large,Technology,Software,"Vendée, Pays de la Loire, Pays de la Loire, FRA",FRG05,,,Name3607325,True,False,False,Low
FRA,Large,Technology,Software,"Vendée, Pays de la Loire, Pays de la Loire, FRA",FRG05,,,Name3607326,False,False,True,Medium
FRA,Large,Technology,Software,"Vendée, Pays de la Loire, Pays de la Loire, FRA",FRG05,,,Name3607327,True,False,False,Low
FRA,Large,Technology,Software,"Vendée, Pays de la Loire, Pays de la Loire, FRA",FRG05,,,Name3607329,True,False,False,Medium
FRA,Large,Technology,Software,"Vendée, Pays de la Loire, Pays de la Loire, FRA",FRG05,,,Name3607330,False,True,True,Medium
FRA,Large,Technology,Software,"Vendée, Pays de la Loire, Pays de la Loire, FRA",FRG05,,,Name3607331,True,True,False,High
FRA,Large,Technology,Software,"Vendée, Pays de la Loire, Pays de la Loire, FRA",FRG05,,,Name3607332,True,True,False,High
FRA,Large,Technology,Software,"Vendée, Pays de la Loire, Pays de la Loire, FRA",FRG05,,,Name3607333,False,True,True,Severe
FRA,Large,Technology,Software,"Vendée, Pays de la Loire, Pays de la Loire, FRA",FRG05,,,Name3607334,False,False,True,Low
FRA,Large,Technology,Hardware,"Vendée, Pays de la Loire, Pays de la Loire, FRA",FRG05,,,Name3607335,True,False,False,Severe
FRA,Large,Technology,Hardware,"Vendée, Pays de la Loire, Pays de la Loire, FRA",FRG05,,,Name3607336,True,True,False,High
FRA,Large,Technology,Hardware,"Vendée, Pays de la Loire, Pays de la Loire, FRA",FRG05,,,Name3607337,False,False,True,Medium
