Country,Size,Sector,Location,NUTS3_ID,COUNTY_ID,State,Name,Growth,Borrow,Shrink,IR,EWS
HUN,Large,HiTech,"Győr-Moson-Sopron, Nyugat-Dunántúl, Dunántúl, HUN",HU221,,,Name1322251,True,False,False,Ba2,High
HUN,Large,HiTech,"Győr-Moson-Sopron, Nyugat-Dunántúl, Dunántúl, HUN",HU221,,,Name1322252,False,True,True,Ba2,Low
HUN,Large,HiTech,"Győr-Moson-Sopron, Nyugat-Dunántúl, Dunántúl, HUN",HU221,,,Name1322253,False,False,True,Baa1,Severe
HUN,Large,HiTech,"Győr-Moson-Sopron, Nyugat-Dunántúl, Dunántúl, HUN",HU221,,,Name1322254,False,False,True,Baa3,High
HUN,Large,HiTech,"Győr-Moson-Sopron, Nyugat-Dunántúl, Dunántúl, HUN",HU221,,,Name1322255,False,True,False,Aa2,Low
HUN,Large,HiTech,"Győr-Moson-Sopron, Nyugat-Dunántúl, Dunántúl, HUN",HU221,,,Name1322256,True,True,False,A1,Severe
HUN,Large,HiTech,"Győr-Moson-Sopron, Nyugat-Dunántúl, Dunántúl, HUN",HU221,,,Name1322257,False,False,True,Aa3,Low
HUN,Large,HiTech,"Győr-Moson-Sopron, Nyugat-Dunántúl, Dunántúl, HUN",HU221,,,Name1322258,True,True,False,Baa1,Medium
HUN,Large,HiTech,"Győr-Moson-Sopron, Nyugat-Dunántúl, Dunántúl, HUN",HU221,,,Name1322259,True,False,False,A1,High
HUN,Large,HiTech,"Győr-Moson-Sopron, Nyugat-Dunántúl, Dunántúl, HUN",HU221,,,Name1322260,False,True,True,B2,Low
HUN,Large,HiTech,"Győr-Moson-Sopron, Nyugat-Dunántúl, Dunántúl, HUN",HU221,,,Name1322261,False,True,False,B2,Medium
HUN,Large,HiTech,"Győr-Moson-Sopron, Nyugat-Dunántúl, Dunántúl, HUN",HU221,,,Name1322262,False,True,True,Ba3,Severe
HUN,Large,HiTech,"Győr-Moson-Sopron, Nyugat-Dunántúl, Dunántúl, HUN",HU221,,,Name1322263,True,False,False,Aa1,Low
HUN,Large,HiTech,"Győr-Moson-Sopron, Nyugat-Dunántúl, Dunántúl, HUN",HU221,,,Name1322265,False,True,False,Ba1,Severe
HUN,Large,HiTech,"Győr-Moson-Sopron, Nyugat-Dunántúl, Dunántúl, HUN",HU221,,,Name1322266,False,True,False,Aaa,Severe
HUN,Large,HiTech,"Győr-Moson-Sopron, Nyugat-Dunántúl, Dunántúl, HUN",HU221,,,Name1322267,False,False,True,Aa2,Low
HUN,Large,HiTech,"Győr-Moson-Sopron, Nyugat-Dunántúl, Dunántúl, HUN",HU221,,,Name1322268,True,False,False,Ba2,High
HUN,Large,HiTech,"Győr-Moson-Sopron, Nyugat-Dunántúl, Dunántúl, HUN",HU221,,,Name1322269,False,True,False,Baa2,Low
HUN,Large,HiTech,"Győr-Moson-Sopron, Nyugat-Dunántúl, Dunántúl, HUN",HU221,,,Name1322270,False,False,True,Ba1,High
HUN,Large,HiTech,"Győr-Moson-Sopron, Nyugat-Dunántúl, Dunántúl, HUN",HU221,,,Name1322271,True,True,False,Ba1,Medium
HUN,Large,HiTech,"Győr-Moson-Sopron, Nyugat-Dunántúl, Dunántúl, HUN",HU221,,,Name1322272,False,True,True,Baa3,Severe
HUN,Large,HiTech,"Győr-Moson-Sopron, Nyugat-Dunántúl, Dunántúl, HUN",HU221,,,Name1322273,False,True,True,Ba2,Low
HUN,Large,Agriculture,"Győr-Moson-Sopron, Nyugat-Dunántúl, Dunántúl, HUN",HU221,,,Name1322274,True,False,False,A3,High
HUN,Large,Agriculture,"Győr-Moson-Sopron, Nyugat-Dunántúl, Dunántúl, HUN",HU221,,,Name1322275,False,False,True,Aa2,Severe
HUN,Large,Agriculture,"Győr-Moson-Sopron, Nyugat-Dunántúl, Dunántúl, HUN",HU221,,,Name1322277,False,True,True,B1,Low
HUN,Large,Agriculture,"Győr-Moson-Sopron, Nyugat-Dunántúl, Dunántúl, HUN",HU221,,,Name1322278,True,False,False,B3,High
HUN,Large,Agriculture,"Győr-Moson-Sopron, Nyugat-Dunántúl, Dunántúl, HUN",HU221,,,Name1322279,True,False,False,Caa/C,Medium
HUN,Large,Agriculture,"Győr-Moson-Sopron, Nyugat-Dunántúl, Dunántúl, HUN",HU221,,,Name1322280,False,False,True,Aa2,Severe
HUN,Large,Agriculture,"Győr-Moson-Sopron, Nyugat-Dunántúl, Dunántúl, HUN",HU221,,,Name1322281,True,False,False,Aa2,High
HUN,Large,Agriculture,"Győr-Moson-Sopron, Nyugat-Dunántúl, Dunántúl, HUN",HU221,,,Name1322282,False,True,True,Ba1,Medium
HUN,Large,Agriculture,"Győr-Moson-Sopron, Nyugat-Dunántúl, Dunántúl, HUN",HU221,,,Name1322284,True,False,False,Ba2,Severe
HUN,Large,Agriculture,"Győr-Moson-Sopron, Nyugat-Dunántúl, Dunántúl, HUN",HU221,,,Name1322285,False,True,True,Ba2,Low
HUN,Large,Agriculture,"Győr-Moson-Sopron, Nyugat-Dunántúl, Dunántúl, HUN",HU221,,,Name1322286,False,True,False,Ba2,Low
