Country,Size,Sector,Industry,Location,NUTS3_ID,COUNTY_ID,State,Name,Growth,Borrow,Shrink,EWS
TUR,Large,Technology,Software,"Samsun, Samsun, Tokat, Çorum, Amasya, Batı Karadeniz, TUR",TR831,,,Name5458882,False,True,False,Medium
TUR,Large,Technology,Software,"Samsun, Samsun, Tokat, Çorum, Amasya, Batı Karadeniz, TUR",TR831,,,Name5458883,False,True,True,Medium
TUR,Large,Technology,Software,"Samsun, Samsun, Tokat, Çorum, Amasya, Batı Karadeniz, TUR",TR831,,,Name5458884,True,True,False,High
TUR,Large,Technology,Software,"Samsun, Samsun, Tokat, Çorum, Amasya, Batı Karadeniz, TUR",TR831,,,Name5458885,True,True,False,Medium
TUR,Large,Technology,Software,"Samsun, Samsun, Tokat, Çorum, Amasya, Batı Karadeniz, TUR",TR831,,,Name5458886,True,False,False,Severe
TUR,Large,Technology,Software,"Samsun, Samsun, Tokat, Çorum, Amasya, Batı Karadeniz, TUR",TR831,,,Name5458887,True,True,False,Severe
TUR,Large,Technology,Software,"Samsun, Samsun, Tokat, Çorum, Amasya, Batı Karadeniz, TUR",TR831,,,Name5458888,False,True,True,High
TUR,Large,Technology,Software,"Samsun, Samsun, Tokat, Çorum, Amasya, Batı Karadeniz, TUR",TR831,,,Name5458890,True,True,False,Medium
TUR,Large,Technology,Software,"Samsun, Samsun, Tokat, Çorum, Amasya, Batı Karadeniz, TUR",TR831,,,Name5458891,False,True,True,Medium
TUR,Large,Technology,Software,"Samsun, Samsun, Tokat, Çorum, Amasya, Batı Karadeniz, TUR",TR831,,,Name5458892,False,False,True,Medium
TUR,Large,Technology,Software,"Samsun, Samsun, Tokat, Çorum, Amasya, Batı Karadeniz, TUR",TR831,,,Name5458893,False,False,True,High
TUR,Large,Technology,Software,"Samsun, Samsun, Tokat, Çorum, Amasya, Batı Karadeniz, TUR",TR831,,,Name5458894,False,False,True,Low
TUR,Large,Technology,Software,"Samsun, Samsun, Tokat, Çorum, Amasya, Batı Karadeniz, TUR",TR831,,,Name5458895,True,False,False,Low
TUR,Large,Technology,Software,"Samsun, Samsun, Tokat, Çorum, Amasya, Batı Karadeniz, TUR",TR831,,,Name5458896,True,True,False,Low
TUR,Large,Technology,Software,"Samsun, Samsun, Tokat, Çorum, Amasya, Batı Karadeniz, TUR",TR831,,,Name5458897,False,True,False,Severe
TUR,Large,Technology,Software,"Samsun, Samsun, Tokat, Çorum, Amasya, Batı Karadeniz, TUR",TR831,,,Name5458898,False,False,True,Low
TUR,Large,Technology,Software,"Samsun, Samsun, Tokat, Çorum, Amasya, Batı Karadeniz, TUR",TR831,,,Name5458899,False,False,True,Medium
TUR,Large,Technology,Software,"Samsun, Samsun, Tokat, Çorum, Amasya, Batı Karadeniz, TUR",TR831,,,Name5458904,False,True,False,Medium
TUR,Large,Technology,Hardware,"Samsun, Samsun, Tokat, Çorum, Amasya, Batı Karadeniz, TUR",TR831,,,Name5458906,False,True,True,Severe
TUR,Large,Technology,Hardware,"Samsun, Samsun, Tokat, Çorum, Amasya, Batı Karadeniz, TUR",TR831,,,Name5458907,True,True,False,Medium
TUR,Large,Technology,Hardware,"Samsun, Samsun, Tokat, Çorum, Amasya, Batı Karadeniz, TUR",TR831,,,Name5458908,False,True,True,Low
TUR,Large,Technology,Hardware,"Samsun, Samsun, Tokat, Çorum, Amasya, Batı Karadeniz, TUR",TR831,,,Name5458909,True,True,False,High
TUR,Large,Technology,Hardware,"Samsun, Samsun, Tokat, Çorum, Amasya, Batı Karadeniz, TUR",TR831,,,Name5458911,True,False,False,Severe
TUR,Large,Technology,Hardware,"Samsun, Samsun, Tokat, Çorum, Amasya, Batı Karadeniz, TUR",TR831,,,Name5458912,False,True,False,Medium
TUR,Large,Technology,Hardware,"Samsun, Samsun, Tokat, Çorum, Amasya, Batı Karadeniz, TUR",TR831,,,Name5458913,False,False,True,Severe
TUR,Large,Technology,Hardware,"Samsun, Samsun, Tokat, Çorum, Amasya, Batı Karadeniz, TUR",TR831,,,Name5458914,False,True,False,Severe
TUR,Large,Technology,Hardware,"Samsun, Samsun, Tokat, Çorum, Amasya, Batı Karadeniz, TUR",TR831,,,Name5458915,True,False,False,Low
TUR,Large,Technology,Hardware,"Samsun, Samsun, Tokat, Çorum, Amasya, Batı Karadeniz, TUR",TR831,,,Name5458916,False,True,True,Medium
TUR,Large,Technology,Hardware,"Samsun, Samsun, Tokat, Çorum, Amasya, Batı Karadeniz, TUR",TR831,,,Name5458917,False,False,True,Severe
TUR,Large,Technology,Hardware,"Samsun, Samsun, Tokat, Çorum, Amasya, Batı Karadeniz, TUR",TR831,,,Name5458918,False,False,True,Medium
TUR,Large,Technology,Hardware,"Samsun, Samsun, Tokat, Çorum, Amasya, Batı Karadeniz, TUR",TR831,,,Name5458919,True,True,False,Low
TUR,Large,Technology,Hardware,"Samsun, Samsun, Tokat, Çorum, Amasya, Batı Karadeniz, TUR",TR831,,,Name5458920,False,True,False,Medium
TUR,Large,Technology,IT Services,"Samsun, Samsun, Tokat, Çorum, Amasya, Batı Karadeniz, TUR",TR831,,,Name5458921,True,False,False,High
TUR,Large,Technology,IT Services,"Samsun, Samsun, Tokat, Çorum, Amasya, Batı Karadeniz, TUR",TR831,,,Name5458922,False,True,False,Severe
TUR,Large,Technology,IT Services,"Samsun, Samsun, Tokat, Çorum, Amasya, Batı Karadeniz, TUR",TR831,,,Name5458923,False,False,True,Severe
TUR,Large,Technology,IT Services,"Samsun, Samsun, Tokat, Çorum, Amasya, Batı Karadeniz, TUR",TR831,,,Name5458924,True,False,False,High
TUR,Large,Technology,IT Services,"Samsun, Samsun, Tokat, Çorum, Amasya, Batı Karadeniz, TUR",TR831,,,Name5458926,False,False,True,High
TUR,Large,Technology,IT Services,"Samsun, Samsun, Tokat, Çorum, Amasya, Batı Karadeniz, TUR",TR831,,,Name5458927,False,True,False,Low
TUR,Large,Technology,IT Services,"Samsun, Samsun, Tokat, Çorum, Amasya, Batı Karadeniz, TUR",TR831,,,Name5458928,False,True,True,Medium
TUR,Large,Technology,IT Services,"Samsun, Samsun, Tokat, Çorum, Amasya, Batı Karadeniz, TUR",TR831,,,Name5458929,True,True,False,Low
TUR,Large,Technology,IT Services,"Samsun, Samsun, Tokat, Çorum, Amasya, Batı Karadeniz, TUR",TR831,,,Name5458930,True,True,False,Low
TUR,Large,Technology,IT Services,"Samsun, Samsun, Tokat, Çorum, Amasya, Batı Karadeniz, TUR",TR831,,,Name5458931,True,False,False,Low
TUR,Large,Technology,IT Services,"Samsun, Samsun, Tokat, Çorum, Amasya, Batı Karadeniz, TUR",TR831,,,Name5458932,False,True,False,Medium
TUR,Large,Technology,IT Services,"Samsun, Samsun, Tokat, Çorum, Amasya, Batı Karadeniz, TUR",TR831,,,Name5458933,True,False,False,Low
TUR,Large,Technology,IT Services,"Samsun, Samsun, Tokat, Çorum, Amasya, Batı Karadeniz, TUR",TR831,,,Name5458934,True,False,False,Medium
TUR,Large,Technology,IT Services,"Samsun, Samsun, Tokat, Çorum, Amasya, Batı Karadeniz, TUR",TR831,,,Name5458935,False,False,True,Severe
TUR,Large,Technology,IT Services,"Samsun, Samsun, Tokat, Çorum, Amasya, Batı Karadeniz, TUR",TR831,,,Name5458936,False,False,True,Medium
TUR,Large,Technology,IT Services,"Samsun, Samsun, Tokat, Çorum, Amasya, Batı Karadeniz, TUR",TR831,,,Name5458938,True,False,False,High
TUR,Large,Technology,IT Services,"Samsun, Samsun, Tokat, Çorum, Amasya, Batı Karadeniz, TUR",TR831,,,Name5458939,True,False,False,Severe
TUR,Large,Technology,IT Services,"Samsun, Samsun, Tokat, Çorum, Amasya, Batı Karadeniz, TUR",TR831,,,Name5458941,True,True,False,Severe
TUR,Large,Technology,IT Services,"Samsun, Samsun, Tokat, Çorum, Amasya, Batı Karadeniz, TUR",TR831,,,Name5458942,True,True,False,High
TUR,Large,Technology,IT Services,"Samsun, Samsun, Tokat, Çorum, Amasya, Batı Karadeniz, TUR",TR831,,,Name5458944,True,True,False,High
TUR,Large,Technology,IT Services,"Samsun, Samsun, Tokat, Çorum, Amasya, Batı Karadeniz, TUR",TR831,,,Name5458945,True,True,False,Low
TUR,Large,Technology,IT Services,"Samsun, Samsun, Tokat, Çorum, Amasya, Batı Karadeniz, TUR",TR831,,,Name5458946,True,False,False,Severe
TUR,Large,Technology,IT Services,"Samsun, Samsun, Tokat, Çorum, Amasya, Batı Karadeniz, TUR",TR831,,,Name5458947,True,False,False,Severe
TUR,Large,Technology,IT Services,"Samsun, Samsun, Tokat, Çorum, Amasya, Batı Karadeniz, TUR",TR831,,,Name5458948,False,True,True,Severe
TUR,Large,Technology,IT Services,"Samsun, Samsun, Tokat, Çorum, Amasya, Batı Karadeniz, TUR",TR831,,,Name5458949,True,False,False,Low
TUR,Large,Technology,IT Services,"Samsun, Samsun, Tokat, Çorum, Amasya, Batı Karadeniz, TUR",TR831,,,Name5458950,False,False,True,High
TUR,Large,Technology,IT Services,"Samsun, Samsun, Tokat, Çorum, Amasya, Batı Karadeniz, TUR",TR831,,,Name5458951,False,True,True,Medium
