Country,Size,Sector,Industry,Location,NUTS3_ID,COUNTY_ID,State,Name,Growth,Borrow,Shrink,EWS
USA,Large,Technology,Software,"Geneva, AL, USA",,1061.0,AL,Name5793631,False,True,False,Low
USA,Large,Technology,Software,"Geneva, AL, USA",,1061.0,AL,Name5793632,True,False,False,Severe
USA,Large,Technology,Software,"Geneva, AL, USA",,1061.0,AL,Name5793633,False,True,False,Medium
USA,Large,Technology,Software,"Geneva, AL, USA",,1061.0,AL,Name5793634,True,True,False,Low
USA,Large,Technology,Software,"Geneva, AL, USA",,1061.0,AL,Name5793636,False,True,True,High
USA,Large,Technology,Software,"Geneva, AL, USA",,1061.0,AL,Name5793637,False,True,False,Severe
USA,Large,Technology,Software,"Geneva, AL, USA",,1061.0,AL,Name5793638,False,True,True,Low
USA,Large,Technology,Software,"Geneva, AL, USA",,1061.0,AL,Name5793639,False,True,False,Severe
USA,Large,Technology,Software,"Geneva, AL, USA",,1061.0,AL,Name5793640,True,False,False,Low
USA,Large,Technology,Software,"Geneva, AL, USA",,1061.0,AL,Name5793641,True,True,False,High
USA,Large,Technology,Software,"Geneva, AL, USA",,1061.0,AL,Name5793642,False,True,False,Severe
USA,Large,Technology,Software,"Geneva, AL, USA",,1061.0,AL,Name5793643,True,False,False,High
USA,Large,Technology,Software,"Geneva, AL, USA",,1061.0,AL,Name5793644,True,True,False,Medium
USA,Large,Technology,Software,"Geneva, AL, USA",,1061.0,AL,Name5793645,False,True,True,Medium
USA,Large,Technology,Hardware,"Geneva, AL, USA",,1061.0,AL,Name5793646,False,False,True,High
USA,Large,Technology,Hardware,"Geneva, AL, USA",,1061.0,AL,Name5793647,True,False,False,Medium
USA,Large,Technology,Hardware,"Geneva, AL, USA",,1061.0,AL,Name5793649,False,True,True,Severe
USA,Large,Technology,Hardware,"Geneva, AL, USA",,1061.0,AL,Name5793650,False,True,True,Medium
USA,Large,Technology,Hardware,"Geneva, AL, USA",,1061.0,AL,Name5793651,True,False,False,Severe
USA,Large,Technology,Hardware,"Geneva, AL, USA",,1061.0,AL,Name5793652,False,True,True,Low
USA,Large,Technology,Hardware,"Geneva, AL, USA",,1061.0,AL,Name5793653,False,True,True,Severe
USA,Large,Technology,Hardware,"Geneva, AL, USA",,1061.0,AL,Name5793654,True,True,False,Severe
USA,Large,Technology,Hardware,"Geneva, AL, USA",,1061.0,AL,Name5793655,False,False,True,Severe
USA,Large,Technology,Hardware,"Geneva, AL, USA",,1061.0,AL,Name5793656,False,True,True,Medium
USA,Large,Technology,Hardware,"Geneva, AL, USA",,1061.0,AL,Name5793657,True,False,False,Medium
USA,Large,Technology,Hardware,"Geneva, AL, USA",,1061.0,AL,Name5793658,True,False,False,Severe
USA,Large,Technology,Hardware,"Geneva, AL, USA",,1061.0,AL,Name5793659,True,False,False,Low
USA,Large,Technology,Hardware,"Geneva, AL, USA",,1061.0,AL,Name5793660,False,True,False,Medium
USA,Large,Technology,Hardware,"Geneva, AL, USA",,1061.0,AL,Name5793661,False,False,True,High
USA,Large,Technology,Hardware,"Geneva, AL, USA",,1061.0,AL,Name5793662,False,False,True,Low
USA,Large,Technology,Hardware,"Geneva, AL, USA",,1061.0,AL,Name5793663,False,True,False,Low
USA,Large,Technology,Hardware,"Geneva, AL, USA",,1061.0,AL,Name5793664,True,True,False,Medium
USA,Large,Technology,Hardware,"Geneva, AL, USA",,1061.0,AL,Name5793665,True,False,False,Severe
USA,Large,Technology,Hardware,"Geneva, AL, USA",,1061.0,AL,Name5793667,True,True,False,Low
USA,Large,Technology,Hardware,"Geneva, AL, USA",,1061.0,AL,Name5793668,True,False,False,High
USA,Large,Technology,Hardware,"Geneva, AL, USA",,1061.0,AL,Name5793669,False,True,True,Medium
USA,Large,Technology,Hardware,"Geneva, AL, USA",,1061.0,AL,Name5793670,True,True,False,Medium
USA,Large,Technology,Hardware,"Geneva, AL, USA",,1061.0,AL,Name5793671,False,False,True,High
USA,Large,Technology,Hardware,"Geneva, AL, USA",,1061.0,AL,Name5793672,False,False,True,High
USA,Large,Technology,Hardware,"Geneva, AL, USA",,1061.0,AL,Name5793673,True,True,False,Low
USA,Large,Technology,IT Services,"Geneva, AL, USA",,1061.0,AL,Name5793674,True,False,False,Severe
