Country,Size,Sector,Industry,Location,NUTS3_ID,COUNTY_ID,State,Name,Growth,Borrow,Shrink,EWS
USA,Large,Technology,Software,"Jefferson, IA, USA",,19101.0,IA,Name8904440,True,False,False,High
USA,Large,Technology,Software,"Jefferson, IA, USA",,19101.0,IA,Name8904441,False,True,False,Severe
USA,Large,Technology,Software,"Jefferson, IA, USA",,19101.0,IA,Name8904442,False,False,True,Low
USA,Large,Technology,Software,"Jefferson, IA, USA",,19101.0,IA,Name8904443,True,True,False,Medium
USA,Large,Technology,Software,"Jefferson, IA, USA",,19101.0,IA,Name8904444,True,False,False,Medium
USA,Large,Technology,Software,"Jefferson, IA, USA",,19101.0,IA,Name8904447,True,True,False,Low
USA,Large,Technology,Software,"Jefferson, IA, USA",,19101.0,IA,Name8904448,True,True,False,Medium
USA,Large,Technology,Software,"Jefferson, IA, USA",,19101.0,IA,Name8904449,True,True,False,Low
USA,Large,Technology,Software,"Jefferson, IA, USA",,19101.0,IA,Name8904450,True,True,False,High
USA,Large,Technology,Software,"Jefferson, IA, USA",,19101.0,IA,Name8904451,False,True,True,Severe
USA,Large,Technology,Software,"Jefferson, IA, USA",,19101.0,IA,Name8904452,True,False,False,Severe
USA,Large,Technology,Software,"Jefferson, IA, USA",,19101.0,IA,Name8904453,False,True,True,Low
USA,Large,Technology,Software,"Jefferson, IA, USA",,19101.0,IA,Name8904454,False,True,False,Severe
USA,Large,Technology,Software,"Jefferson, IA, USA",,19101.0,IA,Name8904455,True,True,False,Medium
USA,Large,Technology,Software,"Jefferson, IA, USA",,19101.0,IA,Name8904457,False,True,False,Low
USA,Large,Technology,Software,"Jefferson, IA, USA",,19101.0,IA,Name8904458,True,False,False,High
USA,Large,Technology,Software,"Jefferson, IA, USA",,19101.0,IA,Name8904459,True,True,False,Low
USA,Large,Technology,Software,"Jefferson, IA, USA",,19101.0,IA,Name8904460,False,True,True,Low
USA,Large,Technology,Software,"Jefferson, IA, USA",,19101.0,IA,Name8904461,False,False,True,Low
USA,Large,Technology,Software,"Jefferson, IA, USA",,19101.0,IA,Name8904462,False,True,False,Medium
USA,Large,Technology,Software,"Jefferson, IA, USA",,19101.0,IA,Name8904463,True,False,False,Low
USA,Large,Technology,Software,"Jefferson, IA, USA",,19101.0,IA,Name8904464,True,True,False,Low
USA,Large,Technology,Software,"Jefferson, IA, USA",,19101.0,IA,Name8904465,False,False,True,High
USA,Large,Technology,Software,"Jefferson, IA, USA",,19101.0,IA,Name8904466,True,True,False,Low
USA,Large,Technology,Software,"Jefferson, IA, USA",,19101.0,IA,Name8904467,False,True,True,Low
USA,Large,Technology,Software,"Jefferson, IA, USA",,19101.0,IA,Name8904468,True,True,False,High
USA,Large,Technology,Software,"Jefferson, IA, USA",,19101.0,IA,Name8904469,False,True,True,Low
USA,Large,Technology,Software,"Jefferson, IA, USA",,19101.0,IA,Name8904470,False,False,True,Low
USA,Large,Technology,Software,"Jefferson, IA, USA",,19101.0,IA,Name8904472,True,True,False,Medium
USA,Large,Technology,Software,"Jefferson, IA, USA",,19101.0,IA,Name8904473,False,False,True,Low
USA,Large,Technology,Software,"Jefferson, IA, USA",,19101.0,IA,Name8904474,True,False,False,Low
USA,Large,Technology,Software,"Jefferson, IA, USA",,19101.0,IA,Name8904475,False,True,False,Low
USA,Large,Technology,Software,"Jefferson, IA, USA",,19101.0,IA,Name8904476,False,True,False,Low
USA,Large,Technology,Software,"Jefferson, IA, USA",,19101.0,IA,Name8904477,True,False,False,Severe
USA,Large,Technology,Software,"Jefferson, IA, USA",,19101.0,IA,Name8904478,False,False,True,High
USA,Large,Technology,Software,"Jefferson, IA, USA",,19101.0,IA,Name8904479,False,False,True,Low
USA,Large,Technology,Software,"Jefferson, IA, USA",,19101.0,IA,Name8904480,True,True,False,Medium
USA,Large,Technology,Software,"Jefferson, IA, USA",,19101.0,IA,Name8904481,False,False,True,Low
USA,Large,Technology,Software,"Jefferson, IA, USA",,19101.0,IA,Name8904482,True,True,False,High
USA,Large,Technology,Software,"Jefferson, IA, USA",,19101.0,IA,Name8904483,False,True,False,High
USA,Large,Technology,Software,"Jefferson, IA, USA",,19101.0,IA,Name8904484,True,False,False,High
USA,Large,Technology,Software,"Jefferson, IA, USA",,19101.0,IA,Name8904485,False,True,True,Severe
USA,Large,Technology,Software,"Jefferson, IA, USA",,19101.0,IA,Name8904486,False,True,False,Medium
USA,Large,Technology,Software,"Jefferson, IA, USA",,19101.0,IA,Name8904487,True,True,False,Medium
USA,Large,Technology,Hardware,"Jefferson, IA, USA",,19101.0,IA,Name8904489,True,True,False,Medium
USA,Large,Technology,Hardware,"Jefferson, IA, USA",,19101.0,IA,Name8904490,False,True,True,Low
USA,Large,Technology,Hardware,"Jefferson, IA, USA",,19101.0,IA,Name8904491,False,True,True,Severe
USA,Large,Technology,Hardware,"Jefferson, IA, USA",,19101.0,IA,Name8904493,False,True,True,Low
USA,Large,Technology,Hardware,"Jefferson, IA, USA",,19101.0,IA,Name8904495,True,True,False,Severe
USA,Large,Technology,Hardware,"Jefferson, IA, USA",,19101.0,IA,Name8904496,True,False,False,Medium
USA,Large,Technology,Hardware,"Jefferson, IA, USA",,19101.0,IA,Name8904498,True,False,False,Low
USA,Large,Technology,Hardware,"Jefferson, IA, USA",,19101.0,IA,Name8904499,False,True,True,Medium
USA,Large,Technology,Hardware,"Jefferson, IA, USA",,19101.0,IA,Name8904500,False,True,True,Medium
USA,Large,Technology,Hardware,"Jefferson, IA, USA",,19101.0,IA,Name8904503,True,True,False,High
USA,Large,Technology,Hardware,"Jefferson, IA, USA",,19101.0,IA,Name8904504,True,False,False,Medium
USA,Large,Technology,IT Services,"Jefferson, IA, USA",,19101.0,IA,Name8904505,True,False,False,Medium
USA,Large,Technology,IT Services,"Jefferson, IA, USA",,19101.0,IA,Name8904506,True,True,False,Medium
USA,Large,Technology,IT Services,"Jefferson, IA, USA",,19101.0,IA,Name8904507,False,False,True,Low
USA,Large,Technology,IT Services,"Jefferson, IA, USA",,19101.0,IA,Name8904508,True,False,False,Low
USA,Large,Technology,IT Services,"Jefferson, IA, USA",,19101.0,IA,Name8904509,True,True,False,Low
USA,Large,Technology,IT Services,"Jefferson, IA, USA",,19101.0,IA,Name8904510,False,True,True,Medium
USA,Large,Technology,IT Services,"Jefferson, IA, USA",,19101.0,IA,Name8904511,True,False,False,Low
USA,Large,Healthcare,Pharmaceuticals,"Jefferson, IA, USA",,19101.0,IA,Name8904512,True,False,False,Medium
USA,Large,Healthcare,Pharmaceuticals,"Jefferson, IA, USA",,19101.0,IA,Name8904513,True,True,False,Low
USA,Large,Healthcare,Pharmaceuticals,"Jefferson, IA, USA",,19101.0,IA,Name8904514,True,False,False,Medium
USA,Large,Healthcare,Pharmaceuticals,"Jefferson, IA, USA",,19101.0,IA,Name8904515,False,True,True,Low
USA,Large,Healthcare,Pharmaceuticals,"Jefferson, IA, USA",,19101.0,IA,Name8904516,True,False,False,High
USA,Large,Healthcare,Pharmaceuticals,"Jefferson, IA, USA",,19101.0,IA,Name8904517,False,False,True,Severe
USA,Large,Healthcare,Pharmaceuticals,"Jefferson, IA, USA",,19101.0,IA,Name8904518,False,True,True,High
USA,Large,Healthcare,Pharmaceuticals,"Jefferson, IA, USA",,19101.0,IA,Name8904519,False,True,False,High
USA,Large,Healthcare,Pharmaceuticals,"Jefferson, IA, USA",,19101.0,IA,Name8904520,True,True,False,Medium
USA,Large,Healthcare,Pharmaceuticals,"Jefferson, IA, USA",,19101.0,IA,Name8904521,False,True,True,High
USA,Large,Healthcare,Pharmaceuticals,"Jefferson, IA, USA",,19101.0,IA,Name8904523,False,True,False,Low
USA,Large,Healthcare,Pharmaceuticals,"Jefferson, IA, USA",,19101.0,IA,Name8904524,True,False,False,Medium
USA,Large,Healthcare,Pharmaceuticals,"Jefferson, IA, USA",,19101.0,IA,Name8904525,True,False,False,Severe
USA,Large,Healthcare,Pharmaceuticals,"Jefferson, IA, USA",,19101.0,IA,Name8904526,True,False,False,Severe
USA,Large,Healthcare,Pharmaceuticals,"Jefferson, IA, USA",,19101.0,IA,Name8904527,True,True,False,High
USA,Large,Healthcare,Pharmaceuticals,"Jefferson, IA, USA",,19101.0,IA,Name8904528,True,False,False,Low
USA,Large,Healthcare,Pharmaceuticals,"Jefferson, IA, USA",,19101.0,IA,Name8904529,False,False,True,Low
USA,Large,Healthcare,Pharmaceuticals,"Jefferson, IA, USA",,19101.0,IA,Name8904530,False,False,True,Severe
USA,Large,Healthcare,Pharmaceuticals,"Jefferson, IA, USA",,19101.0,IA,Name8904531,False,True,True,Severe
USA,Large,Healthcare,Pharmaceuticals,"Jefferson, IA, USA",,19101.0,IA,Name8904532,True,True,False,Severe
USA,Large,Healthcare,Pharmaceuticals,"Jefferson, IA, USA",,19101.0,IA,Name8904533,False,True,True,Severe
USA,Large,Healthcare,Pharmaceuticals,"Jefferson, IA, USA",,19101.0,IA,Name8904534,False,False,True,Medium
USA,Large,Healthcare,Pharmaceuticals,"Jefferson, IA, USA",,19101.0,IA,Name8904535,False,False,True,Medium
USA,Large,Healthcare,Pharmaceuticals,"Jefferson, IA, USA",,19101.0,IA,Name8904536,False,True,True,Low
USA,Large,Healthcare,Pharmaceuticals,"Jefferson, IA, USA",,19101.0,IA,Name8904537,True,True,False,High
USA,Large,Healthcare,Pharmaceuticals,"Jefferson, IA, USA",,19101.0,IA,Name8904538,True,False,False,Severe
USA,Large,Healthcare,Pharmaceuticals,"Jefferson, IA, USA",,19101.0,IA,Name8904539,False,True,False,Medium
USA,Large,Healthcare,Pharmaceuticals,"Jefferson, IA, USA",,19101.0,IA,Name8904540,True,True,False,Low
USA,Large,Healthcare,Pharmaceuticals,"Jefferson, IA, USA",,19101.0,IA,Name8904542,True,False,False,Severe
