Country,Size,Sector,Industry,Location,NUTS3_ID,COUNTY_ID,State,Name,Growth,Borrow,Shrink,EWS
USA,Large,Technology,Software,"Jessamine, KY, USA",,21113.0,KY,Name9677762,False,True,True,Severe
USA,Large,Technology,Software,"Jessamine, KY, USA",,21113.0,KY,Name9677763,True,False,False,Low
USA,Large,Technology,Software,"Jessamine, KY, USA",,21113.0,KY,Name9677764,False,True,True,High
USA,Large,Technology,Software,"Jessamine, KY, USA",,21113.0,KY,Name9677765,True,True,False,High
USA,Large,Technology,Software,"Jessamine, KY, USA",,21113.0,KY,Name9677766,True,True,False,Severe
USA,Large,Technology,Software,"Jessamine, KY, USA",,21113.0,KY,Name9677769,False,True,False,Low
USA,Large,Technology,Software,"Jessamine, KY, USA",,21113.0,KY,Name9677770,True,True,False,High
USA,Large,Technology,Software,"Jessamine, KY, USA",,21113.0,KY,Name9677771,False,False,True,Low
USA,Large,Technology,Software,"Jessamine, KY, USA",,21113.0,KY,Name9677772,True,False,False,Severe
USA,Large,Technology,Software,"Jessamine, KY, USA",,21113.0,KY,Name9677774,False,True,False,Low
USA,Large,Technology,Software,"Jessamine, KY, USA",,21113.0,KY,Name9677775,True,True,False,Medium
USA,Large,Technology,Software,"Jessamine, KY, USA",,21113.0,KY,Name9677776,True,False,False,Medium
USA,Large,Technology,Software,"Jessamine, KY, USA",,21113.0,KY,Name9677777,False,True,True,Medium
USA,Large,Technology,Software,"Jessamine, KY, USA",,21113.0,KY,Name9677778,True,True,False,Medium
USA,Large,Technology,Software,"Jessamine, KY, USA",,21113.0,KY,Name9677779,True,False,False,High
USA,Large,Technology,Software,"Jessamine, KY, USA",,21113.0,KY,Name9677780,True,False,False,High
USA,Large,Technology,Software,"Jessamine, KY, USA",,21113.0,KY,Name9677781,True,False,False,Medium
USA,Large,Technology,Software,"Jessamine, KY, USA",,21113.0,KY,Name9677782,True,False,False,Low
USA,Large,Technology,Software,"Jessamine, KY, USA",,21113.0,KY,Name9677783,True,True,False,High
USA,Large,Technology,Software,"Jessamine, KY, USA",,21113.0,KY,Name9677784,True,True,False,Medium
USA,Large,Technology,Software,"Jessamine, KY, USA",,21113.0,KY,Name9677785,True,True,False,Medium
USA,Large,Technology,Software,"Jessamine, KY, USA",,21113.0,KY,Name9677786,False,True,False,Medium
USA,Large,Technology,Software,"Jessamine, KY, USA",,21113.0,KY,Name9677787,False,False,True,Medium
USA,Large,Technology,Software,"Jessamine, KY, USA",,21113.0,KY,Name9677788,True,False,False,Medium
USA,Large,Technology,Software,"Jessamine, KY, USA",,21113.0,KY,Name9677789,True,False,False,Low
USA,Large,Technology,Software,"Jessamine, KY, USA",,21113.0,KY,Name9677790,True,True,False,Severe
USA,Large,Technology,Software,"Jessamine, KY, USA",,21113.0,KY,Name9677791,False,True,True,Low
USA,Large,Technology,Software,"Jessamine, KY, USA",,21113.0,KY,Name9677792,False,True,True,Medium
USA,Large,Technology,Software,"Jessamine, KY, USA",,21113.0,KY,Name9677793,True,True,False,Severe
USA,Large,Technology,Software,"Jessamine, KY, USA",,21113.0,KY,Name9677794,True,False,False,Medium
USA,Large,Technology,Software,"Jessamine, KY, USA",,21113.0,KY,Name9677795,True,False,False,Low
USA,Large,Technology,Software,"Jessamine, KY, USA",,21113.0,KY,Name9677796,True,False,False,Medium
USA,Large,Technology,Software,"Jessamine, KY, USA",,21113.0,KY,Name9677797,True,False,False,Severe
USA,Large,Technology,Software,"Jessamine, KY, USA",,21113.0,KY,Name9677798,False,True,True,Severe
USA,Large,Technology,Software,"Jessamine, KY, USA",,21113.0,KY,Name9677799,True,True,False,Severe
USA,Large,Technology,Software,"Jessamine, KY, USA",,21113.0,KY,Name9677800,False,False,True,Low
USA,Large,Technology,Software,"Jessamine, KY, USA",,21113.0,KY,Name9677801,True,False,False,Medium
USA,Large,Technology,Software,"Jessamine, KY, USA",,21113.0,KY,Name9677803,False,True,False,Medium
USA,Large,Technology,Software,"Jessamine, KY, USA",,21113.0,KY,Name9677805,True,False,False,Low
USA,Large,Technology,Software,"Jessamine, KY, USA",,21113.0,KY,Name9677806,False,False,True,Severe
USA,Large,Technology,Software,"Jessamine, KY, USA",,21113.0,KY,Name9677807,True,True,False,High
USA,Large,Technology,Software,"Jessamine, KY, USA",,21113.0,KY,Name9677808,False,True,False,Medium
USA,Large,Technology,Hardware,"Jessamine, KY, USA",,21113.0,KY,Name9677810,True,False,False,Severe
USA,Large,Technology,Hardware,"Jessamine, KY, USA",,21113.0,KY,Name9677811,True,True,False,Low
USA,Large,Technology,Hardware,"Jessamine, KY, USA",,21113.0,KY,Name9677812,True,True,False,High
USA,Large,Technology,Hardware,"Jessamine, KY, USA",,21113.0,KY,Name9677813,False,True,False,Medium
USA,Large,Technology,Hardware,"Jessamine, KY, USA",,21113.0,KY,Name9677815,True,False,False,Medium
USA,Large,Technology,Hardware,"Jessamine, KY, USA",,21113.0,KY,Name9677817,True,False,False,High
USA,Large,Technology,Hardware,"Jessamine, KY, USA",,21113.0,KY,Name9677818,False,True,True,Low
USA,Large,Technology,Hardware,"Jessamine, KY, USA",,21113.0,KY,Name9677819,True,False,False,Medium
USA,Large,Technology,Hardware,"Jessamine, KY, USA",,21113.0,KY,Name9677820,True,False,False,High
USA,Large,Technology,Hardware,"Jessamine, KY, USA",,21113.0,KY,Name9677821,False,True,True,High
USA,Large,Technology,Hardware,"Jessamine, KY, USA",,21113.0,KY,Name9677822,True,False,False,Severe
USA,Large,Technology,Hardware,"Jessamine, KY, USA",,21113.0,KY,Name9677823,True,True,False,Medium
USA,Large,Technology,Hardware,"Jessamine, KY, USA",,21113.0,KY,Name9677824,False,True,True,Medium
USA,Large,Technology,Hardware,"Jessamine, KY, USA",,21113.0,KY,Name9677825,True,False,False,Low
USA,Large,Technology,Hardware,"Jessamine, KY, USA",,21113.0,KY,Name9677826,True,True,False,High
USA,Large,Technology,Hardware,"Jessamine, KY, USA",,21113.0,KY,Name9677827,False,True,False,Severe
USA,Large,Technology,Hardware,"Jessamine, KY, USA",,21113.0,KY,Name9677828,True,False,False,High
USA,Large,Technology,Hardware,"Jessamine, KY, USA",,21113.0,KY,Name9677829,False,False,True,High
USA,Large,Technology,Hardware,"Jessamine, KY, USA",,21113.0,KY,Name9677830,True,False,False,Severe
USA,Large,Technology,Hardware,"Jessamine, KY, USA",,21113.0,KY,Name9677831,True,False,False,Severe
USA,Large,Technology,Hardware,"Jessamine, KY, USA",,21113.0,KY,Name9677832,True,False,False,High
USA,Large,Technology,Hardware,"Jessamine, KY, USA",,21113.0,KY,Name9677833,True,True,False,High
USA,Large,Technology,Hardware,"Jessamine, KY, USA",,21113.0,KY,Name9677834,True,False,False,Medium
USA,Large,Technology,Hardware,"Jessamine, KY, USA",,21113.0,KY,Name9677835,True,True,False,High
USA,Large,Technology,Hardware,"Jessamine, KY, USA",,21113.0,KY,Name9677836,True,False,False,Severe
USA,Large,Technology,Hardware,"Jessamine, KY, USA",,21113.0,KY,Name9677837,True,True,False,High
USA,Large,Technology,Hardware,"Jessamine, KY, USA",,21113.0,KY,Name9677838,True,True,False,Low
USA,Large,Technology,Hardware,"Jessamine, KY, USA",,21113.0,KY,Name9677840,True,True,False,Low
USA,Large,Technology,IT Services,"Jessamine, KY, USA",,21113.0,KY,Name9677841,False,True,False,Low
USA,Large,Technology,IT Services,"Jessamine, KY, USA",,21113.0,KY,Name9677842,True,False,False,Medium
USA,Large,Technology,IT Services,"Jessamine, KY, USA",,21113.0,KY,Name9677843,True,True,False,Low
USA,Large,Technology,IT Services,"Jessamine, KY, USA",,21113.0,KY,Name9677844,False,False,True,Medium
USA,Large,Technology,IT Services,"Jessamine, KY, USA",,21113.0,KY,Name9677845,True,False,False,Medium
USA,Large,Technology,IT Services,"Jessamine, KY, USA",,21113.0,KY,Name9677846,False,True,True,Medium
USA,Large,Technology,IT Services,"Jessamine, KY, USA",,21113.0,KY,Name9677847,True,True,False,Medium
USA,Large,Technology,IT Services,"Jessamine, KY, USA",,21113.0,KY,Name9677849,True,False,False,High
USA,Large,Technology,IT Services,"Jessamine, KY, USA",,21113.0,KY,Name9677850,False,True,False,Low
USA,Large,Technology,IT Services,"Jessamine, KY, USA",,21113.0,KY,Name9677851,True,False,False,High
USA,Large,Technology,IT Services,"Jessamine, KY, USA",,21113.0,KY,Name9677852,False,True,True,High
USA,Large,Technology,IT Services,"Jessamine, KY, USA",,21113.0,KY,Name9677853,True,True,False,Medium
USA,Large,Technology,IT Services,"Jessamine, KY, USA",,21113.0,KY,Name9677854,True,True,False,Severe
USA,Large,Technology,IT Services,"Jessamine, KY, USA",,21113.0,KY,Name9677855,False,False,True,Low
USA,Large,Technology,IT Services,"Jessamine, KY, USA",,21113.0,KY,Name9677856,False,False,True,Low
USA,Large,Healthcare,Pharmaceuticals,"Jessamine, KY, USA",,21113.0,KY,Name9677858,True,True,False,High
USA,Large,Healthcare,Pharmaceuticals,"Jessamine, KY, USA",,21113.0,KY,Name9677859,False,False,True,High
USA,Large,Healthcare,Pharmaceuticals,"Jessamine, KY, USA",,21113.0,KY,Name9677860,True,True,False,Severe
