Country,Size,Sector,Industry,Location,NUTS3_ID,COUNTY_ID,State,Name,Growth,Borrow,Shrink,EWS
USA,Large,Technology,Software,"Union, LA, USA",,22111.0,LA,Name10188441,True,False,False,Severe
USA,Large,Technology,Software,"Union, LA, USA",,22111.0,LA,Name10188444,True,True,False,High
USA,Large,Technology,Software,"Union, LA, USA",,22111.0,LA,Name10188445,True,False,False,Medium
USA,Large,Technology,Software,"Union, LA, USA",,22111.0,LA,Name10188446,True,False,False,High
USA,Large,Technology,Software,"Union, LA, USA",,22111.0,LA,Name10188448,False,False,True,High
USA,Large,Technology,Software,"Union, LA, USA",,22111.0,LA,Name10188449,False,True,False,Low
USA,Large,Technology,Software,"Union, LA, USA",,22111.0,LA,Name10188450,False,True,True,Low
USA,Large,Technology,Software,"Union, LA, USA",,22111.0,LA,Name10188451,True,False,False,High
USA,Large,Technology,Software,"Union, LA, USA",,22111.0,LA,Name10188452,True,False,False,Severe
USA,Large,Technology,Software,"Union, LA, USA",,22111.0,LA,Name10188454,True,True,False,Severe
USA,Large,Technology,Software,"Union, LA, USA",,22111.0,LA,Name10188455,False,True,False,Low
USA,Large,Technology,Software,"Union, LA, USA",,22111.0,LA,Name10188456,False,True,False,Medium
USA,Large,Technology,Software,"Union, LA, USA",,22111.0,LA,Name10188457,False,True,False,Medium
USA,Large,Technology,Software,"Union, LA, USA",,22111.0,LA,Name10188458,True,False,False,High
USA,Large,Technology,Software,"Union, LA, USA",,22111.0,LA,Name10188459,False,False,True,Low
USA,Large,Technology,Software,"Union, LA, USA",,22111.0,LA,Name10188460,False,True,False,Medium
USA,Large,Technology,Software,"Union, LA, USA",,22111.0,LA,Name10188461,True,True,False,Medium
USA,Large,Technology,Software,"Union, LA, USA",,22111.0,LA,Name10188462,True,False,False,Low
USA,Large,Technology,Software,"Union, LA, USA",,22111.0,LA,Name10188463,False,False,True,Severe
USA,Large,Technology,Software,"Union, LA, USA",,22111.0,LA,Name10188464,False,False,True,Low
USA,Large,Technology,Software,"Union, LA, USA",,22111.0,LA,Name10188465,False,True,True,High
USA,Large,Technology,Software,"Union, LA, USA",,22111.0,LA,Name10188466,True,True,False,High
USA,Large,Technology,Software,"Union, LA, USA",,22111.0,LA,Name10188467,True,False,False,Medium
USA,Large,Technology,Software,"Union, LA, USA",,22111.0,LA,Name10188468,False,True,False,Severe
USA,Large,Technology,Software,"Union, LA, USA",,22111.0,LA,Name10188469,False,True,True,Severe
USA,Large,Technology,Software,"Union, LA, USA",,22111.0,LA,Name10188470,True,False,False,Low
USA,Large,Technology,Software,"Union, LA, USA",,22111.0,LA,Name10188471,False,True,False,Severe
USA,Large,Technology,Software,"Union, LA, USA",,22111.0,LA,Name10188472,True,True,False,High
USA,Large,Technology,Software,"Union, LA, USA",,22111.0,LA,Name10188473,False,True,True,Medium
USA,Large,Technology,Software,"Union, LA, USA",,22111.0,LA,Name10188476,True,False,False,Medium
USA,Large,Technology,Software,"Union, LA, USA",,22111.0,LA,Name10188477,True,True,False,High
USA,Large,Technology,Software,"Union, LA, USA",,22111.0,LA,Name10188478,False,True,True,Severe
USA,Large,Technology,Software,"Union, LA, USA",,22111.0,LA,Name10188479,True,True,False,Severe
USA,Large,Technology,Software,"Union, LA, USA",,22111.0,LA,Name10188480,True,True,False,Medium
USA,Large,Technology,Software,"Union, LA, USA",,22111.0,LA,Name10188481,True,True,False,Medium
USA,Large,Technology,Software,"Union, LA, USA",,22111.0,LA,Name10188482,True,False,False,High
USA,Large,Technology,Hardware,"Union, LA, USA",,22111.0,LA,Name10188483,False,True,True,Severe
USA,Large,Technology,Hardware,"Union, LA, USA",,22111.0,LA,Name10188484,False,False,True,Severe
USA,Large,Technology,Hardware,"Union, LA, USA",,22111.0,LA,Name10188485,True,False,False,High
USA,Large,Technology,Hardware,"Union, LA, USA",,22111.0,LA,Name10188486,True,False,False,Severe
USA,Large,Technology,Hardware,"Union, LA, USA",,22111.0,LA,Name10188487,False,True,False,Low
USA,Large,Technology,Hardware,"Union, LA, USA",,22111.0,LA,Name10188488,True,True,False,High
USA,Large,Technology,Hardware,"Union, LA, USA",,22111.0,LA,Name10188489,False,True,True,Low
USA,Large,Technology,Hardware,"Union, LA, USA",,22111.0,LA,Name10188490,True,True,False,Low
USA,Large,Technology,Hardware,"Union, LA, USA",,22111.0,LA,Name10188491,True,True,False,High
USA,Large,Technology,Hardware,"Union, LA, USA",,22111.0,LA,Name10188493,True,False,False,Low
USA,Large,Technology,Hardware,"Union, LA, USA",,22111.0,LA,Name10188494,False,True,True,High
USA,Large,Technology,Hardware,"Union, LA, USA",,22111.0,LA,Name10188495,False,True,False,Severe
USA,Large,Technology,Hardware,"Union, LA, USA",,22111.0,LA,Name10188496,True,True,False,Severe
USA,Large,Technology,Hardware,"Union, LA, USA",,22111.0,LA,Name10188498,False,True,False,Medium
USA,Large,Technology,Hardware,"Union, LA, USA",,22111.0,LA,Name10188499,False,False,True,Medium
USA,Large,Technology,Hardware,"Union, LA, USA",,22111.0,LA,Name10188500,False,False,True,High
USA,Large,Technology,Hardware,"Union, LA, USA",,22111.0,LA,Name10188501,True,True,False,Medium
USA,Large,Technology,Hardware,"Union, LA, USA",,22111.0,LA,Name10188502,True,True,False,High
USA,Large,Technology,Hardware,"Union, LA, USA",,22111.0,LA,Name10188503,False,False,True,Medium
USA,Large,Technology,Hardware,"Union, LA, USA",,22111.0,LA,Name10188504,True,True,False,Low
USA,Large,Technology,Hardware,"Union, LA, USA",,22111.0,LA,Name10188505,False,True,False,Severe
USA,Large,Technology,Hardware,"Union, LA, USA",,22111.0,LA,Name10188506,False,True,True,Low
USA,Large,Technology,Hardware,"Union, LA, USA",,22111.0,LA,Name10188507,False,True,False,Severe
USA,Large,Technology,Hardware,"Union, LA, USA",,22111.0,LA,Name10188508,True,False,False,Medium
USA,Large,Technology,Hardware,"Union, LA, USA",,22111.0,LA,Name10188509,True,True,False,Severe
USA,Large,Technology,Hardware,"Union, LA, USA",,22111.0,LA,Name10188510,True,False,False,High
USA,Large,Technology,Hardware,"Union, LA, USA",,22111.0,LA,Name10188511,False,True,True,High
USA,Large,Technology,Hardware,"Union, LA, USA",,22111.0,LA,Name10188512,True,True,False,Medium
USA,Large,Technology,Hardware,"Union, LA, USA",,22111.0,LA,Name10188513,False,True,True,Severe
USA,Large,Technology,Hardware,"Union, LA, USA",,22111.0,LA,Name10188514,True,False,False,Severe
USA,Large,Technology,Hardware,"Union, LA, USA",,22111.0,LA,Name10188515,True,False,False,High
USA,Large,Technology,Hardware,"Union, LA, USA",,22111.0,LA,Name10188516,False,False,True,Severe
USA,Large,Technology,Hardware,"Union, LA, USA",,22111.0,LA,Name10188517,False,True,False,Low
USA,Large,Technology,Hardware,"Union, LA, USA",,22111.0,LA,Name10188518,True,True,False,High
USA,Large,Technology,Hardware,"Union, LA, USA",,22111.0,LA,Name10188519,True,False,False,Low
USA,Large,Technology,IT Services,"Union, LA, USA",,22111.0,LA,Name10188520,True,True,False,Severe
USA,Large,Technology,IT Services,"Union, LA, USA",,22111.0,LA,Name10188521,True,False,False,Severe
USA,Large,Technology,IT Services,"Union, LA, USA",,22111.0,LA,Name10188522,False,False,True,Low
USA,Large,Technology,IT Services,"Union, LA, USA",,22111.0,LA,Name10188523,False,True,True,Medium
USA,Large,Technology,IT Services,"Union, LA, USA",,22111.0,LA,Name10188524,True,True,False,High
USA,Large,Technology,IT Services,"Union, LA, USA",,22111.0,LA,Name10188525,True,False,False,Low
USA,Large,Technology,IT Services,"Union, LA, USA",,22111.0,LA,Name10188526,True,True,False,Medium
USA,Large,Healthcare,Pharmaceuticals,"Union, LA, USA",,22111.0,LA,Name10188528,True,False,False,Medium
USA,Large,Healthcare,Pharmaceuticals,"Union, LA, USA",,22111.0,LA,Name10188529,False,True,True,Severe
USA,Large,Healthcare,Pharmaceuticals,"Union, LA, USA",,22111.0,LA,Name10188530,False,False,True,Severe
USA,Large,Healthcare,Pharmaceuticals,"Union, LA, USA",,22111.0,LA,Name10188531,False,True,False,Low
USA,Large,Healthcare,Pharmaceuticals,"Union, LA, USA",,22111.0,LA,Name10188532,True,False,False,High
USA,Large,Healthcare,Pharmaceuticals,"Union, LA, USA",,22111.0,LA,Name10188533,False,False,True,High
