Country,Size,Sector,Industry,Location,NUTS3_ID,COUNTY_ID,State,Name,Growth,Borrow,Shrink,EWS
USA,Large,Technology,Software,"Barry, MO, USA",,29009.0,MO,Name11532664,True,False,False,Medium
USA,Large,Technology,Software,"Barry, MO, USA",,29009.0,MO,Name11532666,True,False,False,Low
USA,Large,Technology,Software,"Barry, MO, USA",,29009.0,MO,Name11532667,True,False,False,Medium
USA,Large,Technology,Software,"Barry, MO, USA",,29009.0,MO,Name11532668,True,True,False,Low
USA,Large,Technology,Software,"Barry, MO, USA",,29009.0,MO,Name11532669,False,True,True,Low
USA,Large,Technology,Software,"Barry, MO, USA",,29009.0,MO,Name11532671,False,True,False,Medium
USA,Large,Technology,Software,"Barry, MO, USA",,29009.0,MO,Name11532672,True,True,False,High
USA,Large,Technology,Software,"Barry, MO, USA",,29009.0,MO,Name11532673,False,True,False,High
USA,Large,Technology,Software,"Barry, MO, USA",,29009.0,MO,Name11532674,True,True,False,High
USA,Large,Technology,Software,"Barry, MO, USA",,29009.0,MO,Name11532675,False,True,True,Medium
USA,Large,Technology,Software,"Barry, MO, USA",,29009.0,MO,Name11532676,True,True,False,Low
USA,Large,Technology,Software,"Barry, MO, USA",,29009.0,MO,Name11532677,False,False,True,Low
USA,Large,Technology,Software,"Barry, MO, USA",,29009.0,MO,Name11532678,False,True,True,Severe
USA,Large,Technology,Software,"Barry, MO, USA",,29009.0,MO,Name11532679,False,True,True,High
USA,Large,Technology,Software,"Barry, MO, USA",,29009.0,MO,Name11532681,True,True,False,Medium
USA,Large,Technology,Software,"Barry, MO, USA",,29009.0,MO,Name11532682,True,False,False,Medium
USA,Large,Technology,Software,"Barry, MO, USA",,29009.0,MO,Name11532683,True,False,False,Low
USA,Large,Technology,Software,"Barry, MO, USA",,29009.0,MO,Name11532684,False,True,False,Severe
USA,Large,Technology,Software,"Barry, MO, USA",,29009.0,MO,Name11532685,False,False,True,Severe
USA,Large,Technology,Software,"Barry, MO, USA",,29009.0,MO,Name11532686,True,True,False,Low
USA,Large,Technology,Software,"Barry, MO, USA",,29009.0,MO,Name11532687,True,True,False,Severe
USA,Large,Technology,Software,"Barry, MO, USA",,29009.0,MO,Name11532688,False,False,True,High
USA,Large,Technology,Software,"Barry, MO, USA",,29009.0,MO,Name11532689,True,False,False,High
USA,Large,Technology,Software,"Barry, MO, USA",,29009.0,MO,Name11532690,False,False,True,Severe
USA,Large,Technology,Software,"Barry, MO, USA",,29009.0,MO,Name11532691,True,False,False,Medium
USA,Large,Technology,Software,"Barry, MO, USA",,29009.0,MO,Name11532692,False,True,True,Severe
USA,Large,Technology,Software,"Barry, MO, USA",,29009.0,MO,Name11532694,True,False,False,High
USA,Large,Technology,Hardware,"Barry, MO, USA",,29009.0,MO,Name11532698,False,True,False,Medium
USA,Large,Technology,Hardware,"Barry, MO, USA",,29009.0,MO,Name11532700,False,True,False,High
USA,Large,Technology,Hardware,"Barry, MO, USA",,29009.0,MO,Name11532701,True,True,False,Medium
USA,Large,Technology,Hardware,"Barry, MO, USA",,29009.0,MO,Name11532702,True,True,False,Low
USA,Large,Technology,Hardware,"Barry, MO, USA",,29009.0,MO,Name11532703,True,False,False,Severe
USA,Large,Technology,Hardware,"Barry, MO, USA",,29009.0,MO,Name11532704,True,False,False,Low
USA,Large,Technology,Hardware,"Barry, MO, USA",,29009.0,MO,Name11532705,False,True,True,Low
USA,Large,Technology,IT Services,"Barry, MO, USA",,29009.0,MO,Name11532706,False,True,False,Low
USA,Large,Technology,IT Services,"Barry, MO, USA",,29009.0,MO,Name11532707,True,False,False,Medium
USA,Large,Technology,IT Services,"Barry, MO, USA",,29009.0,MO,Name11532708,False,True,True,Low
USA,Large,Technology,IT Services,"Barry, MO, USA",,29009.0,MO,Name11532709,False,False,True,High
USA,Large,Technology,IT Services,"Barry, MO, USA",,29009.0,MO,Name11532710,False,True,False,High
USA,Large,Technology,IT Services,"Barry, MO, USA",,29009.0,MO,Name11532711,True,True,False,Severe
USA,Large,Technology,IT Services,"Barry, MO, USA",,29009.0,MO,Name11532712,True,False,False,Severe
USA,Large,Technology,IT Services,"Barry, MO, USA",,29009.0,MO,Name11532713,False,False,True,Medium
USA,Large,Technology,IT Services,"Barry, MO, USA",,29009.0,MO,Name11532714,False,False,True,High
USA,Large,Technology,IT Services,"Barry, MO, USA",,29009.0,MO,Name11532715,True,False,False,Medium
USA,Large,Technology,IT Services,"Barry, MO, USA",,29009.0,MO,Name11532716,False,False,True,Medium
USA,Large,Technology,IT Services,"Barry, MO, USA",,29009.0,MO,Name11532717,False,True,True,Medium
USA,Large,Technology,IT Services,"Barry, MO, USA",,29009.0,MO,Name11532718,True,False,False,Medium
USA,Large,Technology,IT Services,"Barry, MO, USA",,29009.0,MO,Name11532720,True,False,False,High
USA,Large,Technology,IT Services,"Barry, MO, USA",,29009.0,MO,Name11532721,True,True,False,High
USA,Large,Technology,IT Services,"Barry, MO, USA",,29009.0,MO,Name11532722,True,True,False,High
USA,Large,Technology,IT Services,"Barry, MO, USA",,29009.0,MO,Name11532725,True,False,False,High
USA,Large,Technology,IT Services,"Barry, MO, USA",,29009.0,MO,Name11532726,True,False,False,Low
USA,Large,Technology,IT Services,"Barry, MO, USA",,29009.0,MO,Name11532727,False,False,True,High
USA,Large,Healthcare,Pharmaceuticals,"Barry, MO, USA",,29009.0,MO,Name11532728,True,True,False,Low
USA,Large,Healthcare,Pharmaceuticals,"Barry, MO, USA",,29009.0,MO,Name11532729,False,True,True,Severe
USA,Large,Healthcare,Pharmaceuticals,"Barry, MO, USA",,29009.0,MO,Name11532730,False,True,True,Medium
USA,Large,Healthcare,Pharmaceuticals,"Barry, MO, USA",,29009.0,MO,Name11532732,False,True,True,High
USA,Large,Healthcare,Pharmaceuticals,"Barry, MO, USA",,29009.0,MO,Name11532733,False,False,True,High
USA,Large,Healthcare,Medical Devices,"Barry, MO, USA",,29009.0,MO,Name11532734,False,True,False,Severe
USA,Large,Healthcare,Medical Devices,"Barry, MO, USA",,29009.0,MO,Name11532735,True,True,False,Severe
USA,Large,Healthcare,Medical Devices,"Barry, MO, USA",,29009.0,MO,Name11532736,True,False,False,Low
USA,Large,Healthcare,Medical Devices,"Barry, MO, USA",,29009.0,MO,Name11532738,True,True,False,High
USA,Large,Healthcare,Medical Devices,"Barry, MO, USA",,29009.0,MO,Name11532739,False,False,True,Medium
USA,Large,Healthcare,Medical Devices,"Barry, MO, USA",,29009.0,MO,Name11532741,False,True,False,Low
USA,Large,Healthcare,Medical Devices,"Barry, MO, USA",,29009.0,MO,Name11532742,True,False,False,High
USA,Large,Healthcare,Medical Devices,"Barry, MO, USA",,29009.0,MO,Name11532743,True,True,False,Medium
USA,Large,Healthcare,Medical Devices,"Barry, MO, USA",,29009.0,MO,Name11532744,True,False,False,Medium
USA,Large,Healthcare,Medical Devices,"Barry, MO, USA",,29009.0,MO,Name11532745,False,False,True,Low
USA,Large,Healthcare,Healthcare Services,"Barry, MO, USA",,29009.0,MO,Name11532746,False,True,True,Low
USA,Large,Healthcare,Healthcare Services,"Barry, MO, USA",,29009.0,MO,Name11532747,False,True,True,Low
USA,Large,Healthcare,Healthcare Services,"Barry, MO, USA",,29009.0,MO,Name11532748,True,False,False,Medium
USA,Large,Healthcare,Healthcare Services,"Barry, MO, USA",,29009.0,MO,Name11532750,False,True,True,Medium
USA,Large,Healthcare,Healthcare Services,"Barry, MO, USA",,29009.0,MO,Name11532751,False,False,True,Low
USA,Large,Healthcare,Healthcare Services,"Barry, MO, USA",,29009.0,MO,Name11532752,False,True,True,Severe
USA,Large,Healthcare,Healthcare Services,"Barry, MO, USA",,29009.0,MO,Name11532753,True,False,False,Severe
USA,Large,Healthcare,Healthcare Services,"Barry, MO, USA",,29009.0,MO,Name11532754,False,True,False,Medium
