Country,Size,Sector,Location,NUTS3_ID,COUNTY_ID,State,Name,Growth,Borrow,Shrink,IR,EWS
USA,Large,HiTech,"Oktibbeha, MS, USA",,28105.0,MS,Name4505244,False,False,True,Ba3,Severe
USA,Large,HiTech,"Oktibbeha, MS, USA",,28105.0,MS,Name4505245,False,True,True,A1,Severe
USA,Large,HiTech,"Oktibbeha, MS, USA",,28105.0,MS,Name4505246,True,True,False,Aa3,Low
USA,Large,HiTech,"Oktibbeha, MS, USA",,28105.0,MS,Name4505247,False,True,True,Baa3,Medium
USA,Large,HiTech,"Oktibbeha, MS, USA",,28105.0,MS,Name4505248,True,True,False,A2,Severe
USA,Large,HiTech,"Oktibbeha, MS, USA",,28105.0,MS,Name4505250,True,False,False,B2,High
USA,Large,HiTech,"Oktibbeha, MS, USA",,28105.0,MS,Name4505251,False,False,True,Baa1,Low
USA,Large,HiTech,"Oktibbeha, MS, USA",,28105.0,MS,Name4505252,True,False,False,Ba2,Severe
USA,Large,HiTech,"Oktibbeha, MS, USA",,28105.0,MS,Name4505253,True,True,False,Ba1,Severe
USA,Large,HiTech,"Oktibbeha, MS, USA",,28105.0,MS,Name4505254,False,True,False,Baa3,Low
USA,Large,HiTech,"Oktibbeha, MS, USA",,28105.0,MS,Name4505255,False,False,True,B2,High
USA,Large,HiTech,"Oktibbeha, MS, USA",,28105.0,MS,Name4505256,True,False,False,Baa1,Medium
USA,Large,HiTech,"Oktibbeha, MS, USA",,28105.0,MS,Name4505257,True,True,False,Ba2,Medium
USA,Large,HiTech,"Oktibbeha, MS, USA",,28105.0,MS,Name4505258,False,True,False,Baa2,High
USA,Large,HiTech,"Oktibbeha, MS, USA",,28105.0,MS,Name4505259,False,False,True,Ba2,Low
USA,Large,HiTech,"Oktibbeha, MS, USA",,28105.0,MS,Name4505260,False,True,True,Ba2,Low
USA,Large,HiTech,"Oktibbeha, MS, USA",,28105.0,MS,Name4505262,True,True,False,Aa3,Medium
USA,Large,HiTech,"Oktibbeha, MS, USA",,28105.0,MS,Name4505263,True,False,False,Aa2,Medium
USA,Large,HiTech,"Oktibbeha, MS, USA",,28105.0,MS,Name4505264,True,False,False,Aa3,Severe
USA,Large,HiTech,"Oktibbeha, MS, USA",,28105.0,MS,Name4505266,True,False,False,A3,High
USA,Large,HiTech,"Oktibbeha, MS, USA",,28105.0,MS,Name4505267,True,True,False,Aaa,High
USA,Large,HiTech,"Oktibbeha, MS, USA",,28105.0,MS,Name4505268,True,True,False,Aa3,Severe
