Country,Size,Sector,Industry,Location,NUTS3_ID,COUNTY_ID,State,Name,Growth,Borrow,Shrink,EWS
USA,Large,Technology,Software,"Musselshell, MT, USA",,30065.0,MT,Name11965293,False,True,True,Severe
USA,Large,Technology,Software,"Musselshell, MT, USA",,30065.0,MT,Name11965294,True,True,False,High
USA,Large,Technology,Software,"Musselshell, MT, USA",,30065.0,MT,Name11965295,True,False,False,High
USA,Large,Technology,Software,"Musselshell, MT, USA",,30065.0,MT,Name11965296,True,False,False,High
USA,Large,Technology,Software,"Musselshell, MT, USA",,30065.0,MT,Name11965297,False,True,True,High
USA,Large,Technology,Software,"Musselshell, MT, USA",,30065.0,MT,Name11965298,True,True,False,High
USA,Large,Technology,Software,"Musselshell, MT, USA",,30065.0,MT,Name11965300,False,True,True,Low
USA,Large,Technology,Software,"Musselshell, MT, USA",,30065.0,MT,Name11965301,False,True,False,Severe
USA,Large,Technology,Software,"Musselshell, MT, USA",,30065.0,MT,Name11965302,True,True,False,Low
USA,Large,Technology,Software,"Musselshell, MT, USA",,30065.0,MT,Name11965303,True,True,False,Severe
USA,Large,Technology,Software,"Musselshell, MT, USA",,30065.0,MT,Name11965304,True,False,False,Severe
USA,Large,Technology,Software,"Musselshell, MT, USA",,30065.0,MT,Name11965305,True,False,False,Low
USA,Large,Technology,Software,"Musselshell, MT, USA",,30065.0,MT,Name11965306,False,True,True,Medium
USA,Large,Technology,Software,"Musselshell, MT, USA",,30065.0,MT,Name11965307,False,True,True,Low
USA,Large,Technology,Software,"Musselshell, MT, USA",,30065.0,MT,Name11965308,True,False,False,High
USA,Large,Technology,Software,"Musselshell, MT, USA",,30065.0,MT,Name11965309,True,False,False,Medium
USA,Large,Technology,Software,"Musselshell, MT, USA",,30065.0,MT,Name11965310,False,True,True,High
USA,Large,Technology,Software,"Musselshell, MT, USA",,30065.0,MT,Name11965311,False,True,True,High
USA,Large,Technology,Software,"Musselshell, MT, USA",,30065.0,MT,Name11965312,True,False,False,High
USA,Large,Technology,Software,"Musselshell, MT, USA",,30065.0,MT,Name11965313,True,False,False,Severe
USA,Large,Technology,Software,"Musselshell, MT, USA",,30065.0,MT,Name11965314,True,True,False,Low
USA,Large,Technology,Software,"Musselshell, MT, USA",,30065.0,MT,Name11965315,False,True,False,Severe
USA,Large,Technology,Software,"Musselshell, MT, USA",,30065.0,MT,Name11965316,False,True,True,Low
USA,Large,Technology,Software,"Musselshell, MT, USA",,30065.0,MT,Name11965317,False,True,True,Low
USA,Large,Technology,Software,"Musselshell, MT, USA",,30065.0,MT,Name11965318,False,True,True,High
USA,Large,Technology,Hardware,"Musselshell, MT, USA",,30065.0,MT,Name11965319,False,False,True,High
USA,Large,Technology,Hardware,"Musselshell, MT, USA",,30065.0,MT,Name11965321,False,True,True,High
USA,Large,Technology,Hardware,"Musselshell, MT, USA",,30065.0,MT,Name11965322,False,True,True,Severe
USA,Large,Technology,Hardware,"Musselshell, MT, USA",,30065.0,MT,Name11965323,True,True,False,Severe
USA,Large,Technology,Hardware,"Musselshell, MT, USA",,30065.0,MT,Name11965324,True,True,False,Severe
USA,Large,Technology,Hardware,"Musselshell, MT, USA",,30065.0,MT,Name11965326,True,True,False,Severe
USA,Large,Technology,Hardware,"Musselshell, MT, USA",,30065.0,MT,Name11965327,False,True,False,Severe
USA,Large,Technology,Hardware,"Musselshell, MT, USA",,30065.0,MT,Name11965328,True,True,False,High
