Country,Size,Sector,Location,NUTS3_ID,COUNTY_ID,State,Name,Growth,Borrow,Shrink,IR,EWS
USA,Large,HiTech,"Silver Bow, MT, USA",,30093.0,MT,Name4722288,False,True,False,A3,High
USA,Large,HiTech,"Silver Bow, MT, USA",,30093.0,MT,Name4722289,True,True,False,Ba3,Medium
USA,Large,HiTech,"Silver Bow, MT, USA",,30093.0,MT,Name4722290,True,True,False,Aa3,Medium
USA,Large,HiTech,"Silver Bow, MT, USA",,30093.0,MT,Name4722291,False,True,True,Caa/C,Severe
USA,Large,HiTech,"Silver Bow, MT, USA",,30093.0,MT,Name4722292,True,True,False,B2,Severe
USA,Large,HiTech,"Silver Bow, MT, USA",,30093.0,MT,Name4722293,False,True,True,Caa/C,Low
USA,Large,HiTech,"Silver Bow, MT, USA",,30093.0,MT,Name4722294,False,True,True,A2,High
USA,Large,HiTech,"Silver Bow, MT, USA",,30093.0,MT,Name4722296,True,True,False,Caa/C,Severe
USA,Large,HiTech,"Silver Bow, MT, USA",,30093.0,MT,Name4722297,True,False,False,Aa2,Medium
USA,Large,HiTech,"Silver Bow, MT, USA",,30093.0,MT,Name4722298,True,False,False,A3,Low
USA,Large,HiTech,"Silver Bow, MT, USA",,30093.0,MT,Name4722299,False,False,True,Aa2,High
USA,Large,HiTech,"Silver Bow, MT, USA",,30093.0,MT,Name4722300,True,False,False,Ba3,Low
USA,Large,HiTech,"Silver Bow, MT, USA",,30093.0,MT,Name4722301,True,False,False,Aa1,Low
USA,Large,HiTech,"Silver Bow, MT, USA",,30093.0,MT,Name4722302,False,True,True,Aa1,High
USA,Large,HiTech,"Silver Bow, MT, USA",,30093.0,MT,Name4722304,True,True,False,B3,Medium
USA,Large,HiTech,"Silver Bow, MT, USA",,30093.0,MT,Name4722305,False,True,False,A3,Low
USA,Large,HiTech,"Silver Bow, MT, USA",,30093.0,MT,Name4722306,True,True,False,Baa2,Low
USA,Large,HiTech,"Silver Bow, MT, USA",,30093.0,MT,Name4722307,True,False,False,B1,High
USA,Large,HiTech,"Silver Bow, MT, USA",,30093.0,MT,Name4722308,False,True,False,B1,Medium
USA,Large,HiTech,"Silver Bow, MT, USA",,30093.0,MT,Name4722309,True,True,False,B3,High
USA,Large,HiTech,"Silver Bow, MT, USA",,30093.0,MT,Name4722310,False,True,True,Ba3,Severe
USA,Large,HiTech,"Silver Bow, MT, USA",,30093.0,MT,Name4722311,True,False,False,Caa/C,Medium
USA,Large,HiTech,"Silver Bow, MT, USA",,30093.0,MT,Name4722312,True,False,False,Baa3,Low
USA,Large,HiTech,"Silver Bow, MT, USA",,30093.0,MT,Name4722313,True,True,False,B1,Severe
USA,Large,HiTech,"Silver Bow, MT, USA",,30093.0,MT,Name4722314,False,True,False,Ba2,Medium
USA,Large,HiTech,"Silver Bow, MT, USA",,30093.0,MT,Name4722316,True,True,False,B1,Low
USA,Large,HiTech,"Silver Bow, MT, USA",,30093.0,MT,Name4722317,False,False,True,A2,Medium
USA,Large,HiTech,"Silver Bow, MT, USA",,30093.0,MT,Name4722318,False,False,True,Caa/C,Severe
USA,Large,Agriculture,"Silver Bow, MT, USA",,30093.0,MT,Name4722319,False,True,False,Baa3,Severe
USA,Large,Agriculture,"Silver Bow, MT, USA",,30093.0,MT,Name4722320,True,False,False,B1,High
USA,Large,Agriculture,"Silver Bow, MT, USA",,30093.0,MT,Name4722321,True,True,False,Aa2,High
USA,Large,Agriculture,"Silver Bow, MT, USA",,30093.0,MT,Name4722323,False,False,True,B3,Low
USA,Large,Agriculture,"Silver Bow, MT, USA",,30093.0,MT,Name4722324,False,True,False,Aa3,Low
USA,Large,Agriculture,"Silver Bow, MT, USA",,30093.0,MT,Name4722325,True,False,False,Baa1,Low
USA,Large,Agriculture,"Silver Bow, MT, USA",,30093.0,MT,Name4722326,False,True,True,Baa2,Severe
USA,Large,Agriculture,"Silver Bow, MT, USA",,30093.0,MT,Name4722327,True,True,False,B1,High
USA,Large,Agriculture,"Silver Bow, MT, USA",,30093.0,MT,Name4722328,False,True,False,Baa1,High
USA,Large,Agriculture,"Silver Bow, MT, USA",,30093.0,MT,Name4722329,False,True,False,Ba2,Severe
USA,Large,Agriculture,"Silver Bow, MT, USA",,30093.0,MT,Name4722330,True,False,False,Aaa,Low
USA,Large,Agriculture,"Silver Bow, MT, USA",,30093.0,MT,Name4722331,False,False,True,Ba2,High
USA,Large,Agriculture,"Silver Bow, MT, USA",,30093.0,MT,Name4722333,True,False,False,Baa3,Medium
USA,Large,Agriculture,"Silver Bow, MT, USA",,30093.0,MT,Name4722334,True,False,False,Aa2,High
USA,Large,Agriculture,"Silver Bow, MT, USA",,30093.0,MT,Name4722335,False,True,True,Aa1,Low
USA,Large,Agriculture,"Silver Bow, MT, USA",,30093.0,MT,Name4722336,True,True,False,Caa/C,Low
USA,Large,Agriculture,"Silver Bow, MT, USA",,30093.0,MT,Name4722337,True,True,False,A1,Severe
USA,Large,Agriculture,"Silver Bow, MT, USA",,30093.0,MT,Name4722338,False,True,False,Aa2,Low
USA,Large,Agriculture,"Silver Bow, MT, USA",,30093.0,MT,Name4722340,False,True,True,A3,Low
USA,Large,Agriculture,"Silver Bow, MT, USA",,30093.0,MT,Name4722341,False,True,False,Aa1,Severe
USA,Large,Agriculture,"Silver Bow, MT, USA",,30093.0,MT,Name4722342,False,False,True,B1,Low
USA,Large,Agriculture,"Silver Bow, MT, USA",,30093.0,MT,Name4722343,True,True,False,A3,Low
USA,Large,Agriculture,"Silver Bow, MT, USA",,30093.0,MT,Name4722344,True,True,False,Aa3,Medium
USA,Large,Agriculture,"Silver Bow, MT, USA",,30093.0,MT,Name4722345,True,True,False,Ba1,Medium
USA,Large,Agriculture,"Silver Bow, MT, USA",,30093.0,MT,Name4722346,False,True,True,Baa3,Medium
USA,Large,Agriculture,"Silver Bow, MT, USA",,30093.0,MT,Name4722348,True,True,False,Aaa,High
USA,Large,Agriculture,"Silver Bow, MT, USA",,30093.0,MT,Name4722349,True,True,False,Aa1,Low
USA,Large,Agriculture,"Silver Bow, MT, USA",,30093.0,MT,Name4722350,False,True,False,Ba3,Medium
USA,Large,Agriculture,"Silver Bow, MT, USA",,30093.0,MT,Name4722351,True,False,False,Aa3,High
USA,Large,Agriculture,"Silver Bow, MT, USA",,30093.0,MT,Name4722352,False,True,True,Ba2,Severe
USA,Large,Agriculture,"Silver Bow, MT, USA",,30093.0,MT,Name4722353,True,True,False,Aa2,Severe
USA,Large,Agriculture,"Silver Bow, MT, USA",,30093.0,MT,Name4722354,True,False,False,Aa2,Low
USA,Large,Agriculture,"Silver Bow, MT, USA",,30093.0,MT,Name4722356,False,True,True,Baa3,High
USA,Large,Agriculture,"Silver Bow, MT, USA",,30093.0,MT,Name4722357,True,False,False,A1,Severe
USA,Large,Agriculture,"Silver Bow, MT, USA",,30093.0,MT,Name4722358,True,False,False,Ba3,Medium
USA,Large,Agriculture,"Silver Bow, MT, USA",,30093.0,MT,Name4722359,True,True,False,Caa/C,Medium
USA,Large,Agriculture,"Silver Bow, MT, USA",,30093.0,MT,Name4722360,True,False,False,Aa1,Severe
USA,Large,Agriculture,"Silver Bow, MT, USA",,30093.0,MT,Name4722361,True,False,False,B1,Medium
USA,Large,Agriculture,"Silver Bow, MT, USA",,30093.0,MT,Name4722362,True,False,False,A1,Low
USA,Large,Agriculture,"Silver Bow, MT, USA",,30093.0,MT,Name4722363,False,True,True,Aa3,Medium
USA,Large,Agriculture,"Silver Bow, MT, USA",,30093.0,MT,Name4722364,False,True,False,Aa3,Severe
USA,Large,Agriculture,"Silver Bow, MT, USA",,30093.0,MT,Name4722365,False,True,False,B3,Low
USA,Large,Transportation,"Silver Bow, MT, USA",,30093.0,MT,Name4722366,True,False,False,Ba1,High
USA,Large,Transportation,"Silver Bow, MT, USA",,30093.0,MT,Name4722367,False,False,True,Aaa,Low
USA,Large,Transportation,"Silver Bow, MT, USA",,30093.0,MT,Name4722368,True,True,False,B3,Medium
USA,Large,Transportation,"Silver Bow, MT, USA",,30093.0,MT,Name4722369,False,True,True,Baa2,Low
USA,Large,Transportation,"Silver Bow, MT, USA",,30093.0,MT,Name4722370,True,True,False,Ba3,Medium
USA,Large,Transportation,"Silver Bow, MT, USA",,30093.0,MT,Name4722372,True,False,False,Baa1,Severe
USA,Large,Transportation,"Silver Bow, MT, USA",,30093.0,MT,Name4722373,False,True,False,A2,Low
USA,Large,Transportation,"Silver Bow, MT, USA",,30093.0,MT,Name4722374,False,True,True,Aa1,Severe
USA,Large,Transportation,"Silver Bow, MT, USA",,30093.0,MT,Name4722377,False,True,False,Caa/C,High
USA,Large,Transportation,"Silver Bow, MT, USA",,30093.0,MT,Name4722378,False,True,True,Aa2,High
USA,Large,Transportation,"Silver Bow, MT, USA",,30093.0,MT,Name4722379,True,True,False,Aa1,High
USA,Large,Transportation,"Silver Bow, MT, USA",,30093.0,MT,Name4722380,True,False,False,A1,High
USA,Large,Transportation,"Silver Bow, MT, USA",,30093.0,MT,Name4722381,True,False,False,Aaa,Medium
USA,Large,Transportation,"Silver Bow, MT, USA",,30093.0,MT,Name4722383,True,False,False,A2,Low
USA,Large,Transportation,"Silver Bow, MT, USA",,30093.0,MT,Name4722385,True,True,False,Baa1,High
USA,Large,Transportation,"Silver Bow, MT, USA",,30093.0,MT,Name4722386,True,False,False,B1,Severe
USA,Large,Transportation,"Silver Bow, MT, USA",,30093.0,MT,Name4722387,True,False,False,Ba1,High
USA,Large,Transportation,"Silver Bow, MT, USA",,30093.0,MT,Name4722388,True,True,False,B1,High
USA,Large,Transportation,"Silver Bow, MT, USA",,30093.0,MT,Name4722389,False,False,True,Aa2,High
USA,Large,Transportation,"Silver Bow, MT, USA",,30093.0,MT,Name4722390,False,True,False,Aa3,High
USA,Large,Transportation,"Silver Bow, MT, USA",,30093.0,MT,Name4722391,False,True,True,Baa2,Medium
USA,Large,Transportation,"Silver Bow, MT, USA",,30093.0,MT,Name4722392,False,False,True,Aa1,High
USA,Large,Transportation,"Silver Bow, MT, USA",,30093.0,MT,Name4722393,True,False,False,Aa2,Severe
USA,Large,Transportation,"Silver Bow, MT, USA",,30093.0,MT,Name4722394,True,False,False,A1,Low
USA,Large,Transportation,"Silver Bow, MT, USA",,30093.0,MT,Name4722395,True,True,False,A3,Severe
USA,Large,Transportation,"Silver Bow, MT, USA",,30093.0,MT,Name4722397,False,True,False,Aa2,High
USA,Large,Transportation,"Silver Bow, MT, USA",,30093.0,MT,Name4722399,True,True,False,Baa3,Severe
USA,Large,Transportation,"Silver Bow, MT, USA",,30093.0,MT,Name4722400,True,True,False,A3,Severe
USA,Large,Consumer_Products,"Silver Bow, MT, USA",,30093.0,MT,Name4722401,False,False,True,B2,High
USA,Large,Consumer_Products,"Silver Bow, MT, USA",,30093.0,MT,Name4722403,False,True,True,Aaa,Severe
USA,Large,Consumer_Products,"Silver Bow, MT, USA",,30093.0,MT,Name4722405,True,False,False,B3,Severe
USA,Large,Consumer_Products,"Silver Bow, MT, USA",,30093.0,MT,Name4722406,True,True,False,Aa1,Low
USA,Large,Consumer_Products,"Silver Bow, MT, USA",,30093.0,MT,Name4722407,False,False,True,B1,High
USA,Large,Consumer_Products,"Silver Bow, MT, USA",,30093.0,MT,Name4722408,False,False,True,A1,High
USA,Large,Consumer_Products,"Silver Bow, MT, USA",,30093.0,MT,Name4722410,True,False,False,Aa3,Low
USA,Large,Consumer_Products,"Silver Bow, MT, USA",,30093.0,MT,Name4722411,True,True,False,Ba2,High
USA,Large,Consumer_Products,"Silver Bow, MT, USA",,30093.0,MT,Name4722412,False,True,True,Ba1,High
USA,Large,Consumer_Products,"Silver Bow, MT, USA",,30093.0,MT,Name4722414,False,False,True,B1,High
USA,Large,Consumer_Products,"Silver Bow, MT, USA",,30093.0,MT,Name4722415,True,False,False,Ba2,Medium
USA,Large,Consumer_Products,"Silver Bow, MT, USA",,30093.0,MT,Name4722416,False,True,True,A2,Medium
USA,Large,Consumer_Products,"Silver Bow, MT, USA",,30093.0,MT,Name4722417,False,True,True,Aa3,High
USA,Large,Consumer_Products,"Silver Bow, MT, USA",,30093.0,MT,Name4722418,True,True,False,A1,Medium
USA,Large,Consumer_Products,"Silver Bow, MT, USA",,30093.0,MT,Name4722419,True,False,False,Aa3,Medium
USA,Large,Consumer_Products,"Silver Bow, MT, USA",,30093.0,MT,Name4722420,True,True,False,Baa1,High
USA,Large,Consumer_Products,"Silver Bow, MT, USA",,30093.0,MT,Name4722421,False,True,False,Caa/C,Low
USA,Large,Consumer_Products,"Silver Bow, MT, USA",,30093.0,MT,Name4722423,True,True,False,B2,Severe
USA,Large,Consumer_Products,"Silver Bow, MT, USA",,30093.0,MT,Name4722424,True,True,False,Aa1,High
USA,Large,Consumer_Products,"Silver Bow, MT, USA",,30093.0,MT,Name4722425,False,False,True,Caa/C,Low
USA,Large,Consumer_Products,"Silver Bow, MT, USA",,30093.0,MT,Name4722426,False,False,True,Baa3,Low
USA,Large,Consumer_Products,"Silver Bow, MT, USA",,30093.0,MT,Name4722427,True,True,False,Aaa,Severe
USA,Large,Unassigned,"Silver Bow, MT, USA",,30093.0,MT,Name4722428,True,True,False,Aa3,Severe
USA,Large,Unassigned,"Silver Bow, MT, USA",,30093.0,MT,Name4722430,True,True,False,Aa3,Severe
USA,Large,Unassigned,"Silver Bow, MT, USA",,30093.0,MT,Name4722431,False,False,True,B3,Medium
USA,Large,Unassigned,"Silver Bow, MT, USA",,30093.0,MT,Name4722432,True,True,False,B3,High
USA,Large,Unassigned,"Silver Bow, MT, USA",,30093.0,MT,Name4722433,True,True,False,A2,Low
USA,Large,Unassigned,"Silver Bow, MT, USA",,30093.0,MT,Name4722434,True,True,False,A1,Medium
USA,Large,Unassigned,"Silver Bow, MT, USA",,30093.0,MT,Name4722436,False,True,False,A2,Medium
USA,Large,Unassigned,"Silver Bow, MT, USA",,30093.0,MT,Name4722437,True,True,False,Aa2,Low
USA,Large,Communication,"Silver Bow, MT, USA",,30093.0,MT,Name4722438,True,False,False,Aa1,High
USA,Large,Communication,"Silver Bow, MT, USA",,30093.0,MT,Name4722439,True,True,False,Ba2,High
USA,Large,Communication,"Silver Bow, MT, USA",,30093.0,MT,Name4722441,True,True,False,B2,Low
USA,Large,Communication,"Silver Bow, MT, USA",,30093.0,MT,Name4722442,True,True,False,Aa2,Medium
USA,Large,Communication,"Silver Bow, MT, USA",,30093.0,MT,Name4722443,True,True,False,Caa/C,Severe
USA,Large,Communication,"Silver Bow, MT, USA",,30093.0,MT,Name4722444,True,True,False,Baa2,Medium
USA,Large,Communication,"Silver Bow, MT, USA",,30093.0,MT,Name4722445,False,True,False,Aaa,Severe
USA,Large,Communication,"Silver Bow, MT, USA",,30093.0,MT,Name4722446,True,False,False,A1,Low
USA,Large,Communication,"Silver Bow, MT, USA",,30093.0,MT,Name4722447,True,False,False,B3,Medium
USA,Large,Communication,"Silver Bow, MT, USA",,30093.0,MT,Name4722448,True,True,False,Ba3,Medium
USA,Large,Communication,"Silver Bow, MT, USA",,30093.0,MT,Name4722449,True,True,False,Aaa,Medium
USA,Large,Communication,"Silver Bow, MT, USA",,30093.0,MT,Name4722450,False,False,True,Ba1,Severe
USA,Large,Communication,"Silver Bow, MT, USA",,30093.0,MT,Name4722451,True,True,False,A3,High
USA,Large,Communication,"Silver Bow, MT, USA",,30093.0,MT,Name4722452,True,True,False,Ba1,Severe
USA,Large,Communication,"Silver Bow, MT, USA",,30093.0,MT,Name4722453,True,False,False,Aaa,Medium
USA,Large,Communication,"Silver Bow, MT, USA",,30093.0,MT,Name4722455,False,False,True,Aaa,Low
USA,Large,Communication,"Silver Bow, MT, USA",,30093.0,MT,Name4722456,False,False,True,B2,Low
USA,Large,Communication,"Silver Bow, MT, USA",,30093.0,MT,Name4722457,True,False,False,B3,High
USA,Large,Communication,"Silver Bow, MT, USA",,30093.0,MT,Name4722458,True,False,False,Baa3,Low
USA,Large,Communication,"Silver Bow, MT, USA",,30093.0,MT,Name4722459,False,False,True,A1,Low
USA,Large,Communication,"Silver Bow, MT, USA",,30093.0,MT,Name4722462,True,True,False,A1,Severe
USA,Large,Communication,"Silver Bow, MT, USA",,30093.0,MT,Name4722463,False,False,True,Aa3,High
USA,Large,Communication,"Silver Bow, MT, USA",,30093.0,MT,Name4722464,False,True,True,Ba2,Medium
USA,Large,Communication,"Silver Bow, MT, USA",,30093.0,MT,Name4722465,True,True,False,A2,Medium
USA,Large,Communication,"Silver Bow, MT, USA",,30093.0,MT,Name4722466,True,False,False,Baa2,Low
USA,Large,Communication,"Silver Bow, MT, USA",,30093.0,MT,Name4722467,False,False,True,Baa2,Low
USA,Large,Communication,"Silver Bow, MT, USA",,30093.0,MT,Name4722468,True,True,False,Baa2,Low
USA,Large,Communication,"Silver Bow, MT, USA",,30093.0,MT,Name4722469,False,True,False,Caa/C,High
USA,Large,Communication,"Silver Bow, MT, USA",,30093.0,MT,Name4722470,True,True,False,A1,Low
USA,Large,Communication,"Silver Bow, MT, USA",,30093.0,MT,Name4722471,True,True,False,B2,Medium
USA,Large,Communication,"Silver Bow, MT, USA",,30093.0,MT,Name4722472,True,False,False,Baa3,High
USA,Large,Communication,"Silver Bow, MT, USA",,30093.0,MT,Name4722473,False,True,True,B3,High
USA,Large,Communication,"Silver Bow, MT, USA",,30093.0,MT,Name4722474,True,True,False,Baa2,Medium
USA,Large,Communication,"Silver Bow, MT, USA",,30093.0,MT,Name4722475,True,False,False,B3,Medium
USA,Large,Communication,"Silver Bow, MT, USA",,30093.0,MT,Name4722476,False,True,False,Caa/C,Medium
USA,Large,Communication,"Silver Bow, MT, USA",,30093.0,MT,Name4722477,False,False,True,A3,High
USA,Large,Communication,"Silver Bow, MT, USA",,30093.0,MT,Name4722478,False,True,True,Ba3,Severe
USA,Large,Communication,"Silver Bow, MT, USA",,30093.0,MT,Name4722479,True,False,False,A2,Medium
USA,Large,Communication,"Silver Bow, MT, USA",,30093.0,MT,Name4722480,True,False,False,Aa3,Medium
USA,Large,Communication,"Silver Bow, MT, USA",,30093.0,MT,Name4722481,True,False,False,Aa2,Low
USA,Large,Trade,"Silver Bow, MT, USA",,30093.0,MT,Name4722482,True,False,False,Ba2,High
USA,Large,Trade,"Silver Bow, MT, USA",,30093.0,MT,Name4722483,True,True,False,Caa/C,Low
USA,Large,Trade,"Silver Bow, MT, USA",,30093.0,MT,Name4722484,True,True,False,Baa1,High
USA,Large,Trade,"Silver Bow, MT, USA",,30093.0,MT,Name4722486,True,True,False,B1,Low
USA,Large,Trade,"Silver Bow, MT, USA",,30093.0,MT,Name4722487,False,False,True,B2,Low
USA,Large,Trade,"Silver Bow, MT, USA",,30093.0,MT,Name4722489,False,True,False,Aa2,Low
USA,Large,Trade,"Silver Bow, MT, USA",,30093.0,MT,Name4722491,True,True,False,Ba2,Severe
USA,Large,Trade,"Silver Bow, MT, USA",,30093.0,MT,Name4722492,False,True,False,Baa3,Low
USA,Large,Trade,"Silver Bow, MT, USA",,30093.0,MT,Name4722493,True,True,False,Ba3,High
USA,Large,Trade,"Silver Bow, MT, USA",,30093.0,MT,Name4722494,False,False,True,Baa3,Severe
USA,Large,Trade,"Silver Bow, MT, USA",,30093.0,MT,Name4722495,True,False,False,Aaa,Medium
USA,Large,Trade,"Silver Bow, MT, USA",,30093.0,MT,Name4722496,True,True,False,B2,Severe
USA,Large,Trade,"Silver Bow, MT, USA",,30093.0,MT,Name4722497,False,True,False,Aa1,High
USA,Large,Trade,"Silver Bow, MT, USA",,30093.0,MT,Name4722498,True,True,False,B1,Low
USA,Large,Trade,"Silver Bow, MT, USA",,30093.0,MT,Name4722499,True,True,False,Caa/C,Medium
USA,Large,Trade,"Silver Bow, MT, USA",,30093.0,MT,Name4722500,True,True,False,A1,Severe
USA,Large,Trade,"Silver Bow, MT, USA",,30093.0,MT,Name4722501,False,True,False,Ba3,Low
USA,Large,Trade,"Silver Bow, MT, USA",,30093.0,MT,Name4722502,True,False,False,Baa1,Low
USA,Large,Trade,"Silver Bow, MT, USA",,30093.0,MT,Name4722503,True,False,False,A2,Severe
USA,Large,Trade,"Silver Bow, MT, USA",,30093.0,MT,Name4722504,True,False,False,A3,Medium
