Country,Size,Sector,Industry,Location,NUTS3_ID,COUNTY_ID,State,Name,Growth,Borrow,Shrink,EWS
USA,Large,Technology,Software,"Barnes, ND, USA",,38003.0,ND,Name13565282,True,True,False,Severe
USA,Large,Technology,Software,"Barnes, ND, USA",,38003.0,ND,Name13565284,True,False,False,Medium
USA,Large,Technology,Software,"Barnes, ND, USA",,38003.0,ND,Name13565285,False,False,True,High
USA,Large,Technology,Software,"Barnes, ND, USA",,38003.0,ND,Name13565286,True,False,False,Severe
USA,Large,Technology,Software,"Barnes, ND, USA",,38003.0,ND,Name13565287,True,False,False,Medium
USA,Large,Technology,Software,"Barnes, ND, USA",,38003.0,ND,Name13565288,False,True,True,High
USA,Large,Technology,Software,"Barnes, ND, USA",,38003.0,ND,Name13565289,False,True,True,Low
USA,Large,Technology,Software,"Barnes, ND, USA",,38003.0,ND,Name13565290,True,False,False,Severe
USA,Large,Technology,Software,"Barnes, ND, USA",,38003.0,ND,Name13565292,False,True,False,Severe
USA,Large,Technology,Software,"Barnes, ND, USA",,38003.0,ND,Name13565293,True,False,False,Medium
USA,Large,Technology,Software,"Barnes, ND, USA",,38003.0,ND,Name13565294,True,True,False,High
USA,Large,Technology,Software,"Barnes, ND, USA",,38003.0,ND,Name13565295,False,True,True,Medium
USA,Large,Technology,Software,"Barnes, ND, USA",,38003.0,ND,Name13565296,True,True,False,Medium
USA,Large,Technology,Software,"Barnes, ND, USA",,38003.0,ND,Name13565297,True,True,False,High
USA,Large,Technology,Software,"Barnes, ND, USA",,38003.0,ND,Name13565299,False,True,True,Severe
USA,Large,Technology,Software,"Barnes, ND, USA",,38003.0,ND,Name13565300,True,True,False,Severe
USA,Large,Technology,Software,"Barnes, ND, USA",,38003.0,ND,Name13565301,True,True,False,Severe
USA,Large,Technology,Software,"Barnes, ND, USA",,38003.0,ND,Name13565303,False,True,False,High
USA,Large,Technology,Software,"Barnes, ND, USA",,38003.0,ND,Name13565304,False,False,True,Medium
USA,Large,Technology,Software,"Barnes, ND, USA",,38003.0,ND,Name13565306,False,True,False,High
USA,Large,Technology,Software,"Barnes, ND, USA",,38003.0,ND,Name13565307,False,True,False,Medium
USA,Large,Technology,Software,"Barnes, ND, USA",,38003.0,ND,Name13565308,True,True,False,Medium
USA,Large,Technology,Software,"Barnes, ND, USA",,38003.0,ND,Name13565309,False,True,True,High
USA,Large,Technology,Hardware,"Barnes, ND, USA",,38003.0,ND,Name13565310,True,False,False,Medium
USA,Large,Technology,Hardware,"Barnes, ND, USA",,38003.0,ND,Name13565311,False,True,True,Medium
USA,Large,Technology,Hardware,"Barnes, ND, USA",,38003.0,ND,Name13565312,False,False,True,Medium
USA,Large,Technology,Hardware,"Barnes, ND, USA",,38003.0,ND,Name13565313,True,True,False,Medium
USA,Large,Technology,Hardware,"Barnes, ND, USA",,38003.0,ND,Name13565315,False,True,False,Medium
USA,Large,Technology,Hardware,"Barnes, ND, USA",,38003.0,ND,Name13565316,True,True,False,Medium
USA,Large,Technology,Hardware,"Barnes, ND, USA",,38003.0,ND,Name13565317,False,False,True,High
USA,Large,Technology,Hardware,"Barnes, ND, USA",,38003.0,ND,Name13565318,True,True,False,Medium
USA,Large,Technology,Hardware,"Barnes, ND, USA",,38003.0,ND,Name13565319,True,True,False,Severe
USA,Large,Technology,Hardware,"Barnes, ND, USA",,38003.0,ND,Name13565320,False,False,True,Low
USA,Large,Technology,Hardware,"Barnes, ND, USA",,38003.0,ND,Name13565321,True,True,False,Low
USA,Large,Technology,Hardware,"Barnes, ND, USA",,38003.0,ND,Name13565322,True,False,False,Severe
USA,Large,Technology,Hardware,"Barnes, ND, USA",,38003.0,ND,Name13565323,True,False,False,High
USA,Large,Technology,Hardware,"Barnes, ND, USA",,38003.0,ND,Name13565324,False,False,True,Severe
USA,Large,Technology,Hardware,"Barnes, ND, USA",,38003.0,ND,Name13565325,False,False,True,High
