Country,Size,Sector,Industry,Location,NUTS3_ID,COUNTY_ID,State,Name,Growth,Borrow,Shrink,EWS
USA,Large,Technology,Software,"Carroll, NH, USA",,33003.0,NH,Name12564093,False,True,False,High
USA,Large,Technology,Software,"Carroll, NH, USA",,33003.0,NH,Name12564094,False,True,True,High
USA,Large,Technology,Software,"Carroll, NH, USA",,33003.0,NH,Name12564095,False,True,True,Medium
USA,Large,Technology,Software,"Carroll, NH, USA",,33003.0,NH,Name12564096,False,False,True,High
USA,Large,Technology,Software,"Carroll, NH, USA",,33003.0,NH,Name12564097,True,True,False,Severe
USA,Large,Technology,Software,"Carroll, NH, USA",,33003.0,NH,Name12564099,True,False,False,High
USA,Large,Technology,Software,"Carroll, NH, USA",,33003.0,NH,Name12564101,True,False,False,Medium
USA,Large,Technology,Software,"Carroll, NH, USA",,33003.0,NH,Name12564102,False,True,False,Low
USA,Large,Technology,Software,"Carroll, NH, USA",,33003.0,NH,Name12564103,False,True,False,Low
USA,Large,Technology,Software,"Carroll, NH, USA",,33003.0,NH,Name12564104,False,False,True,Medium
USA,Large,Technology,Software,"Carroll, NH, USA",,33003.0,NH,Name12564105,False,False,True,High
USA,Large,Technology,Software,"Carroll, NH, USA",,33003.0,NH,Name12564106,True,False,False,High
USA,Large,Technology,Software,"Carroll, NH, USA",,33003.0,NH,Name12564107,True,False,False,Low
USA,Large,Technology,Software,"Carroll, NH, USA",,33003.0,NH,Name12564109,False,True,True,Medium
USA,Large,Technology,Software,"Carroll, NH, USA",,33003.0,NH,Name12564110,True,True,False,High
USA,Large,Technology,Software,"Carroll, NH, USA",,33003.0,NH,Name12564111,True,False,False,Low
USA,Large,Technology,Software,"Carroll, NH, USA",,33003.0,NH,Name12564112,False,True,False,Low
USA,Large,Technology,Software,"Carroll, NH, USA",,33003.0,NH,Name12564114,False,False,True,Medium
USA,Large,Technology,Software,"Carroll, NH, USA",,33003.0,NH,Name12564116,True,False,False,High
USA,Large,Technology,Software,"Carroll, NH, USA",,33003.0,NH,Name12564117,False,True,False,High
USA,Large,Technology,Software,"Carroll, NH, USA",,33003.0,NH,Name12564118,False,False,True,Low
USA,Large,Technology,Software,"Carroll, NH, USA",,33003.0,NH,Name12564119,True,False,False,Severe
