Country,Size,Sector,Industry,Location,NUTS3_ID,COUNTY_ID,State,Name,Growth,Borrow,Shrink,EWS
USA,Large,Technology,Software,"Quay, NM, USA",,35037.0,NM,Name12761165,True,True,False,High
USA,Large,Technology,Software,"Quay, NM, USA",,35037.0,NM,Name12761166,True,True,False,High
USA,Large,Technology,Software,"Quay, NM, USA",,35037.0,NM,Name12761167,True,True,False,High
USA,Large,Technology,Software,"Quay, NM, USA",,35037.0,NM,Name12761168,False,True,True,Low
USA,Large,Technology,Software,"Quay, NM, USA",,35037.0,NM,Name12761169,True,False,False,Severe
USA,Large,Technology,Software,"Quay, NM, USA",,35037.0,NM,Name12761171,False,False,True,Medium
USA,Large,Technology,Software,"Quay, NM, USA",,35037.0,NM,Name12761172,False,True,False,Low
USA,Large,Technology,Software,"Quay, NM, USA",,35037.0,NM,Name12761174,True,True,False,Severe
USA,Large,Technology,Software,"Quay, NM, USA",,35037.0,NM,Name12761175,True,True,False,High
USA,Large,Technology,Software,"Quay, NM, USA",,35037.0,NM,Name12761176,True,False,False,Severe
USA,Large,Technology,Software,"Quay, NM, USA",,35037.0,NM,Name12761177,False,True,False,Severe
USA,Large,Technology,Software,"Quay, NM, USA",,35037.0,NM,Name12761178,True,True,False,Medium
USA,Large,Technology,Software,"Quay, NM, USA",,35037.0,NM,Name12761180,False,True,False,Low
USA,Large,Technology,Software,"Quay, NM, USA",,35037.0,NM,Name12761181,False,True,True,High
USA,Large,Technology,Software,"Quay, NM, USA",,35037.0,NM,Name12761182,True,True,False,Severe
USA,Large,Technology,Software,"Quay, NM, USA",,35037.0,NM,Name12761183,True,False,False,Medium
USA,Large,Technology,Software,"Quay, NM, USA",,35037.0,NM,Name12761184,True,False,False,Low
USA,Large,Technology,Hardware,"Quay, NM, USA",,35037.0,NM,Name12761185,False,True,False,Severe
USA,Large,Technology,Hardware,"Quay, NM, USA",,35037.0,NM,Name12761186,False,False,True,High
USA,Large,Technology,Hardware,"Quay, NM, USA",,35037.0,NM,Name12761187,False,False,True,Low
USA,Large,Technology,Hardware,"Quay, NM, USA",,35037.0,NM,Name12761188,False,True,False,Low
USA,Large,Technology,Hardware,"Quay, NM, USA",,35037.0,NM,Name12761189,False,True,False,High
USA,Large,Technology,Hardware,"Quay, NM, USA",,35037.0,NM,Name12761190,False,False,True,Low
USA,Large,Technology,Hardware,"Quay, NM, USA",,35037.0,NM,Name12761191,False,True,False,Low
USA,Large,Technology,Hardware,"Quay, NM, USA",,35037.0,NM,Name12761192,True,True,False,Severe
USA,Large,Technology,Hardware,"Quay, NM, USA",,35037.0,NM,Name12761193,True,True,False,Low
USA,Large,Technology,Hardware,"Quay, NM, USA",,35037.0,NM,Name12761194,False,True,False,Low
USA,Large,Technology,Hardware,"Quay, NM, USA",,35037.0,NM,Name12761195,True,False,False,Severe
USA,Large,Technology,Hardware,"Quay, NM, USA",,35037.0,NM,Name12761196,True,False,False,Low
USA,Large,Technology,IT Services,"Quay, NM, USA",,35037.0,NM,Name12761197,True,True,False,Severe
USA,Large,Technology,IT Services,"Quay, NM, USA",,35037.0,NM,Name12761198,False,False,True,Medium
USA,Large,Technology,IT Services,"Quay, NM, USA",,35037.0,NM,Name12761199,True,False,False,Low
USA,Large,Technology,IT Services,"Quay, NM, USA",,35037.0,NM,Name12761201,True,True,False,High
USA,Large,Technology,IT Services,"Quay, NM, USA",,35037.0,NM,Name12761202,False,False,True,Severe
USA,Large,Technology,IT Services,"Quay, NM, USA",,35037.0,NM,Name12761204,False,True,False,High
