Country,Size,Sector,Industry,Location,NUTS3_ID,COUNTY_ID,State,Name,Growth,Borrow,Shrink,EWS
USA,Large,Technology,Software,"Mineral, NV, USA",,32021.0,NV,Name12502273,True,True,False,Low
USA,Large,Technology,Software,"Mineral, NV, USA",,32021.0,NV,Name12502274,False,True,False,Severe
USA,Large,Technology,Software,"Mineral, NV, USA",,32021.0,NV,Name12502275,True,True,False,High
USA,Large,Technology,Software,"Mineral, NV, USA",,32021.0,NV,Name12502276,False,True,True,Low
USA,Large,Technology,Software,"Mineral, NV, USA",,32021.0,NV,Name12502277,False,True,True,Medium
USA,Large,Technology,Software,"Mineral, NV, USA",,32021.0,NV,Name12502278,True,True,False,Severe
USA,Large,Technology,Software,"Mineral, NV, USA",,32021.0,NV,Name12502279,True,False,False,Severe
USA,Large,Technology,Software,"Mineral, NV, USA",,32021.0,NV,Name12502280,True,True,False,Low
USA,Large,Technology,Software,"Mineral, NV, USA",,32021.0,NV,Name12502281,False,True,False,Medium
USA,Large,Technology,Software,"Mineral, NV, USA",,32021.0,NV,Name12502283,False,True,False,High
USA,Large,Technology,Software,"Mineral, NV, USA",,32021.0,NV,Name12502284,False,False,True,Low
USA,Large,Technology,Software,"Mineral, NV, USA",,32021.0,NV,Name12502285,True,True,False,High
USA,Large,Technology,Software,"Mineral, NV, USA",,32021.0,NV,Name12502286,False,True,True,Medium
USA,Large,Technology,Software,"Mineral, NV, USA",,32021.0,NV,Name12502287,True,True,False,High
USA,Large,Technology,Software,"Mineral, NV, USA",,32021.0,NV,Name12502288,True,True,False,High
USA,Large,Technology,Software,"Mineral, NV, USA",,32021.0,NV,Name12502289,False,True,False,High
USA,Large,Technology,Software,"Mineral, NV, USA",,32021.0,NV,Name12502290,False,False,True,Low
USA,Large,Technology,Software,"Mineral, NV, USA",,32021.0,NV,Name12502291,False,True,True,Low
USA,Large,Technology,Software,"Mineral, NV, USA",,32021.0,NV,Name12502292,True,True,False,Severe
USA,Large,Technology,Software,"Mineral, NV, USA",,32021.0,NV,Name12502293,False,True,True,Medium
USA,Large,Technology,Software,"Mineral, NV, USA",,32021.0,NV,Name12502294,True,True,False,High
USA,Large,Technology,Software,"Mineral, NV, USA",,32021.0,NV,Name12502295,True,False,False,High
USA,Large,Technology,Software,"Mineral, NV, USA",,32021.0,NV,Name12502296,False,True,True,Low
USA,Large,Technology,Software,"Mineral, NV, USA",,32021.0,NV,Name12502297,False,False,True,High
USA,Large,Technology,Software,"Mineral, NV, USA",,32021.0,NV,Name12502298,True,False,False,Low
USA,Large,Technology,Software,"Mineral, NV, USA",,32021.0,NV,Name12502299,True,False,False,High
USA,Large,Technology,Software,"Mineral, NV, USA",,32021.0,NV,Name12502300,True,True,False,Low
USA,Large,Technology,Software,"Mineral, NV, USA",,32021.0,NV,Name12502301,False,True,False,Low
USA,Large,Technology,Software,"Mineral, NV, USA",,32021.0,NV,Name12502302,False,False,True,Severe
USA,Large,Technology,Software,"Mineral, NV, USA",,32021.0,NV,Name12502303,True,False,False,High
USA,Large,Technology,Hardware,"Mineral, NV, USA",,32021.0,NV,Name12502304,True,False,False,High
USA,Large,Technology,Hardware,"Mineral, NV, USA",,32021.0,NV,Name12502305,True,False,False,Medium
USA,Large,Technology,Hardware,"Mineral, NV, USA",,32021.0,NV,Name12502307,True,True,False,Medium
USA,Large,Technology,Hardware,"Mineral, NV, USA",,32021.0,NV,Name12502308,True,True,False,High
USA,Large,Technology,Hardware,"Mineral, NV, USA",,32021.0,NV,Name12502309,True,False,False,Medium
USA,Large,Technology,Hardware,"Mineral, NV, USA",,32021.0,NV,Name12502310,False,False,True,Severe
USA,Large,Technology,Hardware,"Mineral, NV, USA",,32021.0,NV,Name12502311,True,True,False,Severe
USA,Large,Technology,Hardware,"Mineral, NV, USA",,32021.0,NV,Name12502312,False,False,True,Severe
USA,Large,Technology,Hardware,"Mineral, NV, USA",,32021.0,NV,Name12502314,False,False,True,Medium
USA,Large,Technology,Hardware,"Mineral, NV, USA",,32021.0,NV,Name12502316,True,True,False,High
USA,Large,Technology,Hardware,"Mineral, NV, USA",,32021.0,NV,Name12502317,True,False,False,High
USA,Large,Technology,Hardware,"Mineral, NV, USA",,32021.0,NV,Name12502318,True,True,False,Medium
USA,Large,Technology,Hardware,"Mineral, NV, USA",,32021.0,NV,Name12502320,True,True,False,Medium
USA,Large,Technology,IT Services,"Mineral, NV, USA",,32021.0,NV,Name12502321,True,True,False,High
USA,Large,Technology,IT Services,"Mineral, NV, USA",,32021.0,NV,Name12502322,True,True,False,High
USA,Large,Technology,IT Services,"Mineral, NV, USA",,32021.0,NV,Name12502325,False,True,True,Medium
USA,Large,Technology,IT Services,"Mineral, NV, USA",,32021.0,NV,Name12502326,True,False,False,Medium
USA,Large,Technology,IT Services,"Mineral, NV, USA",,32021.0,NV,Name12502327,False,False,True,Low
