Country,Size,Sector,Industry,Location,NUTS3_ID,COUNTY_ID,State,Name,Growth,Borrow,Shrink,EWS
USA,Large,Technology,Software,"Logan, OH, USA",,39091.0,OH,Name13903326,True,True,False,Severe
USA,Large,Technology,Software,"Logan, OH, USA",,39091.0,OH,Name13903327,True,False,False,Severe
USA,Large,Technology,Software,"Logan, OH, USA",,39091.0,OH,Name13903328,False,False,True,Severe
USA,Large,Technology,Software,"Logan, OH, USA",,39091.0,OH,Name13903330,True,False,False,Severe
USA,Large,Technology,Software,"Logan, OH, USA",,39091.0,OH,Name13903331,True,True,False,Low
USA,Large,Technology,Software,"Logan, OH, USA",,39091.0,OH,Name13903332,True,True,False,High
USA,Large,Technology,Software,"Logan, OH, USA",,39091.0,OH,Name13903334,False,True,True,Severe
USA,Large,Technology,Software,"Logan, OH, USA",,39091.0,OH,Name13903335,False,False,True,High
USA,Large,Technology,Software,"Logan, OH, USA",,39091.0,OH,Name13903336,False,True,False,High
USA,Large,Technology,Software,"Logan, OH, USA",,39091.0,OH,Name13903337,False,True,False,Low
USA,Large,Technology,Software,"Logan, OH, USA",,39091.0,OH,Name13903338,False,True,True,Low
USA,Large,Technology,Software,"Logan, OH, USA",,39091.0,OH,Name13903339,True,True,False,High
USA,Large,Technology,Software,"Logan, OH, USA",,39091.0,OH,Name13903340,False,True,False,Medium
USA,Large,Technology,Software,"Logan, OH, USA",,39091.0,OH,Name13903341,True,False,False,Medium
USA,Large,Technology,Software,"Logan, OH, USA",,39091.0,OH,Name13903342,False,True,True,Medium
USA,Large,Technology,Software,"Logan, OH, USA",,39091.0,OH,Name13903343,False,True,True,Low
USA,Large,Technology,Software,"Logan, OH, USA",,39091.0,OH,Name13903344,False,False,True,Low
USA,Large,Technology,Software,"Logan, OH, USA",,39091.0,OH,Name13903345,False,True,False,Medium
USA,Large,Technology,Software,"Logan, OH, USA",,39091.0,OH,Name13903346,False,True,False,High
USA,Large,Technology,Software,"Logan, OH, USA",,39091.0,OH,Name13903347,True,False,False,Low
USA,Large,Technology,Software,"Logan, OH, USA",,39091.0,OH,Name13903348,False,False,True,Severe
USA,Large,Technology,Software,"Logan, OH, USA",,39091.0,OH,Name13903349,True,True,False,Severe
USA,Large,Technology,Software,"Logan, OH, USA",,39091.0,OH,Name13903350,False,False,True,Medium
USA,Large,Technology,Hardware,"Logan, OH, USA",,39091.0,OH,Name13903351,True,True,False,High
USA,Large,Technology,Hardware,"Logan, OH, USA",,39091.0,OH,Name13903352,False,False,True,Severe
USA,Large,Technology,Hardware,"Logan, OH, USA",,39091.0,OH,Name13903353,True,False,False,Low
USA,Large,Technology,Hardware,"Logan, OH, USA",,39091.0,OH,Name13903354,True,False,False,Severe
USA,Large,Technology,Hardware,"Logan, OH, USA",,39091.0,OH,Name13903356,True,True,False,Medium
USA,Large,Technology,Hardware,"Logan, OH, USA",,39091.0,OH,Name13903357,True,False,False,Severe
USA,Large,Technology,Hardware,"Logan, OH, USA",,39091.0,OH,Name13903358,True,False,False,Low
USA,Large,Technology,Hardware,"Logan, OH, USA",,39091.0,OH,Name13903359,True,False,False,Severe
USA,Large,Technology,Hardware,"Logan, OH, USA",,39091.0,OH,Name13903360,False,True,False,Low
USA,Large,Technology,Hardware,"Logan, OH, USA",,39091.0,OH,Name13903361,True,False,False,Low
USA,Large,Technology,Hardware,"Logan, OH, USA",,39091.0,OH,Name13903362,False,True,False,Severe
USA,Large,Technology,Hardware,"Logan, OH, USA",,39091.0,OH,Name13903363,True,True,False,High
USA,Large,Technology,Hardware,"Logan, OH, USA",,39091.0,OH,Name13903364,True,True,False,Medium
