Country,Size,Sector,Industry,Location,NUTS3_ID,COUNTY_ID,State,Name,Growth,Borrow,Shrink,EWS
USA,Large,Technology,Software,"Stanley, SD, USA",,46117.0,SD,Name15024930,True,False,False,Medium
USA,Large,Technology,Software,"Stanley, SD, USA",,46117.0,SD,Name15024931,True,False,False,Low
USA,Large,Technology,Software,"Stanley, SD, USA",,46117.0,SD,Name15024932,True,True,False,Low
USA,Large,Technology,Software,"Stanley, SD, USA",,46117.0,SD,Name15024933,True,True,False,Low
USA,Large,Technology,Software,"Stanley, SD, USA",,46117.0,SD,Name15024934,True,False,False,High
USA,Large,Technology,Hardware,"Stanley, SD, USA",,46117.0,SD,Name15024935,True,True,False,Medium
USA,Large,Technology,Hardware,"Stanley, SD, USA",,46117.0,SD,Name15024936,False,False,True,Severe
USA,Large,Technology,Hardware,"Stanley, SD, USA",,46117.0,SD,Name15024938,False,True,True,Medium
USA,Large,Technology,Hardware,"Stanley, SD, USA",,46117.0,SD,Name15024939,True,True,False,Medium
USA,Large,Technology,Hardware,"Stanley, SD, USA",,46117.0,SD,Name15024940,True,True,False,High
USA,Large,Technology,Hardware,"Stanley, SD, USA",,46117.0,SD,Name15024941,False,True,False,High
USA,Large,Technology,Hardware,"Stanley, SD, USA",,46117.0,SD,Name15024942,True,True,False,Low
USA,Large,Technology,Hardware,"Stanley, SD, USA",,46117.0,SD,Name15024943,True,True,False,Low
USA,Large,Technology,Hardware,"Stanley, SD, USA",,46117.0,SD,Name15024944,True,True,False,Severe
USA,Large,Technology,Hardware,"Stanley, SD, USA",,46117.0,SD,Name15024945,False,True,True,Severe
USA,Large,Technology,Hardware,"Stanley, SD, USA",,46117.0,SD,Name15024946,True,False,False,High
USA,Large,Technology,Hardware,"Stanley, SD, USA",,46117.0,SD,Name15024947,False,True,True,Medium
USA,Large,Technology,Hardware,"Stanley, SD, USA",,46117.0,SD,Name15024948,True,False,False,Low
USA,Large,Technology,Hardware,"Stanley, SD, USA",,46117.0,SD,Name15024949,True,True,False,Low
USA,Large,Technology,Hardware,"Stanley, SD, USA",,46117.0,SD,Name15024950,False,True,True,Medium
USA,Large,Technology,Hardware,"Stanley, SD, USA",,46117.0,SD,Name15024951,False,True,True,Low
USA,Large,Technology,Hardware,"Stanley, SD, USA",,46117.0,SD,Name15024953,False,True,True,Severe
USA,Large,Technology,Hardware,"Stanley, SD, USA",,46117.0,SD,Name15024954,False,False,True,Low
USA,Large,Technology,Hardware,"Stanley, SD, USA",,46117.0,SD,Name15024955,True,False,False,Severe
USA,Large,Technology,Hardware,"Stanley, SD, USA",,46117.0,SD,Name15024956,True,False,False,High
USA,Large,Technology,Hardware,"Stanley, SD, USA",,46117.0,SD,Name15024957,True,True,False,Low
USA,Large,Technology,Hardware,"Stanley, SD, USA",,46117.0,SD,Name15024959,True,True,False,Medium
USA,Large,Technology,Hardware,"Stanley, SD, USA",,46117.0,SD,Name15024960,True,True,False,Severe
USA,Large,Technology,Hardware,"Stanley, SD, USA",,46117.0,SD,Name15024961,True,False,False,High
USA,Large,Technology,Hardware,"Stanley, SD, USA",,46117.0,SD,Name15024962,False,False,True,Low
USA,Large,Technology,Hardware,"Stanley, SD, USA",,46117.0,SD,Name15024963,False,True,False,Medium
USA,Large,Technology,IT Services,"Stanley, SD, USA",,46117.0,SD,Name15024964,True,True,False,High
USA,Large,Technology,IT Services,"Stanley, SD, USA",,46117.0,SD,Name15024965,True,True,False,Severe
USA,Large,Technology,IT Services,"Stanley, SD, USA",,46117.0,SD,Name15024966,True,False,False,Medium
USA,Large,Technology,IT Services,"Stanley, SD, USA",,46117.0,SD,Name15024967,True,True,False,Severe
USA,Large,Technology,IT Services,"Stanley, SD, USA",,46117.0,SD,Name15024968,True,False,False,Severe
USA,Large,Technology,IT Services,"Stanley, SD, USA",,46117.0,SD,Name15024969,False,True,False,High
USA,Large,Technology,IT Services,"Stanley, SD, USA",,46117.0,SD,Name15024970,False,False,True,Severe
USA,Large,Technology,IT Services,"Stanley, SD, USA",,46117.0,SD,Name15024972,True,True,False,Low
USA,Large,Technology,IT Services,"Stanley, SD, USA",,46117.0,SD,Name15024973,True,False,False,High
USA,Large,Healthcare,Pharmaceuticals,"Stanley, SD, USA",,46117.0,SD,Name15024975,True,False,False,Low
USA,Large,Healthcare,Pharmaceuticals,"Stanley, SD, USA",,46117.0,SD,Name15024976,False,True,False,Severe
USA,Large,Healthcare,Pharmaceuticals,"Stanley, SD, USA",,46117.0,SD,Name15024977,True,False,False,Medium
USA,Large,Healthcare,Pharmaceuticals,"Stanley, SD, USA",,46117.0,SD,Name15024978,True,True,False,Medium
USA,Large,Healthcare,Pharmaceuticals,"Stanley, SD, USA",,46117.0,SD,Name15024979,True,False,False,High
USA,Large,Healthcare,Pharmaceuticals,"Stanley, SD, USA",,46117.0,SD,Name15024980,True,True,False,Medium
USA,Large,Healthcare,Pharmaceuticals,"Stanley, SD, USA",,46117.0,SD,Name15024981,True,True,False,Severe
USA,Large,Healthcare,Pharmaceuticals,"Stanley, SD, USA",,46117.0,SD,Name15024982,True,False,False,Medium
USA,Large,Healthcare,Pharmaceuticals,"Stanley, SD, USA",,46117.0,SD,Name15024983,True,True,False,Severe
USA,Large,Healthcare,Pharmaceuticals,"Stanley, SD, USA",,46117.0,SD,Name15024984,False,True,False,Severe
USA,Large,Healthcare,Pharmaceuticals,"Stanley, SD, USA",,46117.0,SD,Name15024985,True,False,False,Medium
USA,Large,Healthcare,Pharmaceuticals,"Stanley, SD, USA",,46117.0,SD,Name15024986,True,True,False,High
USA,Large,Healthcare,Pharmaceuticals,"Stanley, SD, USA",,46117.0,SD,Name15024987,False,True,True,Medium
USA,Large,Healthcare,Pharmaceuticals,"Stanley, SD, USA",,46117.0,SD,Name15024988,False,True,True,Severe
USA,Large,Healthcare,Pharmaceuticals,"Stanley, SD, USA",,46117.0,SD,Name15024989,False,False,True,Low
USA,Large,Healthcare,Pharmaceuticals,"Stanley, SD, USA",,46117.0,SD,Name15024990,True,True,False,Low
USA,Large,Healthcare,Pharmaceuticals,"Stanley, SD, USA",,46117.0,SD,Name15024991,False,False,True,Severe
USA,Large,Healthcare,Pharmaceuticals,"Stanley, SD, USA",,46117.0,SD,Name15024992,True,False,False,High
USA,Large,Healthcare,Pharmaceuticals,"Stanley, SD, USA",,46117.0,SD,Name15024993,False,True,False,Severe
USA,Large,Healthcare,Pharmaceuticals,"Stanley, SD, USA",,46117.0,SD,Name15024994,True,True,False,Low
USA,Large,Healthcare,Pharmaceuticals,"Stanley, SD, USA",,46117.0,SD,Name15024995,False,True,False,High
USA,Large,Healthcare,Pharmaceuticals,"Stanley, SD, USA",,46117.0,SD,Name15024996,True,False,False,Severe
USA,Large,Healthcare,Pharmaceuticals,"Stanley, SD, USA",,46117.0,SD,Name15024997,True,True,False,Severe
USA,Large,Healthcare,Pharmaceuticals,"Stanley, SD, USA",,46117.0,SD,Name15024998,True,True,False,Low
USA,Large,Healthcare,Pharmaceuticals,"Stanley, SD, USA",,46117.0,SD,Name15024999,True,True,False,Medium
USA,Large,Healthcare,Pharmaceuticals,"Stanley, SD, USA",,46117.0,SD,Name15025000,False,True,True,High
USA,Large,Healthcare,Pharmaceuticals,"Stanley, SD, USA",,46117.0,SD,Name15025001,False,False,True,Medium
USA,Large,Healthcare,Pharmaceuticals,"Stanley, SD, USA",,46117.0,SD,Name15025002,False,True,False,Low
USA,Large,Healthcare,Pharmaceuticals,"Stanley, SD, USA",,46117.0,SD,Name15025003,False,False,True,Low
USA,Large,Healthcare,Pharmaceuticals,"Stanley, SD, USA",,46117.0,SD,Name15025004,True,True,False,Severe
USA,Large,Healthcare,Pharmaceuticals,"Stanley, SD, USA",,46117.0,SD,Name15025005,False,False,True,Medium
USA,Large,Healthcare,Pharmaceuticals,"Stanley, SD, USA",,46117.0,SD,Name15025006,True,True,False,Severe
USA,Large,Healthcare,Pharmaceuticals,"Stanley, SD, USA",,46117.0,SD,Name15025007,False,False,True,High
USA,Large,Healthcare,Pharmaceuticals,"Stanley, SD, USA",,46117.0,SD,Name15025008,False,True,False,High
USA,Large,Healthcare,Pharmaceuticals,"Stanley, SD, USA",,46117.0,SD,Name15025009,True,False,False,High
USA,Large,Healthcare,Pharmaceuticals,"Stanley, SD, USA",,46117.0,SD,Name15025010,True,False,False,Low
USA,Large,Healthcare,Pharmaceuticals,"Stanley, SD, USA",,46117.0,SD,Name15025011,False,False,True,Medium
USA,Large,Healthcare,Pharmaceuticals,"Stanley, SD, USA",,46117.0,SD,Name15025012,True,True,False,Low
USA,Large,Healthcare,Pharmaceuticals,"Stanley, SD, USA",,46117.0,SD,Name15025013,False,True,True,High
USA,Large,Healthcare,Pharmaceuticals,"Stanley, SD, USA",,46117.0,SD,Name15025014,False,True,True,Medium
USA,Large,Healthcare,Pharmaceuticals,"Stanley, SD, USA",,46117.0,SD,Name15025015,False,False,True,Medium
USA,Large,Healthcare,Medical Devices,"Stanley, SD, USA",,46117.0,SD,Name15025016,False,True,False,Low
USA,Large,Healthcare,Medical Devices,"Stanley, SD, USA",,46117.0,SD,Name15025017,True,True,False,Low
USA,Large,Healthcare,Medical Devices,"Stanley, SD, USA",,46117.0,SD,Name15025018,True,True,False,Low
USA,Large,Healthcare,Medical Devices,"Stanley, SD, USA",,46117.0,SD,Name15025019,True,True,False,High
USA,Large,Healthcare,Medical Devices,"Stanley, SD, USA",,46117.0,SD,Name15025020,False,True,True,Medium
USA,Large,Healthcare,Medical Devices,"Stanley, SD, USA",,46117.0,SD,Name15025021,True,True,False,High
USA,Large,Healthcare,Medical Devices,"Stanley, SD, USA",,46117.0,SD,Name15025023,True,False,False,Severe
USA,Large,Healthcare,Medical Devices,"Stanley, SD, USA",,46117.0,SD,Name15025024,False,True,True,High
USA,Large,Healthcare,Medical Devices,"Stanley, SD, USA",,46117.0,SD,Name15025025,False,True,False,Low
USA,Large,Healthcare,Medical Devices,"Stanley, SD, USA",,46117.0,SD,Name15025026,True,True,False,Severe
USA,Large,Healthcare,Medical Devices,"Stanley, SD, USA",,46117.0,SD,Name15025027,True,False,False,Low
USA,Large,Healthcare,Medical Devices,"Stanley, SD, USA",,46117.0,SD,Name15025029,False,True,False,Low
USA,Large,Healthcare,Medical Devices,"Stanley, SD, USA",,46117.0,SD,Name15025030,True,True,False,Low
USA,Large,Healthcare,Medical Devices,"Stanley, SD, USA",,46117.0,SD,Name15025031,True,True,False,Severe
USA,Large,Healthcare,Medical Devices,"Stanley, SD, USA",,46117.0,SD,Name15025032,False,True,False,Medium
USA,Large,Healthcare,Medical Devices,"Stanley, SD, USA",,46117.0,SD,Name15025033,True,True,False,High
USA,Large,Healthcare,Medical Devices,"Stanley, SD, USA",,46117.0,SD,Name15025034,True,True,False,High
USA,Large,Healthcare,Medical Devices,"Stanley, SD, USA",,46117.0,SD,Name15025035,True,False,False,High
USA,Large,Healthcare,Medical Devices,"Stanley, SD, USA",,46117.0,SD,Name15025036,True,True,False,Low
USA,Large,Healthcare,Medical Devices,"Stanley, SD, USA",,46117.0,SD,Name15025037,False,False,True,Medium
USA,Large,Healthcare,Medical Devices,"Stanley, SD, USA",,46117.0,SD,Name15025038,False,True,True,Medium
USA,Large,Healthcare,Medical Devices,"Stanley, SD, USA",,46117.0,SD,Name15025039,True,False,False,High
USA,Large,Healthcare,Medical Devices,"Stanley, SD, USA",,46117.0,SD,Name15025040,False,True,False,High
USA,Large,Healthcare,Medical Devices,"Stanley, SD, USA",,46117.0,SD,Name15025042,True,False,False,Medium
USA,Large,Healthcare,Medical Devices,"Stanley, SD, USA",,46117.0,SD,Name15025043,True,False,False,Low
USA,Large,Healthcare,Medical Devices,"Stanley, SD, USA",,46117.0,SD,Name15025044,False,False,True,Severe
USA,Large,Healthcare,Medical Devices,"Stanley, SD, USA",,46117.0,SD,Name15025045,True,False,False,Medium
USA,Large,Healthcare,Medical Devices,"Stanley, SD, USA",,46117.0,SD,Name15025046,True,True,False,Low
USA,Large,Healthcare,Medical Devices,"Stanley, SD, USA",,46117.0,SD,Name15025047,True,True,False,Medium
USA,Large,Healthcare,Medical Devices,"Stanley, SD, USA",,46117.0,SD,Name15025049,False,True,False,Medium
