Country,Size,Sector,Industry,Location,NUTS3_ID,COUNTY_ID,State,Name,Growth,Borrow,Shrink,EWS
USA,Large,Technology,Software,"Big Horn, WY, USA",,56003.0,WY,Name17851221,True,False,False,High
USA,Large,Technology,Software,"Big Horn, WY, USA",,56003.0,WY,Name17851222,True,False,False,Medium
USA,Large,Technology,Software,"Big Horn, WY, USA",,56003.0,WY,Name17851223,False,True,False,Low
USA,Large,Technology,Software,"Big Horn, WY, USA",,56003.0,WY,Name17851224,True,False,False,Medium
USA,Large,Technology,Software,"Big Horn, WY, USA",,56003.0,WY,Name17851225,False,True,True,Low
USA,Large,Technology,Software,"Big Horn, WY, USA",,56003.0,WY,Name17851226,True,False,False,Medium
USA,Large,Technology,Software,"Big Horn, WY, USA",,56003.0,WY,Name17851227,True,False,False,High
USA,Large,Technology,Software,"Big Horn, WY, USA",,56003.0,WY,Name17851229,True,True,False,Severe
USA,Large,Technology,Software,"Big Horn, WY, USA",,56003.0,WY,Name17851230,True,True,False,High
USA,Large,Technology,Software,"Big Horn, WY, USA",,56003.0,WY,Name17851232,True,False,False,Severe
USA,Large,Technology,Software,"Big Horn, WY, USA",,56003.0,WY,Name17851233,True,True,False,Medium
USA,Large,Technology,Software,"Big Horn, WY, USA",,56003.0,WY,Name17851234,False,False,True,Severe
USA,Large,Technology,Software,"Big Horn, WY, USA",,56003.0,WY,Name17851235,True,False,False,Low
USA,Large,Technology,Software,"Big Horn, WY, USA",,56003.0,WY,Name17851236,True,True,False,Severe
USA,Large,Technology,Software,"Big Horn, WY, USA",,56003.0,WY,Name17851238,True,True,False,Low
USA,Large,Technology,Software,"Big Horn, WY, USA",,56003.0,WY,Name17851239,True,False,False,High
USA,Large,Technology,Software,"Big Horn, WY, USA",,56003.0,WY,Name17851241,False,True,False,High
USA,Large,Technology,Software,"Big Horn, WY, USA",,56003.0,WY,Name17851243,False,False,True,High
USA,Large,Technology,Software,"Big Horn, WY, USA",,56003.0,WY,Name17851244,False,True,False,Medium
USA,Large,Technology,Software,"Big Horn, WY, USA",,56003.0,WY,Name17851245,True,False,False,High
USA,Large,Technology,Software,"Big Horn, WY, USA",,56003.0,WY,Name17851246,False,False,True,Severe
USA,Large,Technology,Software,"Big Horn, WY, USA",,56003.0,WY,Name17851247,True,True,False,Medium
USA,Large,Technology,Software,"Big Horn, WY, USA",,56003.0,WY,Name17851248,True,True,False,Low
USA,Large,Technology,Software,"Big Horn, WY, USA",,56003.0,WY,Name17851249,False,True,True,High
USA,Large,Technology,Software,"Big Horn, WY, USA",,56003.0,WY,Name17851250,False,True,True,Severe
USA,Large,Technology,Hardware,"Big Horn, WY, USA",,56003.0,WY,Name17851251,True,True,False,Medium
USA,Large,Technology,Hardware,"Big Horn, WY, USA",,56003.0,WY,Name17851253,False,False,True,Low
USA,Large,Technology,Hardware,"Big Horn, WY, USA",,56003.0,WY,Name17851254,False,True,True,Severe
USA,Large,Technology,Hardware,"Big Horn, WY, USA",,56003.0,WY,Name17851255,False,True,False,High
USA,Large,Technology,Hardware,"Big Horn, WY, USA",,56003.0,WY,Name17851256,False,True,False,Severe
USA,Large,Technology,Hardware,"Big Horn, WY, USA",,56003.0,WY,Name17851257,False,True,False,Severe
USA,Large,Technology,Hardware,"Big Horn, WY, USA",,56003.0,WY,Name17851258,True,False,False,High
USA,Large,Technology,Hardware,"Big Horn, WY, USA",,56003.0,WY,Name17851259,True,True,False,Severe
USA,Large,Technology,Hardware,"Big Horn, WY, USA",,56003.0,WY,Name17851261,True,True,False,Low
USA,Large,Technology,Hardware,"Big Horn, WY, USA",,56003.0,WY,Name17851262,True,True,False,Severe
USA,Large,Technology,Hardware,"Big Horn, WY, USA",,56003.0,WY,Name17851263,True,True,False,High
USA,Large,Technology,Hardware,"Big Horn, WY, USA",,56003.0,WY,Name17851264,False,True,False,Medium
USA,Large,Technology,Hardware,"Big Horn, WY, USA",,56003.0,WY,Name17851265,False,True,False,High
USA,Large,Technology,Hardware,"Big Horn, WY, USA",,56003.0,WY,Name17851266,True,False,False,Severe
USA,Large,Technology,Hardware,"Big Horn, WY, USA",,56003.0,WY,Name17851267,False,False,True,Medium
USA,Large,Technology,Hardware,"Big Horn, WY, USA",,56003.0,WY,Name17851268,False,True,False,Severe
USA,Large,Technology,Hardware,"Big Horn, WY, USA",,56003.0,WY,Name17851269,False,False,True,Medium
USA,Large,Technology,Hardware,"Big Horn, WY, USA",,56003.0,WY,Name17851270,True,True,False,Low
USA,Large,Technology,Hardware,"Big Horn, WY, USA",,56003.0,WY,Name17851271,True,True,False,Low
USA,Large,Technology,Hardware,"Big Horn, WY, USA",,56003.0,WY,Name17851272,False,True,False,Low
USA,Large,Technology,Hardware,"Big Horn, WY, USA",,56003.0,WY,Name17851273,True,True,False,High
USA,Large,Technology,Hardware,"Big Horn, WY, USA",,56003.0,WY,Name17851274,True,True,False,Medium
USA,Large,Technology,Hardware,"Big Horn, WY, USA",,56003.0,WY,Name17851275,True,False,False,Medium
USA,Large,Technology,Hardware,"Big Horn, WY, USA",,56003.0,WY,Name17851276,True,False,False,High
USA,Large,Technology,Hardware,"Big Horn, WY, USA",,56003.0,WY,Name17851278,False,True,False,Medium
USA,Large,Technology,Hardware,"Big Horn, WY, USA",,56003.0,WY,Name17851279,True,False,False,Severe
USA,Large,Technology,Hardware,"Big Horn, WY, USA",,56003.0,WY,Name17851280,True,False,False,Severe
USA,Large,Technology,Hardware,"Big Horn, WY, USA",,56003.0,WY,Name17851281,True,True,False,Low
USA,Large,Technology,Hardware,"Big Horn, WY, USA",,56003.0,WY,Name17851282,True,False,False,Low
USA,Large,Technology,Hardware,"Big Horn, WY, USA",,56003.0,WY,Name17851283,True,False,False,High
USA,Large,Technology,Hardware,"Big Horn, WY, USA",,56003.0,WY,Name17851284,True,False,False,Medium
USA,Large,Technology,Hardware,"Big Horn, WY, USA",,56003.0,WY,Name17851286,False,False,True,Medium
USA,Large,Technology,Hardware,"Big Horn, WY, USA",,56003.0,WY,Name17851287,True,True,False,Low
USA,Large,Technology,Hardware,"Big Horn, WY, USA",,56003.0,WY,Name17851288,True,True,False,Severe
USA,Large,Technology,IT Services,"Big Horn, WY, USA",,56003.0,WY,Name17851290,True,True,False,Medium
USA,Large,Technology,IT Services,"Big Horn, WY, USA",,56003.0,WY,Name17851292,False,False,True,Severe
USA,Large,Technology,IT Services,"Big Horn, WY, USA",,56003.0,WY,Name17851294,False,True,False,Low
USA,Large,Technology,IT Services,"Big Horn, WY, USA",,56003.0,WY,Name17851295,False,False,True,High
USA,Large,Technology,IT Services,"Big Horn, WY, USA",,56003.0,WY,Name17851296,True,True,False,Low
USA,Large,Technology,IT Services,"Big Horn, WY, USA",,56003.0,WY,Name17851297,True,True,False,Low
USA,Large,Technology,IT Services,"Big Horn, WY, USA",,56003.0,WY,Name17851298,False,False,True,Low
USA,Large,Technology,IT Services,"Big Horn, WY, USA",,56003.0,WY,Name17851300,True,False,False,Low
USA,Large,Technology,IT Services,"Big Horn, WY, USA",,56003.0,WY,Name17851301,False,False,True,Severe
USA,Large,Technology,IT Services,"Big Horn, WY, USA",,56003.0,WY,Name17851302,True,False,False,Severe
USA,Large,Technology,IT Services,"Big Horn, WY, USA",,56003.0,WY,Name17851303,True,False,False,High
USA,Large,Technology,IT Services,"Big Horn, WY, USA",,56003.0,WY,Name17851304,False,True,True,Medium
USA,Large,Technology,IT Services,"Big Horn, WY, USA",,56003.0,WY,Name17851305,True,False,False,Severe
USA,Large,Technology,IT Services,"Big Horn, WY, USA",,56003.0,WY,Name17851306,True,False,False,Medium
USA,Large,Technology,IT Services,"Big Horn, WY, USA",,56003.0,WY,Name17851310,True,False,False,Severe
USA,Large,Technology,IT Services,"Big Horn, WY, USA",,56003.0,WY,Name17851311,False,True,False,High
USA,Large,Technology,IT Services,"Big Horn, WY, USA",,56003.0,WY,Name17851312,True,False,False,Low
USA,Large,Technology,IT Services,"Big Horn, WY, USA",,56003.0,WY,Name17851313,True,False,False,Severe
USA,Large,Technology,IT Services,"Big Horn, WY, USA",,56003.0,WY,Name17851314,True,False,False,Medium
USA,Large,Technology,IT Services,"Big Horn, WY, USA",,56003.0,WY,Name17851315,False,True,False,Low
USA,Large,Technology,IT Services,"Big Horn, WY, USA",,56003.0,WY,Name17851316,False,True,False,Medium
USA,Large,Healthcare,Pharmaceuticals,"Big Horn, WY, USA",,56003.0,WY,Name17851317,True,True,False,Severe
USA,Large,Healthcare,Pharmaceuticals,"Big Horn, WY, USA",,56003.0,WY,Name17851318,True,True,False,Severe
USA,Large,Healthcare,Pharmaceuticals,"Big Horn, WY, USA",,56003.0,WY,Name17851319,True,True,False,Severe
USA,Large,Healthcare,Pharmaceuticals,"Big Horn, WY, USA",,56003.0,WY,Name17851320,False,False,True,Medium
USA,Large,Healthcare,Pharmaceuticals,"Big Horn, WY, USA",,56003.0,WY,Name17851321,True,True,False,High
USA,Large,Healthcare,Pharmaceuticals,"Big Horn, WY, USA",,56003.0,WY,Name17851323,True,True,False,High
USA,Large,Healthcare,Pharmaceuticals,"Big Horn, WY, USA",,56003.0,WY,Name17851324,True,False,False,High
USA,Large,Healthcare,Pharmaceuticals,"Big Horn, WY, USA",,56003.0,WY,Name17851325,True,False,False,Low
USA,Large,Healthcare,Pharmaceuticals,"Big Horn, WY, USA",,56003.0,WY,Name17851326,True,True,False,Severe
USA,Large,Healthcare,Pharmaceuticals,"Big Horn, WY, USA",,56003.0,WY,Name17851327,False,False,True,Medium
USA,Large,Healthcare,Pharmaceuticals,"Big Horn, WY, USA",,56003.0,WY,Name17851328,True,False,False,Low
USA,Large,Healthcare,Pharmaceuticals,"Big Horn, WY, USA",,56003.0,WY,Name17851329,True,False,False,High
USA,Large,Healthcare,Pharmaceuticals,"Big Horn, WY, USA",,56003.0,WY,Name17851330,True,True,False,Low
USA,Large,Healthcare,Pharmaceuticals,"Big Horn, WY, USA",,56003.0,WY,Name17851331,True,False,False,Low
USA,Large,Healthcare,Pharmaceuticals,"Big Horn, WY, USA",,56003.0,WY,Name17851333,False,True,False,Low
USA,Large,Healthcare,Pharmaceuticals,"Big Horn, WY, USA",,56003.0,WY,Name17851334,True,False,False,Severe
USA,Large,Healthcare,Pharmaceuticals,"Big Horn, WY, USA",,56003.0,WY,Name17851335,True,False,False,Low
USA,Large,Healthcare,Pharmaceuticals,"Big Horn, WY, USA",,56003.0,WY,Name17851336,False,True,True,High
USA,Large,Healthcare,Pharmaceuticals,"Big Horn, WY, USA",,56003.0,WY,Name17851337,False,True,False,Low
USA,Large,Healthcare,Pharmaceuticals,"Big Horn, WY, USA",,56003.0,WY,Name17851338,True,True,False,Medium
USA,Large,Healthcare,Pharmaceuticals,"Big Horn, WY, USA",,56003.0,WY,Name17851339,True,False,False,High
USA,Large,Healthcare,Pharmaceuticals,"Big Horn, WY, USA",,56003.0,WY,Name17851340,False,False,True,Medium
USA,Large,Healthcare,Pharmaceuticals,"Big Horn, WY, USA",,56003.0,WY,Name17851341,True,True,False,Medium
USA,Large,Healthcare,Pharmaceuticals,"Big Horn, WY, USA",,56003.0,WY,Name17851342,True,True,False,High
USA,Large,Healthcare,Pharmaceuticals,"Big Horn, WY, USA",,56003.0,WY,Name17851343,True,True,False,Medium
USA,Large,Healthcare,Pharmaceuticals,"Big Horn, WY, USA",,56003.0,WY,Name17851344,True,False,False,Severe
USA,Large,Healthcare,Pharmaceuticals,"Big Horn, WY, USA",,56003.0,WY,Name17851345,True,False,False,Medium
USA,Large,Healthcare,Pharmaceuticals,"Big Horn, WY, USA",,56003.0,WY,Name17851347,True,False,False,High
USA,Large,Healthcare,Pharmaceuticals,"Big Horn, WY, USA",,56003.0,WY,Name17851348,False,False,True,Medium
USA,Large,Healthcare,Pharmaceuticals,"Big Horn, WY, USA",,56003.0,WY,Name17851349,True,False,False,High
USA,Large,Healthcare,Pharmaceuticals,"Big Horn, WY, USA",,56003.0,WY,Name17851350,False,True,True,Severe
USA,Large,Healthcare,Pharmaceuticals,"Big Horn, WY, USA",,56003.0,WY,Name17851351,False,True,False,Low
USA,Large,Healthcare,Pharmaceuticals,"Big Horn, WY, USA",,56003.0,WY,Name17851352,False,False,True,High
USA,Large,Healthcare,Medical Devices,"Big Horn, WY, USA",,56003.0,WY,Name17851353,True,False,False,Severe
USA,Large,Healthcare,Medical Devices,"Big Horn, WY, USA",,56003.0,WY,Name17851354,False,False,True,Medium
USA,Large,Healthcare,Medical Devices,"Big Horn, WY, USA",,56003.0,WY,Name17851355,True,False,False,Medium
USA,Large,Healthcare,Medical Devices,"Big Horn, WY, USA",,56003.0,WY,Name17851357,True,True,False,High
USA,Large,Healthcare,Medical Devices,"Big Horn, WY, USA",,56003.0,WY,Name17851358,False,False,True,Low
USA,Large,Healthcare,Medical Devices,"Big Horn, WY, USA",,56003.0,WY,Name17851359,True,True,False,Medium
USA,Large,Healthcare,Medical Devices,"Big Horn, WY, USA",,56003.0,WY,Name17851360,True,False,False,Medium
USA,Large,Healthcare,Medical Devices,"Big Horn, WY, USA",,56003.0,WY,Name17851361,False,True,False,Medium
USA,Large,Healthcare,Medical Devices,"Big Horn, WY, USA",,56003.0,WY,Name17851363,True,True,False,Low
USA,Large,Healthcare,Medical Devices,"Big Horn, WY, USA",,56003.0,WY,Name17851364,True,False,False,High
USA,Large,Healthcare,Medical Devices,"Big Horn, WY, USA",,56003.0,WY,Name17851367,True,False,False,Low
USA,Large,Healthcare,Medical Devices,"Big Horn, WY, USA",,56003.0,WY,Name17851368,True,True,False,Severe
USA,Large,Healthcare,Medical Devices,"Big Horn, WY, USA",,56003.0,WY,Name17851369,False,False,True,Low
USA,Large,Healthcare,Medical Devices,"Big Horn, WY, USA",,56003.0,WY,Name17851370,True,False,False,Low
USA,Large,Healthcare,Medical Devices,"Big Horn, WY, USA",,56003.0,WY,Name17851371,True,True,False,Medium
USA,Large,Healthcare,Medical Devices,"Big Horn, WY, USA",,56003.0,WY,Name17851373,True,False,False,High
USA,Large,Healthcare,Medical Devices,"Big Horn, WY, USA",,56003.0,WY,Name17851374,False,True,False,Medium
USA,Large,Healthcare,Medical Devices,"Big Horn, WY, USA",,56003.0,WY,Name17851376,True,True,False,Medium
USA,Large,Healthcare,Healthcare Services,"Big Horn, WY, USA",,56003.0,WY,Name17851378,True,False,False,Severe
USA,Large,Healthcare,Healthcare Services,"Big Horn, WY, USA",,56003.0,WY,Name17851379,True,False,False,Severe
USA,Large,Healthcare,Healthcare Services,"Big Horn, WY, USA",,56003.0,WY,Name17851380,False,True,True,Medium
USA,Large,Healthcare,Healthcare Services,"Big Horn, WY, USA",,56003.0,WY,Name17851381,False,True,False,High
USA,Large,Healthcare,Healthcare Services,"Big Horn, WY, USA",,56003.0,WY,Name17851383,False,True,True,Low
USA,Large,Healthcare,Healthcare Services,"Big Horn, WY, USA",,56003.0,WY,Name17851384,False,True,False,High
USA,Large,Healthcare,Healthcare Services,"Big Horn, WY, USA",,56003.0,WY,Name17851385,True,True,False,Low
USA,Large,Finance,Banking,"Big Horn, WY, USA",,56003.0,WY,Name17851386,True,True,False,High
USA,Large,Finance,Banking,"Big Horn, WY, USA",,56003.0,WY,Name17851388,False,True,False,Medium
USA,Large,Finance,Banking,"Big Horn, WY, USA",,56003.0,WY,Name17851389,True,False,False,Medium
USA,Large,Finance,Banking,"Big Horn, WY, USA",,56003.0,WY,Name17851390,False,True,True,Low
USA,Large,Finance,Banking,"Big Horn, WY, USA",,56003.0,WY,Name17851392,True,False,False,Severe
USA,Large,Finance,Banking,"Big Horn, WY, USA",,56003.0,WY,Name17851393,True,True,False,Severe
USA,Large,Finance,Banking,"Big Horn, WY, USA",,56003.0,WY,Name17851395,True,True,False,High
USA,Large,Finance,Banking,"Big Horn, WY, USA",,56003.0,WY,Name17851396,False,False,True,High
USA,Large,Finance,Insurance,"Big Horn, WY, USA",,56003.0,WY,Name17851397,True,True,False,Severe
USA,Large,Finance,Insurance,"Big Horn, WY, USA",,56003.0,WY,Name17851398,True,False,False,Medium
USA,Large,Finance,Insurance,"Big Horn, WY, USA",,56003.0,WY,Name17851399,True,False,False,Medium
USA,Large,Finance,Insurance,"Big Horn, WY, USA",,56003.0,WY,Name17851400,True,True,False,High
USA,Large,Finance,Insurance,"Big Horn, WY, USA",,56003.0,WY,Name17851401,True,True,False,Medium
USA,Large,Finance,Insurance,"Big Horn, WY, USA",,56003.0,WY,Name17851403,False,True,True,High
USA,Large,Finance,Insurance,"Big Horn, WY, USA",,56003.0,WY,Name17851404,False,True,True,Medium
USA,Large,Finance,Insurance,"Big Horn, WY, USA",,56003.0,WY,Name17851405,False,False,True,Medium
USA,Large,Finance,Insurance,"Big Horn, WY, USA",,56003.0,WY,Name17851406,True,True,False,Severe
USA,Large,Finance,Insurance,"Big Horn, WY, USA",,56003.0,WY,Name17851407,False,True,True,Severe
USA,Large,Finance,Insurance,"Big Horn, WY, USA",,56003.0,WY,Name17851408,False,True,True,Medium
USA,Large,Finance,Insurance,"Big Horn, WY, USA",,56003.0,WY,Name17851410,False,False,True,Severe
USA,Large,Finance,Insurance,"Big Horn, WY, USA",,56003.0,WY,Name17851411,False,False,True,Severe
USA,Large,Finance,Insurance,"Big Horn, WY, USA",,56003.0,WY,Name17851412,True,True,False,Low
